"site","richness_1970s","richness_1990s","richness_2010s","delta_1990s_minus_1970s","delta_2010s_minus_1990s","delta_2010s_minus_1970s"
"BE46",34,58,43,24,-15,9
"BE47",31,62,56,31,-6,25
"BE48",42,51,65,9,14,23
"BE50",61,57,63,-4,6,2
"BE51",41,53,47,12,-6,6
"BE52",49,49,43,0,-6,-6
"BE53",52,45,53,-7,8,1
"BE54",46,57,53,11,-4,7
"BE55",55,47,53,-8,6,-2
"BE56",34,51,40,17,-11,6
"BE57",40,46,48,6,2,8
"BE58",35,74,60,39,-14,25
"BE59",44,54,61,10,7,17
"BE60",62,52,56,-10,4,-6
"BE61",39,49,47,10,-2,8
"BE62",54,55,42,1,-13,-12
"BE63",45,63,45,18,-18,0
"BE64",44,43,48,-1,5,4
"BE65",46,57,66,11,9,20
"BE66",44,54,62,10,8,18
"BE67",31,36,43,5,7,12
"BE68",36,55,66,19,11,30
"BE69",43,76,65,33,-11,22
"BE70",54,47,46,-7,-1,-8
"BE71",59,47,47,-12,0,-12
"BE73",42,62,40,20,-22,-2
"BE74",44,43,49,-1,6,5
"BE75",26,37,58,11,21,32
"BE76",42,54,65,12,11,23
"BE77",30,63,73,33,10,43
"BE78",48,58,62,10,4,14
"BE79",37,49,40,12,-9,3
"BE80",59,79,73,20,-6,14
"BE81",34,55,48,21,-7,14
"BE82",53,72,46,19,-26,-7
"BE83",36,66,44,30,-22,8
"BE84",51,57,60,6,3,9
"BE85",42,28,62,-14,34,20
"BE86",50,56,72,6,16,22
"BE87",55,66,70,11,4,15
"BE88",41,73,81,32,8,40
"BE89",72,48,76,-24,28,4
"BE90",58,48,72,-10,24,14
"BE91",62,49,65,-13,16,3
"BE92",55,70,50,15,-20,-5
"BE93",34,49,67,15,18,33
"BE94",56,69,60,13,-9,4
"BE95",47,55,66,8,11,19
"BE96",39,56,62,17,6,23
"BE97",41,55,59,14,4,18
"BE98",44,68,70,24,2,26
"BE99",62,80,60,18,-20,-2
"BF00",58,51,50,-7,-1,-8
"BF01",43,58,57,15,-1,14
"BF02",54,84,83,30,-1,29
"BF03",64,85,71,21,-14,7
"BF04",48,93,96,45,3,48
"BF05",59,91,66,32,-25,7
"BF06",54,64,65,10,1,11
"BF07",53,59,81,6,22,28
"BF08",44,58,55,14,-3,11
"BF11",58,77,68,19,-9,10
"BF12",61,56,57,-5,1,-4
"BF14",43,50,57,7,7,14
"BF15",38,41,59,3,18,21
"BF16",43,57,64,14,7,21
"BF17",30,43,56,13,13,26
"BF18",34,48,55,14,7,21
"BF21",50,65,59,15,-6,9
"BF24",24,45,65,21,20,41
"BF27",39,43,62,4,19,23
"BF28",44,66,64,22,-2,20
"BF29",58,41,80,-17,39,22
"BF31",54,61,58,7,-3,4
"BF32",73,79,86,6,7,13
"BF33",63,73,79,10,6,16
"BF34",27,61,59,34,-2,32
"BF35",40,53,70,13,17,30
"BF36",45,55,67,10,12,22
"BF37",40,40,67,0,27,27
"BF38",48,73,70,25,-3,22
"BF40",55,38,68,-17,30,13
"BF41",58,40,64,-18,24,6
"BF43",49,40,62,-9,22,13
"BF46",44,48,47,4,-1,3
"BF47",33,47,64,14,17,31
"BF48",36,53,48,17,-5,12
"BF49",68,69,89,1,20,21
"BF50",55,58,47,3,-11,-8
"BF51",45,61,52,16,-9,7
"BF53",43,55,58,12,3,15
"BF55",45,37,42,-8,5,-3
"BF56",21,47,55,26,8,34
"BF57",42,47,48,5,1,6
"BF58",44,44,49,0,5,5
"BF59",62,59,68,-3,9,6
"BF60",59,68,59,9,-9,0
"BF61",45,60,60,15,0,15
"BF62",57,47,45,-10,-2,-12
"BF63",44,45,50,1,5,6
"BF64",46,41,50,-5,9,4
"BF65",52,52,63,0,11,11
"BF67",38,46,57,8,11,19
"BF68",58,44,58,-14,14,0
"BF69",58,53,63,-5,10,5
"BF70",34,49,51,15,2,17
"BF71",45,53,52,8,-1,7
"BF72",54,69,52,15,-17,-2
"BF73",41,54,64,13,10,23
"BF76",45,59,41,14,-18,-4
"BF77",51,49,62,-2,13,11
"BF78",53,44,47,-9,3,-6
"BF79",53,50,60,-3,10,7
"BF80",52,56,50,4,-6,-2
"BF81",55,60,51,5,-9,-4
"BF82",65,61,65,-4,4,0
"BF83",60,69,58,9,-11,-2
"BF85",43,59,57,16,-2,14
"BF87",32,51,57,19,6,25
"BF88",53,42,51,-11,9,-2
"BF89",53,38,58,-15,20,5
"BF90",52,71,47,19,-24,-5
"BF91",43,58,48,15,-10,5
"BF92",47,68,66,21,-2,19
"BF93",41,64,52,23,-12,11
"BF94",50,46,57,-4,11,7
"BF95",48,53,63,5,10,15
"BF97",48,64,52,16,-12,4
"BF98",28,54,50,26,-4,22
"BF99",36,63,53,27,-10,17
"BG27",64,61,59,-3,-2,-5
"BG28",59,69,60,10,-9,1
"BG29",90,77,88,-13,11,-2
"BG30",37,28,38,-9,10,1
"BG31",85,102,75,17,-27,-10
"BG32",94,88,70,-6,-18,-24
"BG33",17,23,16,6,-7,-1
"BG39",55,40,77,-15,37,22
"BG41",62,68,52,6,-16,-10
"BG42",72,65,59,-7,-6,-13
"BG43",40,39,44,-1,5,4
"BG45",35,45,79,10,34,44
"BG49",67,64,73,-3,9,6
"BG50",47,54,63,7,9,16
"BG55",73,79,68,6,-11,-5
"BG57",25,44,52,19,8,27
"BG58",41,78,75,37,-3,34
"BG60",65,58,59,-7,1,-6
"BG61",60,49,61,-11,12,1
"BG62",69,60,70,-9,10,1
"BG63",74,54,67,-20,13,-7
"BG64",60,66,50,6,-16,-10
"BG65",60,73,74,13,1,14
"BG66",65,73,57,8,-16,-8
"BG67",37,55,59,18,4,22
"BG68",33,56,54,23,-2,21
"BG69",40,45,56,5,11,16
"BG70",50,57,53,7,-4,3
"BG71",52,49,59,-3,10,7
"BG72",62,54,64,-8,10,2
"BG73",66,72,79,6,7,13
"BG74",55,54,46,-1,-8,-9
"BG75",54,67,52,13,-15,-2
