"","kvadratkod","survey","prec_year"
"AD90","AD90","AD90_1",674.188858173919
"AD91","AD91","AD91_1",678.693662959512
"AD92","AD92","AD92_1",709.454672371322
"AD93","AD93","AD93_1",690.346362024875
"AD94","AD94","AD94_1",667.886780232977
"AD95","AD95","AD95_1",668.887642422527
"AD96","AD96","AD96_1",671.568025663203
"AE81","AE81","AE81_1",658.488064845809
"AE82","AE82","AE82_1",664.74030974941
"AE83","AE83","AE83_1",666.203197536804
"AE90","AE90","AE90_1",640.900233089062
"AE91","AE91","AE91_1",643.57358303598
"AE92","AE92","AE92_1",645.032166438468
"AE93","AE93","AE93_1",652.227891671395
"AE94","AE94","AE94_1",658.408967045222
"AE95","AE95","AE95_1",660.423671586636
"AE96","AE96","AE96_1",667.10790788552
"AE97","AE97","AE97_1",684.420175244183
"AE98","AE98","AE98_1",673.135704849782
"AE99","AE99","AE99_1",673.049866692662
"AF81","AF81","AF81_1",626.658689603452
"AF82","AF82","AF82_1",627.244237750244
"AF90","AF90","AF90_1",614.202590623271
"AF91","AF91","AF91_1",625.908635836038
"AF92","AF92","AF92_1",626.039161637101
"AF93","AF93","AF93_1",632.712290349454
"AF94","AF94","AF94_1",634.137615158191
"AF95","AF95","AF95_1",643.156500574995
"AF96","AF96","AF96_1",648.022422918301
"AF97","AF97","AF97_1",636.726807673866
"AF98","AF98","AF98_1",635.534109839598
"AF99","AF99","AF99_1",638.982855946646
"BC10","BC10","BC10_1",705.781325364328
"BC11","BC11","BC11_1",703.707746974652
"BC20","BC20","BC20_1",672.768958836566
"BC21","BC21","BC21_1",691.810161472899
"BC22","BC22","BC22_1",703.053622903697
"BC23","BC23","BC23_1",697.390451179257
"BC30","BC30","BC30_1",681.211788741437
"BC31","BC31","BC31_1",674.930059370735
"BC32","BC32","BC32_1",688.403334296246
"BC33","BC33","BC33_1",705.938500557279
"BC34","BC34","BC34_1",696.717466786848
"BC40","BC40","BC40_1",689.185812640302
"BC41","BC41","BC41_1",683.368547097455
"BC42","BC42","BC42_1",682.097482611557
"BC43","BC43","BC43_1",700.242466932864
"BC44","BC44","BC44_1",690.700885157194
"BC45","BC45","BC45_1",700.030204524679
"BC50","BC50","BC50_1",663.230866437649
"BC51","BC51","BC51_1",662.708590852433
"BC52","BC52","BC52_1",684.334607958378
"BC53","BC53","BC53_1",684.792074795089
"BC54","BC54","BC54_1",688.97662830783
"BC55","BC55","BC55_1",706.97037621846
"BC56","BC56","BC56_1",709.194096395043
"BC60","BC60","BC60_1",691.932184890679
"BC61","BC61","BC61_1",637.258872431576
"BC62","BC62","BC62_1",664.436725256652
"BC63","BC63","BC63_1",659.864887268476
"BC64","BC64","BC64_1",645.824357252768
"BC65","BC65","BC65_1",672.021972677702
"BC70","BC70","BC70_1",646.056412702275
"BC71","BC71","BC71_1",648.933564625992
"BC72","BC72","BC72_1",656.649010071934
"BC73","BC73","BC73_1",654.463483408987
"BC74","BC74","BC74_1",664.035703822705
"BC75","BC75","BC75_1",660.922418164814
"BC80","BC80","BC80_1",629.027404536329
