"","kvadratkod","survey","prec_breeding"
"AD90","AD90","AD90_1",135.417750659986
"AD91","AD91","AD91_1",135.973779142099
"AD92","AD92","AD92_1",141.833916765378
"AD93","AD93","AD93_1",137.581365380505
"AD94","AD94","AD94_1",132.909518286882
"AD95","AD95","AD95_1",133.451441332893
"AD96","AD96","AD96_1",133.929194491792
"AE81","AE81","AE81_1",133.211072215953
"AE82","AE82","AE82_1",134.36713685329
"AE83","AE83","AE83_1",134.516495997893
"AE90","AE90","AE90_1",129.311665854756
"AE91","AE91","AE91_1",129.674978889497
"AE92","AE92","AE92_1",130.12621253508
"AE93","AE93","AE93_1",131.322362343124
"AE94","AE94","AE94_1",132.596517577008
"AE95","AE95","AE95_1",132.909869287577
"AE96","AE96","AE96_1",134.024450716166
"AE97","AE97","AE97_1",137.514326170635
"AE98","AE98","AE98_1",135.143847071318
"AE99","AE99","AE99_1",135.317634656261
"AF81","AF81","AF81_1",127.527184552289
"AF82","AF82","AF82_1",127.293445417597
"AF90","AF90","AF90_1",124.427680196568
"AF91","AF91","AF91_1",126.86610741572
"AF92","AF92","AF92_1",126.653111471449
"AF93","AF93","AF93_1",127.835317930828
"AF94","AF94","AF94_1",128.103598390175
"AF95","AF95","AF95_1",129.902810811156
"AF96","AF96","AF96_1",130.26159364061
"AF97","AF97","AF97_1",128.323703426271
"AF98","AF98","AF98_1",128.117911276935
"AF99","AF99","AF99_1",128.890239244196
"BC10","BC10","BC10_1",141.546839788868
"BC11","BC11","BC11_1",141.498078077144
"BC20","BC20","BC20_1",134.693639481393
"BC21","BC21","BC21_1",139.221090998178
"BC22","BC22","BC22_1",142.039121320279
"BC23","BC23","BC23_1",140.941354997505
"BC30","BC30","BC30_1",136.25171559602
"BC31","BC31","BC31_1",135.479707249559
"BC32","BC32","BC32_1",138.897920562531
"BC33","BC33","BC33_1",142.769119000363
"BC34","BC34","BC34_1",140.992629439072
"BC40","BC40","BC40_1",138.592216548935
"BC41","BC41","BC41_1",137.542639851999
"BC42","BC42","BC42_1",137.679886302956
"BC43","BC43","BC43_1",141.533540811344
"BC44","BC44","BC44_1",140.205607508722
"BC45","BC45","BC45_1",141.934548442117
"BC50","BC50","BC50_1",134.208360840745
"BC51","BC51","BC51_1",134.445458290462
"BC52","BC52","BC52_1",138.977862892165
"BC53","BC53","BC53_1",139.240166729572
"BC54","BC54","BC54_1",140.145938489551
"BC55","BC55","BC55_1",143.842954226777
"BC56","BC56","BC56_1",144.351664272071
"BC60","BC60","BC60_1",140.976502388593
"BC61","BC61","BC61_1",129.938291469169
"BC62","BC62","BC62_1",135.371760548296
"BC63","BC63","BC63_1",134.680319659228
"BC64","BC64","BC64_1",132.076485098438
"BC65","BC65","BC65_1",137.160949163586
"BC70","BC70","BC70_1",133.631653850023
"BC71","BC71","BC71_1",134.090177866645
"BC72","BC72","BC72_1",134.400515884846
"BC73","BC73","BC73_1",134.487296039617
"BC74","BC74","BC74_1",135.867421472631
"BC75","BC75","BC75_1",135.030350387991
"BC80","BC80","BC80_1",131.31212096431
"BC81","BC81","BC81_1",137.440112660284
"BC82","BC82","BC82_1",133.675441544982
"BC83","BC83","BC83_1",132.583684981742
"BC84","BC84","BC84_1",136.597494482486
"BC85","BC85","BC85_1",136.810377676006
"BC86","BC86","BC86_1",135.596958954903
"BC91","BC91","BC91_1",131.923898118507
"BC92","BC92","BC92_1",131.914076396403
"BC93","BC93","BC93_1",133.81860411033
"BC94","BC94","BC94_1",133.097493391644
"BC95","BC95","BC95_1",134.690118214492
"BC96","BC96","BC96_1",136.044299457838
"BD00","BD00","BD00_1",135.334695771074
