species,comparison,n_common_sites,occupied_cells_1970s,occupied_cells_1990s,gained_cells,lost_cells,retained_cells,absent_in_both_cells,changed_cells,turnover_fraction_of_common_sites,net_cell_change,absolute_net_cell_change,occupancy_fraction_1970s,occupancy_fraction_1990s,sorensen_dissimilarity,direction,foraging_guild,migration_strategy,species_thermal_index,species_label
Gallinula_chloropus,1970s to 1990s,1726,1194,1214,309,289,905,223,598,0.3464658169177289,20,20,0.6917728852838934,0.7033603707995365,0.24833887043189373,More occupied cells in 1990s,Rails,sedentary and short-distance,13.3437206998,Gallinula chloropus
Ficedula_hypoleuca,1970s to 1990s,1726,471,608,365,228,243,890,593,0.34356894553881806,137,137,0.2728852838933951,0.3522595596755504,0.5495829471733087,More occupied cells in 1990s,Flycatchers,long-distance,10.4275102213,Ficedula hypoleuca
Poecile_palustris,1970s to 1990s,1726,872,963,335,244,628,519,579,0.3354577056778679,91,91,0.5052143684820394,0.5579374275782155,0.31553133514986376,More occupied cells in 1990s,Tit-like birds,sedentary,12.3251392514,Poecile palustris
Certhia_familiaris,1970s to 1990s,1726,502,807,428,123,379,796,551,0.31923522595596754,305,305,0.2908458864426419,0.4675550405561993,0.42093200916730333,More occupied cells in 1990s,Tit-like birds,sedentary,11.119463211,Certhia familiaris
Acrocephalus_scirpaceus,1970s to 1990s,1726,993,1172,365,186,807,368,551,0.31923522595596754,179,179,0.5753186558516802,0.6790266512166859,0.2545034642032332,More occupied cells in 1990s,Marsh warblers,long-distance,13.1524057431,Acrocephalus scirpaceus
Anthus_trivialis,1970s to 1990s,1726,1127,1135,279,271,856,320,550,0.3186558516801854,8,8,0.652954808806489,0.6575898030127463,0.24314765694076035,More occupied cells in 1990s,Low flycatching feeders,long-distance,11.2439352645,Anthus trivialis
Tachybaptus_ruficollis,1970s to 1990s,1726,311,597,416,130,181,999,546,0.3163383545770568,286,286,0.1801853997682503,0.3458864426419467,0.6013215859030837,More occupied cells in 1990s,Aquatic pursuers,sedentary and short-distance,13.4633891991,Tachybaptus ruficollis
Lanius_collurio,1970s to 1990s,1726,449,521,309,237,212,968,546,0.3163383545770568,72,72,0.26013904982618774,0.3018539976825029,0.5628865979381443,More occupied cells in 1990s,Shrikes,long-distance,12.6238867722,Lanius collurio
Dendrocopos_major,1970s to 1990s,1726,1077,1375,419,121,956,230,540,0.3128621089223638,298,298,0.6239860950173812,0.7966396292004635,0.22022838499184338,More occupied cells in 1990s,Woodpeckers,sedentary,12.1154284266,Dendrocopos major
Delichon_urbicum,1970s to 1990s,1726,1251,1453,370,168,1083,105,538,0.31170336037079954,202,202,0.7247972190034763,0.8418308227114716,0.19896449704142016,More occupied cells in 1990s,Aerial insectivores,long-distance,12.3470551373,Delichon urbicum
Apus_apus,1970s to 1990s,1726,435,558,330,207,228,961,537,0.3111239860950174,123,123,0.25202780996523755,0.32329084588644263,0.540785498489426,More occupied cells in 1990s,Aerial insectivores,long-distance,12.4470483242,Apus apus
Strix_aluco,1970s to 1990s,1726,755,803,289,241,514,682,530,0.3070683661645423,48,48,0.43742757821552725,0.46523754345307067,0.34017971758664955,More occupied cells in 1990s,Owls,sedentary,12.8738657057,Strix aluco
