species,comparison,n_common_sites,occupied_cells_1970s,occupied_cells_1990s,gained_cells,lost_cells,retained_cells,absent_in_both_cells,changed_cells,turnover_fraction_of_common_sites,net_cell_change,absolute_net_cell_change,occupancy_fraction_1970s,occupancy_fraction_1990s,sorensen_dissimilarity,direction,foraging_guild,migration_strategy,species_thermal_index,species_label
Passer_domesticus,1970s to 1990s,1726,1658,1638,59,79,1579,9,138,0.07995365005793743,-20,20,0.9606025492468134,0.9490150637311703,0.041868932038834905,Fewer occupied cells in 1990s,Passerine seedeaters,sedentary,12.2628071769,Passer domesticus
Dryocopus_martius,1970s to 1990s,1726,60,156,116,20,40,1550,136,0.07879490150637311,96,96,0.03476245654692932,0.09038238702201622,0.6296296296296297,More occupied cells in 1990s,Woodpeckers,sedentary,11.1193962821,Dryocopus martius
Recurvirostra_avosetta,1970s to 1990s,1726,183,144,48,87,96,1495,135,0.07821552723059096,-39,39,0.10602549246813442,0.08342989571263036,0.4128440366972477,Fewer occupied cells in 1990s,Plovers,short-and long-distance,14.5831200661,Recurvirostra avosetta
Spatula_querquedula,1970s to 1990s,1726,100,99,66,67,33,1560,133,0.07705677867902665,-1,1,0.05793742757821553,0.05735805330243337,0.6683417085427136,Fewer occupied cells in 1990s,Dabbling ducks,long-distance,12.389627827,Spatula querquedula
Phylloscopus_trochilus,1970s to 1990s,1726,1626,1687,96,35,1591,4,131,0.07589803012746234,61,61,0.9420625724217845,0.977404403244496,0.03954120132810146,More occupied cells in 1990s,Foliage gleaners,long-distance,10.4596695622,Phylloscopus trochilus
Sterna_hirundo,1970s to 1990s,1726,112,86,52,78,34,1562,130,0.07531865585168018,-26,26,0.06488991888760139,0.04982618771726535,0.6565656565656566,Fewer occupied cells in 1990s,Terns,long-distance,11.4396148713,Sterna hirundo
Coturnix_coturnix,1970s to 1990s,1726,31,108,102,25,6,1593,127,0.07358053302433372,77,77,0.017960602549246814,0.06257242178447277,0.9136690647482014,More occupied cells in 1990s,Gallinaceous birds,short-and long-distance,13.6002736383,Coturnix coturnix
Larus_argentatus,1970s to 1990s,1726,126,146,72,52,74,1528,124,0.07184241019698726,20,20,0.07300115874855156,0.08458864426419467,0.4558823529411765,More occupied cells in 1990s,Gulls,sedentary and short-distance,9.0583381929,Larus argentatus
Columba_palumbus,1970s to 1990s,1726,1628,1691,92,29,1599,6,121,0.07010428736964079,63,63,0.9432213209733488,0.9797219003476245,0.03645676408556797,More occupied cells in 1990s,Columbids,sedentary and short-distance,12.2214205187,Columba palumbus
Sterna_paradisaea,1970s to 1990s,1726,145,123,45,67,78,1536,112,0.06488991888760139,-22,22,0.08400926998841252,0.0712630359212051,0.417910447761194,Fewer occupied cells in 1990s,Terns,long-distance,6.7214988279,Sterna paradisaea
Numenius_arquata,1970s to 1990s,1726,132,107,43,68,64,1551,111,0.06431054461181923,-25,25,0.07647740440324449,0.06199304750869061,0.4644351464435147,Fewer occupied cells in 1990s,Scolopacids,short-distance,10.0493203009,Numenius arquata
Hirundo_rustica,1970s to 1990s,1726,1656,1683,65,38,1618,5,103,0.059675550405561995,27,27,0.9594438006952491,0.9750869061413673,0.030847559149445924,More occupied cells in 1990s,Aerial insectivores,long-distance,12.4305273248,Hirundo rustica
Sternula_albifrons,1970s to 1990s,1726,106,36,15,85,21,1605,100,0.05793742757821553,-70,70,0.06141367323290846,0.02085747392815759,0.704225352112676,Fewer occupied cells in 1990s,Terns,long-distance,13.6554594356,Sternula albifrons
Calidris_alpina,1970s to 1990s,1726,117,60,17,74,43,1592,91,0.05272305909617613,-57,57,0.06778679026651217,0.03476245654692932,0.5141242937853108,Fewer occupied cells in 1990s,Scolopacids,long-distance,7.0663752664,Calidris alpina
Tyto_alba,1970s to 1990s,1726,66,37,29,58,8,1631,87,0.05040556199304751,-29,29,0.038238702201622246,0.021436848203939745,0.8446601941747574,Fewer occupied cells in 1990s,Owls,sedentary,13.9906366009,Tyto alba
Crex_crex,1970s to 1990s,1726,78,10,9,77,1,1639,86,0.04982618771726535,-68,68,0.04519119351100811,0.005793742757821553,0.9772727272727273,Fewer occupied cells in 1990s,Rails,long-distance,11.9688491073,Crex crex
Remiz_pendulinus,1970s to 1990s,1726,11,89,81,3,8,1634,84,0.04866743916570104,78,78,0.006373117033603708,0.051564310544611816,0.84,More occupied cells in 1990s,Tit-like birds,short-distance,13.7399153521,Remiz pendulinus
Sturnus_vulgaris,1970s to 1990s,1726,1676,1680,44,40,1636,6,84,0.04866743916570104,4,4,0.9710312862108922,0.9733487833140209,0.02502979737783073,More occupied cells in 1990s,Starlings,short-distance,11.8027600322,Sturnus vulgaris
Calidris_pugnax,1970s to 1990s,1726,106,39,8,75,31,1612,83,0.04808806488991889,-67,67,0.06141367323290846,0.022595596755504054,0.5724137931034483,Fewer occupied cells in 1990s,Scolopacids,long-distance,7.9732949741,Calidris pugnax
Carpodacus_erythrinus,1970s to 1990s,1726,5,86,81,0,5,1640,81,0.04692931633835458,81,81,0.0028968713789107765,0.04982618771726535,0.8901098901098901,More occupied cells in 1990s,Passerine seedeaters,long-distance,10.348256227,Carpodacus erythrinus
Parus_major,1970s to 1990s,1726,1668,1694,52,26,1642,6,78,0.04519119351100811,26,26,0.966396292004635,0.981460023174971,0.023200475907198093,More occupied cells in 1990s,Tit-like birds,sedentary and short-distance,12.343727765,Parus major
Somateria_mollissima,1970s to 1990s,1726,54,96,59,17,37,1613,76,0.0440324449594438,42,42,0.031286210892236384,0.055619930475086905,0.5066666666666666,More occupied cells in 1990s,Diving ducks,short-distance,8.1688294838,Somateria mollissima
Panurus_biarmicus,1970s to 1990s,1726,26,80,63,9,17,1637,72,0.04171494785631518,54,54,0.015063731170336037,0.046349942062572425,0.679245283018868,More occupied cells in 1990s,Reedlings,sedentary,13.8780278318,Panurus biarmicus
Botaurus_stellaris,1970s to 1990s,1726,32,67,52,17,15,1642,69,0.03997682502896872,35,35,0.01853997682502897,0.0388180764774044,0.696969696969697,More occupied cells in 1990s,Wading birds,sedentary and short-distance,13.1076210929,Botaurus stellaris
Mareca_strepera,1970s to 1990s,1726,12,70,61,3,9,1653,64,0.03707995365005794,58,58,0.006952491309385863,0.04055619930475087,0.7804878048780488,More occupied cells in 1990s,Dabbling ducks,short-distance,12.5158986156,Mareca strepera
Porzana_porzana,1970s to 1990s,1726,55,24,16,47,8,1655,63,0.03650057937427578,-31,31,0.03186558516801854,0.013904982618771726,0.7974683544303798,Fewer occupied cells in 1990s,Rails,long-distance,12.4064941754,Porzana porzana
Acrocephalus_arundinaceus,1970s to 1990s,1726,52,14,11,49,3,1663,60,0.03476245654692932,-38,38,0.030127462340672075,0.008111239860950173,0.9090909090909091,Fewer occupied cells in 1990s,Marsh warblers,long-distance,13.8793523116,Acrocephalus arundinaceus
Regulus_ignicapilla,1970s to 1990s,1726,42,26,21,37,5,1663,58,0.03360370799536501,-16,16,0.02433371958285052,0.015063731170336037,0.8529411764705882,Fewer occupied cells in 1990s,Tit-like birds,short-distance,13.1999439071,Regulus ignicapilla
Fringilla_coelebs,1970s to 1990s,1726,1676,1716,48,8,1668,2,56,0.03244495944380069,40,40,0.9710312862108922,0.9942062572421785,0.01650943396226412,More occupied cells in 1990s,Foliage gleaners,sedentary and short-distance,12.2951633877,Fringilla coelebs
Larus_marinus,1970s to 1990s,1726,8,59,53,2,6,1665,55,0.03186558516801854,51,51,0.004634994206257242,0.034183082271147164,0.8208955223880597,More occupied cells in 1990s,Gulls,sedentary and short-distance,8.3694639418,Larus marinus
Anas_acuta,1970s to 1990s,1726,51,40,22,33,18,1653,55,0.03186558516801854,-11,11,0.02954808806488992,0.023174971031286212,0.6043956043956045,Fewer occupied cells in 1990s,Dabbling ducks,short-distance,8.5273453088,Anas acuta
Podiceps_nigricollis,1970s to 1990s,1726,30,52,38,16,14,1658,54,0.031286210892236384,22,22,0.01738122827346466,0.030127462340672075,0.6585365853658536,More occupied cells in 1990s,Aquatic pursuers,short-distance,13.3391366196,Podiceps nigricollis
Emberiza_citrinella,1970s to 1990s,1726,1694,1694,27,27,1667,5,54,0.031286210892236384,0,0,0.981460023174971,0.981460023174971,0.015938606847697767,Balanced gains and losses,Buntings,sedentary,11.5528442066,Emberiza citrinella
Tringa_glareola,1970s to 1990s,1726,59,22,7,44,15,1660,51,0.02954808806488992,-37,37,0.034183082271147164,0.012746234067207415,0.6296296296296297,Fewer occupied cells in 1990s,Scolopacids,long-distance,7.6706167812,Tringa glareola
Asio_flammeus,1970s to 1990s,1726,40,12,10,38,2,1676,48,0.027809965237543453,-28,28,0.023174971031286212,0.006952491309385863,0.9230769230769231,Fewer occupied cells in 1990s,Owls,sedentary and short-distance,9.6200242401,Asio flammeus
Dryobates_minor,1970s to 1990s,1726,6,46,43,3,3,1677,46,0.026651216685979143,40,40,0.0034762456546929316,0.026651216685979143,0.8846153846153846,More occupied cells in 1990s,Woodpeckers,sedentary and short-distance,11.5509643269,Dryobates minor
Limosa_limosa,1970s to 1990s,1726,71,46,9,34,37,1646,43,0.024913093858632676,-25,25,0.041135573580533026,0.026651216685979143,0.36752136752136755,Fewer occupied cells in 1990s,Scolopacids,long-distance,12.0468335512,Limosa limosa
Tringa_ochropus,1970s to 1990s,1726,26,35,26,17,9,1674,43,0.024913093858632676,9,9,0.015063731170336037,0.020278099652375436,0.7049180327868853,More occupied cells in 1990s,Scolopacids,short-and long-distance,9.8785200822,Tringa ochropus
Locustella_luscinioides,1970s to 1990s,1726,29,21,16,24,5,1681,40,0.023174971031286212,-8,8,0.016801853997682505,0.01216685979142526,0.8,Fewer occupied cells in 1990s,Marsh warblers,long-distance,13.5908101527,Locustella luscinioides
Thalasseus_sandvicensis,1970s to 1990s,1726,32,15,11,28,4,1683,39,0.022595596755504054,-17,17,0.01853997682502897,0.00869061413673233,0.8297872340425532,Fewer occupied cells in 1990s,Terns,short-and long-distance,12.309341223,Thalasseus sandvicensis
Streptopelia_turtur,1970s to 1990s,1726,12,31,28,9,3,1686,37,0.021436848203939745,19,19,0.006952491309385863,0.017960602549246814,0.8604651162790697,More occupied cells in 1990s,Columbids,long-distance,13.7662137901,Streptopelia turtur
Circus_pygargus,1970s to 1990s,1726,32,31,16,17,15,1678,33,0.019119351100811123,-1,1,0.01853997682502897,0.017960602549246814,0.5238095238095238,Fewer occupied cells in 1990s,Diurnal raptors,long-distance,13.6904029809,Circus pygargus
Anarhynchus_alexandrinus,1970s to 1990s,1726,29,9,6,26,3,1691,32,0.01853997682502897,-20,20,0.016801853997682505,0.005214368482039398,0.8421052631578947,Fewer occupied cells in 1990s,Plovers,short-and long-distance,16.3071703744,Anarhynchus alexandrinus
Lanius_excubitor,1970s to 1990s,1726,22,18,14,18,4,1690,32,0.01853997682502897,-4,4,0.012746234067207415,0.010428736964078795,0.8,Fewer occupied cells in 1990s,Shrikes,sedentary,11.2044136127,Lanius excubitor
Chlidonias_niger,1970s to 1990s,1726,37,13,2,26,11,1687,28,0.016222479721900347,-24,24,0.021436848203939745,0.007531865585168019,0.56,Fewer occupied cells in 1990s,Terns,long-distance,13.0082465521,Chlidonias niger
Mergus_merganser,1970s to 1990s,1726,13,30,21,4,9,1692,25,0.014484356894553883,17,17,0.007531865585168019,0.01738122827346466,0.5813953488372092,More occupied cells in 1990s,Aquatic pursuers,short-distance,7.9118621485,Mergus merganser
Serinus_serinus,1970s to 1990s,1726,7,16,15,6,1,1704,21,0.01216685979142526,9,9,0.004055619930475087,0.009269988412514484,0.9130434782608696,More occupied cells in 1990s,Passerine seedeaters,short-distance,13.8814196118,Serinus serinus
Ficedula_parva,1970s to 1990s,1726,8,12,12,8,0,1706,20,0.011587485515643106,4,4,0.004634994206257242,0.006952491309385863,1,More occupied cells in 1990s,Flycatchers,long-distance,11.5985667049,Ficedula parva
Turdus_merula,1970s to 1990s,1726,1713,1715,11,9,1704,2,20,0.011587485515643106,2,2,0.992468134414832,0.9936268829663963,0.005834305717619559,More occupied cells in 1990s,Thrushes,sedentary,12.5843398181,Turdus merula
Cinclus_cinclus,1970s to 1990s,1726,11,12,10,9,2,1705,19,0.01100811123986095,1,1,0.006373117033603708,0.006952491309385863,0.8260869565217391,More occupied cells in 1990s,Dippers,short-distance,11.0150016531,Cinclus cinclus
Larus_fuscus,1970s to 1990s,1726,6,22,17,1,5,1703,18,0.010428736964078795,16,16,0.0034762456546929316,0.012746234067207415,0.6428571428571428,More occupied cells in 1990s,Gulls,short-and long-distance,8.9178677716,Larus fuscus
Alauda_arvensis,1970s to 1990s,1726,1718,1717,7,8,1710,1,15,0.00869061413673233,-1,1,0.9953650057937428,0.9947856315179606,0.004366812227074246,Fewer occupied cells in 1990s,Open-land insectivores,sedentary and short-distance,12.1983199326,Alauda arvensis
