atlas,period,survey,site,X,Y,PC1,PC2,PC3,PC4,PC5,bioregion,pca_cluster,pca_cluster_silhouette
1,1970s,AD90_1,AD90,447500.0709493527,6252499.57832838,-0.5785611519714178,0.032498631632288694,-0.11255133139854943,0.009751452737475876,-0.02535891308790168,Cluster 1,PCA cluster 1,0.39875746253080246
1,1970s,BD19_1,BD19,457500.063487968,6297499.744964002,-0.19424650237112076,0.042416861611287354,-0.21103427283732817,-0.006240300470861813,0.057051076844315894,Cluster 1,PCA cluster 1,0.3981540317270855
1,1970s,DC09_1,DC09,552499.6781305044,6347499.774804628,-0.1324249449139846,0.11897974764828224,0.06434209995457461,0.03409373277999212,0.023233801286205124,Cluster 1,PCA cluster 2,0.39815256945866606
1,1970s,DB11_1,DB11,557499.6898730142,6357499.755865983,-0.0041403614134449184,0.04117777776461402,0.020221079794973902,0.028893977605665113,0.047058635153816225,Cluster 2,PCA cluster 2,0.3959964718632445
1,1970s,DB13_1,DB13,557499.6790873646,6367499.744899912,0.030063450678489163,0.1265006394630658,0.07751479136311336,0.02860744641143806,0.20960294876798938,Cluster 3,PCA cluster 2,0.395642769974497
1,1970s,DB14_1,DB14,557499.6920318474,6372499.795985679,0.04641459241432349,0.17618551970369306,0.1029264680682376,0.03581833172145273,-0.007644925870969924,Cluster 3,PCA cluster 2,0.39493450901380445
1,1970s,DB15_1,DB15,557499.6776623846,6377499.772861233,0.09383540990798377,0.15699013100197504,0.032322995280800716,0.04928150894789864,-0.0043706576386187595,Cluster 3,PCA cluster 2,0.3946111528418209
1,1970s,DB16_1,DB16,557499.6934591797,6382499.787658613,-0.12912927922830322,0.07745081410577168,0.01623500674697674,-0.07183380447800415,0.02699496837547012,Cluster 1,PCA cluster 1,0.3942545040894784
1,1970s,BD20_1,BD20,462500.0521724849,6252499.692892568,-0.01321058795792705,0.20026759538228647,-0.036158733670871766,0.059009605157217114,0.04441552191924175,Cluster 3,PCA cluster 2,0.3938599673474481
1,1970s,DB20_1,DB20,562499.6596629414,6352499.822055593,0.1190735677308288,0.19006687314300158,0.11809601096470325,-0.02928673203871553,0.10720541708870651,Cluster 3,PCA cluster 2,0.39382791320317545
