reference_bioregion,target_period,n_reference_sites,n_retained,pct_retained,n_reassigned,pct_reassigned,dominant_destination,mean_assignment_margin
Cluster 1,1990s,391,218,0.5575447570332481,173,0.4424552429667519,Cluster 2,0.04059087058744064
Cluster 2,1990s,860,799,0.9290697674418604,61,0.07093023255813953,Cluster 3,0.05985215305485474
Cluster 3,1990s,475,245,0.5157894736842106,230,0.4842105263157895,Cluster 2,0.037702981659381296
Cluster 1,2010s,401,141,0.3516209476309227,260,0.6483790523690773,Cluster 2,0.035104726377457714
Cluster 2,2010s,879,870,0.9897610921501706,9,0.010238907849829351,Cluster 1,0.0643452919946995
Cluster 3,2010s,496,100,0.20161290322580644,396,0.7983870967741935,Cluster 2,0.033537246912839866
