period,n_sites,adjusted_rand_index,mean_silhouette
1970s,1776,0.19808706547482807,0.25276085368043605
1990s,1850,0.09539033507883403,0.23028780682925912
2010s,1904,0.022047576921718583,0.20788848141057756
All atlas periods,5530,0.08453552763888438,0.22979301760873835
