k,mean_silhouette,min_cluster_n,min_cluster_prop
3,0.2061682173318312,401,0.22578828828828829
4,0.1591990328844802,368,0.2072072072072072
5,0.16627035013539637,154,0.08671171171171171
6,0.15731284692446826,156,0.08783783783783784
7,0.1516186949124455,131,0.07376126126126126
8,0.14169560401949777,138,0.0777027027027027
