"site","lat","lon","atlas","survey"
"BD32",56.50392,8.470694,1,"BD32_1"
"BD33",56.548838,8.470067,1,"BD33_1"
"BD34",56.593757,8.469438,1,"BD34_1"
"BD35",56.638675,8.468808,1,"BD35_1"
"BD36",56.683593,8.468175,1,"BD36_1"
"BD37",56.728511,8.467541,1,"BD37_1"
"BD38",56.773428,8.466905,1,"BD38_1"
"BD39",56.818344,8.466267,1,"BD39_1"
"BD40",56.4144,8.552978,1,"BD40_1"
"BD41",56.45932,8.55245,1,"BD41_1"
"BD42",56.504239,8.551921,1,"BD42_1"
"BD43",56.549159,8.55139,1,"BD43_1"
"BD44",56.594078,8.550858,1,"BD44_1"
"BD45",56.638996,8.550324,1,"BD45_1"
"BD46",56.683915,8.549788,1,"BD46_1"
"BD47",56.728833,8.549251,1,"BD47_1"
"BD48",56.77375,8.548713,1,"BD48_1"
"BD49",56.818668,8.548173,1,"BD49_1"
"BD50",56.414665,8.634015,1,"BD50_1"
"BD51",56.459586,8.633582,1,"BD51_1"
"BD52",56.504506,8.633149,1,"BD52_1"
"BD53",56.549426,8.632714,1,"BD53_1"
"BD54",56.594345,8.632278,1,"BD54_1"
"BD55",56.639264,8.631841,1,"BD55_1"
"BD56",56.684183,8.631403,1,"BD56_1"
"BD57",56.729101,8.630963,1,"BD57_1"
"BD58",56.77402,8.630522,1,"BD58_1"
"BD59",56.818937,8.63008,1,"BD59_1"
"BD60",56.414878,8.715052,1,"BD60_1"
"BD61",56.459799,8.714716,1,"BD61_1"
"BD62",56.504719,8.714378,1,"BD62_1"
"BD63",56.549639,8.71404,1,"BD63_1"
"BD64",56.594559,8.7137,1,"BD64_1"
"BD65",56.639479,8.71336,1,"BD65_1"
"BD66",56.684398,8.713018,1,"BD66_1"
"BD67",56.729317,8.712676,1,"BD67_1"
"BD68",56.774235,8.712332,1,"BD68_1"
"BD69",56.819153,8.711988,1,"BD69_1"
"BD70",56.415038,8.796091,1,"BD70_1"
"BD71",56.459959,8.79585,1,"BD71_1"
"BD72",56.50488,8.795609,1,"BD72_1"
"BD73",56.5498,8.795366,1,"BD73_1"
"BD74",56.59472,8.795123,1,"BD74_1"
"BD75",56.63964,8.79488,1,"BD75_1"
"BD76",56.684559,8.794635,1,"BD76_1"
"BD77",56.729478,8.79439,1,"BD77_1"
"BD78",56.774397,8.794144,1,"BD78_1"
"BD79",56.819315,8.793897,1,"BD79_1"
"BD80",56.415145,8.87713,1,"BD80_1"
"BD81",56.460066,8.876985,1,"BD81_1"
"BD82",56.504987,8.876839,1,"BD82_1"
"BD83",56.549907,8.876693,1,"BD83_1"
"BD84",56.594828,8.876547,1,"BD84_1"
"BD85",56.639748,8.8764,1,"BD85_1"
"BD86",56.684667,8.876252,1,"BD86_1"
"BD87",56.729586,8.876105,1,"BD87_1"
"BD88",56.774505,8.875956,1,"BD88_1"
"BD89",56.819424,8.875807,1,"BD89_1"
"BD90",56.415199,8.95817,1,"BD90_1"
"BD91",56.46012,8.95812,1,"BD91_1"
"BD92",56.505041,8.958071,1,"BD92_1"
"BD93",56.549962,8.958021,1,"BD93_1"
"BD94",56.594882,8.957971,1,"BD94_1"
"BD95",56.639802,8.95792,1,"BD95_1"
"BD96",56.684722,8.95787,1,"BD96_1"
"BD97",56.729641,8.95782,1,"BD97_1"
"BD98",56.77456,8.957769,1,"BD98_1"
"BD99",56.819478,8.957718,1,"BD99_1"
"BE02",56.053459,8.236038,1,"BE02_1"
"BE03",56.098379,8.235148,1,"BE03_1"
"BE04",56.143298,8.234256,1,"BE04_1"
"BE05",56.188217,8.233362,1,"BE05_1"
"BE06",56.233136,8.232465,1,"BE06_1"
"BE07",56.278054,8.231565,1,"BE07_1"
"BE08",56.322972,8.230662,1,"BE08_1"
"BE09",56.36789,8.229757,1,"BE09_1"
"BE10",55.964088,8.317897,1,"BE10_1"
"BE11",56.009009,8.317105,1,"BE11_1"
"BE12",56.05393,8.316312,1,"BE12_1"
"BE13",56.098851,8.315516,1,"BE13_1"
"BE14",56.143771,8.314717,1,"BE14_1"
"BE15",56.188691,8.313917,1,"BE15_1"
"BE16",56.23361,8.313114,1,"BE16_1"
"BE17",56.278529,8.312308,1,"BE17_1"
"BE18",56.323448,8.311501,1,"BE18_1"
"BE19",56.368367,8.310691,1,"BE19_1"
"BE20",55.964505,8.397987,1,"BE20_1"
"BE21",56.009427,8.397288,1,"BE21_1"
"BE22",56.054349,8.396588,1,"BE22_1"
"BE23",56.09927,8.395885,1,"BE23_1"
"BE24",56.144191,8.395181,1,"BE24_1"
"BE25",56.189112,8.394474,1,"BE25_1"
"BE26",56.234032,8.393765,1,"BE26_1"
"BE27",56.278952,8.393054,1,"BE27_1"
"BE28",56.323871,8.392342,1,"BE28_1"
"BE29",56.368791,8.391627,1,"BE29_1"
"BE30",55.964871,8.478079,1,"BE30_1"
"BE31",56.009793,8.477473,1,"BE31_1"
"BE32",56.054716,8.476866,1,"BE32_1"
"BE33",56.099637,8.476257,1,"BE33_1"
"BE34",56.144559,8.475646,1,"BE34_1"
"BE35",56.18948,8.475033,1,"BE35_1"
"BE36",56.234401,8.474419,1,"BE36_1"
"BE37",56.279321,8.473802,1,"BE37_1"
"BE38",56.324242,8.473184,1,"BE38_1"
"BE39",56.369161,8.472565,1,"BE39_1"
"BE40",55.965184,8.558173,1,"BE40_1"
"BE41",56.010107,8.55766,1,"BE41_1"
"BE42",56.05503,8.557146,1,"BE42_1"
"BE43",56.099952,8.55663,1,"BE43_1"
"BE44",56.144874,8.556113,1,"BE44_1"
"BE45",56.189796,8.555594,1,"BE45_1"
"BE46",56.234717,8.555074,1,"BE46_1"
"BE47",56.279638,8.554552,1,"BE47_1"
"BE48",56.324559,8.554029,1,"BE48_1"
"BE49",56.369479,8.553504,1,"BE49_1"
"BE50",55.965445,8.638268,1,"BE50_1"
"BE51",56.010369,8.637848,1,"BE51_1"
"BE52",56.055292,8.637427,1,"BE52_1"
"BE53",56.100215,8.637005,1,"BE53_1"
"BE54",56.145137,8.636581,1,"BE54_1"
"BE55",56.190059,8.636157,1,"BE55_1"
"BE56",56.234981,8.635731,1,"BE56_1"
"BE57",56.279903,8.635304,1,"BE57_1"
"BE58",56.324824,8.634875,1,"BE58_1"
"BE59",56.369745,8.634445,1,"BE59_1"
"BE60",55.965654,8.718365,1,"BE60_1"
"BE61",56.010578,8.718038,1,"BE61_1"
"BE62",56.055502,8.71771,1,"BE62_1"
"BE63",56.100425,8.717381,1,"BE63_1"
"BE64",56.145348,8.717051,1,"BE64_1"
"BE65",56.19027,8.71672,1,"BE65_1"
"BE66",56.235192,8.716389,1,"BE66_1"
"BE67",56.280114,8.716056,1,"BE67_1"
"BE68",56.325036,8.715722,1,"BE68_1"
"BE69",56.369957,8.715388,1,"BE69_1"
"BE70",55.965811,8.798462,1,"BE70_1"
"BE71",56.010735,8.798228,1,"BE71_1"
"BE72",56.055659,8.797993,1,"BE72_1"
"BE73",56.100583,8.797758,1,"BE73_1"
"BE74",56.145506,8.797522,1,"BE74_1"
"BE75",56.190429,8.797285,1,"BE75_1"
"BE76",56.235351,8.797047,1,"BE76_1"
"BE77",56.280273,8.796809,1,"BE77_1"
"BE78",56.325195,8.796571,1,"BE78_1"
"BE79",56.370117,8.796331,1,"BE79_1"
"BE80",55.965916,8.87856,1,"BE80_1"
"BE81",56.010841,8.878419,1,"BE81_1"
"BE82",56.055765,8.878277,1,"BE82_1"
"BE83",56.100688,8.878135,1,"BE83_1"
"BE84",56.145612,8.877993,1,"BE84_1"
"BE85",56.190535,8.87785,1,"BE85_1"
"BE86",56.235457,8.877707,1,"BE86_1"
"BE87",56.28038,8.877563,1,"BE87_1"
"BE88",56.325302,8.877419,1,"BE88_1"
"BE89",56.370224,8.877275,1,"BE89_1"
"BE90",55.965969,8.958658,1,"BE90_1"
"BE91",56.010894,8.95861,1,"BE91_1"
"BE92",56.055818,8.958562,1,"BE92_1"
"BE93",56.100742,8.958513,1,"BE93_1"
"BE94",56.145665,8.958465,1,"BE94_1"
"BE95",56.190588,8.958416,1,"BE95_1"
"BE96",56.235511,8.958367,1,"BE96_1"
"BE97",56.280434,8.958318,1,"BE97_1"
"BE98",56.325356,8.958269,1,"BE98_1"
"BE99",56.370277,8.958219,1,"BE99_1"
"BF00",55.514395,8.246517,1,"BF00_1"
"BF01",55.559319,8.245657,1,"BF01_1"
"BF02",55.604242,8.244795,1,"BF02_1"
"BF03",55.649165,8.24393,1,"BF03_1"
"BF04",55.694088,8.243063,1,"BF04_1"
"BF05",55.73901,8.242193,1,"BF05_1"
"BF06",55.783932,8.241321,1,"BF06_1"
"BF07",55.828854,8.240447,1,"BF07_1"
"BF08",55.873776,8.23957,1,"BF08_1"
"BF10",55.514857,8.32569,1,"BF10_1"
"BF11",55.559781,8.32492,1,"BF11_1"
"BF12",55.604706,8.324149,1,"BF12_1"
"BF13",55.649629,8.323375,1,"BF13_1"
"BF14",55.694553,8.322599,1,"BF14_1"
"BF15",55.739476,8.321821,1,"BF15_1"
"BF16",55.784399,8.32104,1,"BF16_1"
"BF17",55.829322,8.320258,1,"BF17_1"
"BF18",55.874244,8.319473,1,"BF18_1"
"BF20",55.515267,8.404865,1,"BF20_1"
"BF21",55.560192,8.404186,1,"BF21_1"
"BF22",55.605117,8.403505,1,"BF22_1"
"BF23",55.650042,8.402822,1,"BF23_1"
"BF24",55.694966,8.402137,1,"BF24_1"
"BF25",55.73989,8.40145,1,"BF25_1"
"BF26",55.784814,8.400761,1,"BF26_1"
"BF27",55.829737,8.400071,1,"BF27_1"
"BF28",55.87466,8.399378,1,"BF28_1"
"BF29",55.919583,8.398683,1,"BF29_1"
"BF30",55.515626,8.484042,1,"BF30_1"
"BF31",55.560552,8.483453,1,"BF31_1"
"BF32",55.605478,8.482863,1,"BF32_1"
"BF33",55.650403,8.482271,1,"BF33_1"
"BF34",55.695328,8.481677,1,"BF34_1"
"BF35",55.740252,8.481082,1,"BF35_1"
"BF36",55.785176,8.480484,1,"BF36_1"
"BF37",55.8301,8.479886,1,"BF37_1"
"BF38",55.875024,8.479285,1,"BF38_1"
"BF39",55.919948,8.478683,1,"BF39_1"
"BF40",55.515934,8.563221,1,"BF40_1"
"BF41",55.560861,8.562723,1,"BF41_1"
"BF42",55.605787,8.562223,1,"BF42_1"
"BF43",55.650712,8.561722,1,"BF43_1"
"BF44",55.695638,8.561219,1,"BF44_1"
"BF45",55.740563,8.560715,1,"BF45_1"
"BF46",55.785488,8.560209,1,"BF46_1"
"BF47",55.830412,8.559702,1,"BF47_1"
"BF48",55.875336,8.559194,1,"BF48_1"
"BF49",55.92026,8.558684,1,"BF49_1"
"BF50",55.516191,8.642402,1,"BF50_1"
"BF51",55.561118,8.641993,1,"BF51_1"
"BF52",55.606044,8.641584,1,"BF52_1"
"BF53",55.65097,8.641174,1,"BF53_1"
"BF54",55.695896,8.640762,1,"BF54_1"
"BF55",55.740822,8.640349,1,"BF55_1"
"BF56",55.785747,8.639936,1,"BF56_1"
"BF57",55.830672,8.63952,1,"BF57_1"
"BF58",55.875597,8.639104,1,"BF58_1"
"BF59",55.920521,8.638687,1,"BF59_1"
"BF60",55.516397,8.721583,1,"BF60_1"
"BF61",55.561324,8.721265,1,"BF61_1"
"BF62",55.606251,8.720947,1,"BF62_1"
"BF63",55.651177,8.720627,1,"BF63_1"
"BF64",55.696103,8.720307,1,"BF64_1"
"BF65",55.741029,8.719985,1,"BF65_1"
"BF66",55.785955,8.719663,1,"BF66_1"
"BF67",55.83088,8.71934,1,"BF67_1"
"BF68",55.875805,8.719016,1,"BF68_1"
"BF69",55.92073,8.718691,1,"BF69_1"
"BF70",55.516551,8.800766,1,"BF70_1"
"BF71",55.561479,8.800538,1,"BF71_1"
"BF72",55.606406,8.80031,1,"BF72_1"
"BF73",55.651332,8.800081,1,"BF73_1"
"BF74",55.696259,8.799852,1,"BF74_1"
"BF75",55.741185,8.799622,1,"BF75_1"
"BF76",55.786111,8.799391,1,"BF76_1"
"BF77",55.831036,8.79916,1,"BF77_1"
"BF78",55.875962,8.798928,1,"BF78_1"
"BF79",55.920887,8.798695,1,"BF79_1"
"BF80",55.516655,8.879949,1,"BF80_1"
"BF81",55.561582,8.879812,1,"BF81_1"
"BF82",55.606509,8.879674,1,"BF82_1"
"BF83",55.651436,8.879536,1,"BF83_1"
"BF84",55.696363,8.879398,1,"BF84_1"
"BF85",55.741289,8.879259,1,"BF85_1"
"BF86",55.786215,8.87912,1,"BF86_1"
"BF87",55.831141,8.878981,1,"BF87_1"
"BF88",55.876066,8.878841,1,"BF88_1"
"BF89",55.920991,8.8787,1,"BF89_1"
"BF90",55.516707,8.959133,1,"BF90_1"
"BF91",55.561634,8.959086,1,"BF91_1"
"BF92",55.606562,8.959039,1,"BF92_1"
"BF93",55.651489,8.958992,1,"BF93_1"
"BF94",55.696415,8.958944,1,"BF94_1"
"BF95",55.741342,8.958897,1,"BF95_1"
"BF96",55.786268,8.95885,1,"BF96_1"
"BF97",55.831194,8.958802,1,"BF97_1"
"BF98",55.876119,8.958754,1,"BF98_1"
"BF99",55.921044,8.958706,1,"BF99_1"
"BG09",55.469471,8.247373,1,"BG09_1"
"BG19",55.469932,8.326457,1,"BG19_1"
"BG26",55.335562,8.407561,1,"BG26_1"
"BG27",55.380489,8.40689,1,"BG27_1"
"BG28",55.425416,8.406217,1,"BG28_1"
"BG29",55.470342,8.405542,1,"BG29_1"
"BG30",55.066346,8.489839,1,"BG30_1"
"BG31",55.111276,8.489265,1,"BG31_1"
"BG32",55.156205,8.488691,1,"BG32_1"
"BG33",55.201134,8.488115,1,"BG33_1"
"BG36",55.335919,8.48638,1,"BG36_1"
"BG37",55.380847,8.485798,1,"BG37_1"
"BG38",55.425774,8.485215,1,"BG38_1"
"BG39",55.4707,8.484629,1,"BG39_1"
"BG40",55.066649,8.568129,1,"BG40_1"
"BG41",55.11158,8.567643,1,"BG41_1"
"BG42",55.156509,8.567157,1,"BG42_1"
"BG43",55.201439,8.56667,1,"BG43_1"
"BG45",55.291297,8.565692,1,"BG45_1"
"BG48",55.42608,8.564214,1,"BG48_1"
"BG49",55.471008,8.563718,1,"BG49_1"
"BG50",55.066902,8.64642,1,"BG50_1"
"BG51",55.111833,8.646023,1,"BG51_1"
"BG52",55.156763,8.645625,1,"BG52_1"
"BG53",55.201693,8.645226,1,"BG53_1"
"BG54",55.246622,8.644826,1,"BG54_1"
"BG55",55.291551,8.644425,1,"BG55_1"
"BG56",55.33648,8.644023,1,"BG56_1"
"BG57",55.381409,8.643619,1,"BG57_1"
"BG58",55.426336,8.643214,1,"BG58_1"
"BG59",55.471264,8.642809,1,"BG59_1"
"BG60",55.067105,8.724712,1,"BG60_1"
"BG61",55.112036,8.724403,1,"BG61_1"
"BG62",55.156966,8.724093,1,"BG62_1"
"BG63",55.201896,8.723783,1,"BG63_1"
"BG64",55.246826,8.723471,1,"BG64_1"
"BG65",55.291755,8.723159,1,"BG65_1"
"BG66",55.336685,8.722845,1,"BG66_1"
"BG67",55.381613,8.722531,1,"BG67_1"
"BG68",55.426541,8.722216,1,"BG68_1"
"BG69",55.471469,8.7219,1,"BG69_1"
"BG70",55.067257,8.803006,1,"BG70_1"
"BG71",55.112188,8.802784,1,"BG71_1"
"BG72",55.157119,8.802563,1,"BG72_1"
"BG73",55.202049,8.80234,1,"BG73_1"
"BG74",55.246979,8.802117,1,"BG74_1"
"BG75",55.291909,8.801894,1,"BG75_1"
"BG76",55.336838,8.801669,1,"BG76_1"
"BG77",55.381767,8.801444,1,"BG77_1"
"BG78",55.426695,8.801219,1,"BG78_1"
"BG79",55.471624,8.800993,1,"BG79_1"
"BG80",55.067358,8.8813,1,"BG80_1"
"BG81",55.11229,8.881166,1,"BG81_1"
"BG82",55.157221,8.881033,1,"BG82_1"
"BG83",55.202151,8.880898,1,"BG83_1"
"BG84",55.247081,8.880764,1,"BG84_1"
"BG85",55.292011,8.880629,1,"BG85_1"
"BG86",55.336941,8.880494,1,"BG86_1"
"BG87",55.38187,8.880358,1,"BG87_1"
"BG88",55.426798,8.880222,1,"BG88_1"
"BG89",55.471727,8.880086,1,"BG89_1"
"BG90",55.06741,8.959594,1,"BG90_1"
"BG91",55.112341,8.959548,1,"BG91_1"
"BG92",55.157272,8.959503,1,"BG92_1"
"BG93",55.202203,8.959457,1,"BG93_1"
"BG94",55.247133,8.959411,1,"BG94_1"
"BG95",55.292063,8.959365,1,"BG95_1"
"BG96",55.336992,8.959319,1,"BG96_1"
"BG97",55.381922,8.959272,1,"BG97_1"
"BG98",55.42685,8.959226,1,"BG98_1"
"BG99",55.471779,8.959179,1,"BG99_1"
"BH49",55.021719,8.568613,1,"BH49_1"
"BH57",54.932109,8.647605,1,"BH57_1"
"BH58",54.97704,8.647211,1,"BH58_1"
"BH59",55.021971,8.646816,1,"BH59_1"
"BH66",54.887379,8.72594,1,"BH66_1"
"BH67",54.93231,8.725635,1,"BH67_1"
"BH68",54.977242,8.725329,1,"BH68_1"
"BH69",55.022173,8.725021,1,"BH69_1"
"BH76",54.88753,8.803885,1,"BH76_1"
"BH77",54.932462,8.803666,1,"BH77_1"
"BH78",54.977394,8.803447,1,"BH78_1"
"BH79",55.022325,8.803227,1,"BH79_1"
"BH86",54.887631,8.88183,1,"BH86_1"
"BH87",54.932563,8.881698,1,"BH87_1"
"BH88",54.977495,8.881566,1,"BH88_1"
"BH89",55.022427,8.881433,1,"BH89_1"
"BH96",54.887682,8.959775,1,"BH96_1"
"BH97",54.932614,8.95973,1,"BH97_1"
"BH98",54.977546,8.959685,1,"BH98_1"
"BH99",55.022478,8.959639,1,"BH99_1"
"CC01",56.909315,9.039723,1,"CC01_1"
"CC03",56.99915,9.039818,1,"CC03_1"
"CC04",57.044067,9.039866,1,"CC04_1"
"CC05",57.088983,9.039914,1,"CC05_1"
"CC06",57.1339,9.039962,1,"CC06_1"
"CD00",56.4152,9.03921,1,"CD00_1"
"CD01",56.460121,9.039256,1,"CD01_1"
"CD02",56.505042,9.039302,1,"CD02_1"
"CD03",56.549963,9.039348,1,"CD03_1"
"CD04",56.594883,9.039395,1,"CD04_1"
"CD05",56.639803,9.039441,1,"CD05_1"
"CD06",56.684723,9.039488,1,"CD06_1"
"CD07",56.729642,9.039535,1,"CD07_1"
"CD08",56.774561,9.039581,1,"CD08_1"
"CD09",56.819479,9.039628,1,"CD09_1"
"CE00",55.96597,9.038757,1,"CE00_1"
"CE01",56.010895,9.038802,1,"CE01_1"
"CE02",56.055819,9.038846,1,"CE02_1"
"CE03",56.100743,9.038891,1,"CE03_1"
"CE04",56.145666,9.038937,1,"CE04_1"
"CE05",56.190589,9.038982,1,"CE05_1"
"CE06",56.235512,9.039027,1,"CE06_1"
"CE07",56.280435,9.039073,1,"CE07_1"
"CE08",56.325357,9.039118,1,"CE08_1"
"CE09",56.370279,9.039164,1,"CE09_1"
"CF01",55.561635,9.03836,1,"CF01_1"
"CF02",55.606563,9.038404,1,"CF02_1"
"CF03",55.65149,9.038447,1,"CF03_1"
"CF04",55.696416,9.038491,1,"CF04_1"
"CF05",55.741343,9.038535,1,"CF05_1"
"CF06",55.786269,9.038579,1,"CF06_1"
"CF07",55.831195,9.038623,1,"CF07_1"
"CF08",55.87612,9.038668,1,"CF08_1"
"CF09",55.921045,9.038712,1,"CF09_1"
"CB70",57.312036,9.621173,1,"CB70_1"
"CB80",57.311599,9.70417,1,"CB80_1"
"CB81",57.356511,9.705029,1,"CB81_1"
"CB82",57.401422,9.705891,1,"CB82_1"
"CB90",57.311108,9.787165,1,"CB90_1"
"CB91",57.356018,9.788125,1,"CB91_1"
"CB92",57.400929,9.789089,1,"CB92_1"
"CB93",57.445839,9.790055,1,"CB93_1"
"CB94",57.490748,9.791024,1,"CB94_1"
"CC10",56.864345,9.121684,1,"CC10_1"
"CC11",56.909263,9.12183,1,"CC11_1"
"CC14",57.044014,9.122269,1,"CC14_1"
"CC15",57.08893,9.122417,1,"CC15_1"
"CC16",57.133846,9.122565,1,"CC16_1"
"CC20",56.864238,9.203692,1,"CC20_1"
"CC21",56.909156,9.203936,1,"CC21_1"
"CC22",56.954073,9.204181,1,"CC22_1"
"CC23",56.99899,9.204426,1,"CC23_1"
"CC24",57.043906,9.204673,1,"CC24_1"
"CC25",57.088823,9.20492,1,"CC25_1"
"CC26",57.133738,9.205167,1,"CC26_1"
"CC30",56.864078,9.285699,1,"CC30_1"
"CC31",56.908995,9.286042,1,"CC31_1"
"CC32",56.953912,9.286385,1,"CC32_1"
"CC33",56.998829,9.28673,1,"CC33_1"
"CC34",57.043745,9.287075,1,"CC34_1"
"CC35",57.088661,9.287422,1,"CC35_1"
"CC36",57.133576,9.287769,1,"CC36_1"
"CC40",56.863864,9.367705,1,"CC40_1"
"CC41",56.908781,9.368146,1,"CC41_1"
"CC42",56.953697,9.368589,1,"CC42_1"
"CC43",56.998613,9.369032,1,"CC43_1"
"CC44",57.043529,9.369477,1,"CC44_1"
"CC45",57.088445,9.369923,1,"CC45_1"
"CC46",57.13336,9.37037,1,"CC46_1"
"CC47",57.178275,9.370819,1,"CC47_1"
"CC50",56.863596,9.44971,1,"CC50_1"
"CC51",56.908512,9.45025,1,"CC51_1"
"CC52",56.953428,9.450791,1,"CC52_1"
"CC53",56.998344,9.451333,1,"CC53_1"
"CC54",57.043259,9.451877,1,"CC54_1"
"CC55",57.088174,9.452422,1,"CC55_1"
"CC56",57.133089,9.45297,1,"CC56_1"
"CC57",57.178004,9.453518,1,"CC57_1"
"CC60",56.863274,9.531714,1,"CC60_1"
"CC61",56.90819,9.532351,1,"CC61_1"
"CC62",56.953105,9.532991,1,"CC62_1"
"CC63",56.998021,9.533632,1,"CC63_1"
"CC64",57.042935,9.534276,1,"CC64_1"
"CC65",57.08785,9.534921,1,"CC65_1"
"CC66",57.132764,9.535568,1,"CC66_1"
"CC67",57.177678,9.536217,1,"CC67_1"
"CC68",57.222592,9.536867,1,"CC68_1"
"CC70",56.862898,9.613715,1,"CC70_1"
"CC71",56.907813,9.614451,1,"CC71_1"
"CC72",56.952728,9.61519,1,"CC72_1"
"CC73",56.997643,9.61593,1,"CC73_1"
