survey,site,bioregion,variable,value_raw,variable_label,national_mean,national_median,national_sd,value_relative_to_national
AD90_1,AD90,Cluster 1,tmean_breeding,8.47988972508823,Temperature,8.395019836554825,8.416934228376359,0.19201524932505465,0.3278671716603906
AD90_1,AD90,Cluster 1,prec_breeding,135.417750659986,Precipitation,128.35983028092753,126.2008668289715,12.290676940288781,0.7499085588037556
AD90_1,AD90,Cluster 1,hh,0.618778363356389,Land-use heterogeneity,0.434204235075491,0.480924881210568,0.22882328977267316,0.6024451544367403
AD90_1,AD90,Cluster 1,perc_urban,0,Urban,0.09872583206978074,0.04870933595651575,0.14084422666790042,-0.3458383570905503
AD90_1,AD90,Cluster 1,perc_cropland,0.0933377430831709,Cropland,0.5584718573694387,0.6239454337793555,0.32723748714239265,-1.621475874691882
AD90_1,AD90,Cluster 1,perc_pasture,0.282515181253616,Pasture,0.05130629633513138,0,0.0993572956234167,2.843426639996352
AD90_1,AD90,Cluster 1,perc_forest,0,Forest,0.10401747817882706,0.0299214147800638,0.16236497160786373,-0.18428491369633962
AD90_1,AD90,Cluster 1,perc_grass_shrub,0.0630141046866698,Grass/Shrubland,0.05440721034042868,0.0243127664128194,0.0765990783954602,0.5052454818587494
BD19_1,BD19,Cluster 1,tmean_breeding,8.37309115174707,Temperature,8.395019836554825,8.416934228376359,0.19201524932505465,-0.22833122256383095
BD19_1,BD19,Cluster 1,prec_breeding,136.040808322755,Precipitation,128.35983028092753,126.2008668289715,12.290676940288781,0.8006020776226098
BD19_1,BD19,Cluster 1,hh,0.780667321190935,Land-use heterogeneity,0.434204235075491,0.480924881210568,0.22882328977267316,1.3099297727873294
BD19_1,BD19,Cluster 1,perc_urban,0.0243546676620339,Urban,0.09872583206978074,0.04870933595651575,0.14084422666790042,-0.1729191807904788
BD19_1,BD19,Cluster 1,perc_cropland,0.18459861776607,Cropland,0.5584718573694387,0.6239454337793555,0.32723748714239265,-1.3425931724689908
BD19_1,BD19,Cluster 1,perc_pasture,0.299502133768088,Pasture,0.05130629633513138,0,0.0993572956234167,3.0143949861845956
BD19_1,BD19,Cluster 1,perc_forest,0.118682525024116,Forest,0.10401747817882706,0.0299214147800638,0.16236497160786373,0.546676474396361
BD19_1,BD19,Cluster 1,perc_grass_shrub,0.235774732630159,Grass/Shrubland,0.05440721034042868,0.0243127664128194,0.0765990783954602,2.760633295424509
DC09_1,DC09,Cluster 1,tmean_breeding,8.54262216520824,Temperature,8.395019836554825,8.416934228376359,0.19201524932505465,0.6545726825014232
DC09_1,DC09,Cluster 1,prec_breeding,122.022766439701,Precipitation,128.35983028092753,126.2008668289715,12.290676940288781,-0.33994062406560405
DC09_1,DC09,Cluster 1,hh,0.189512668041235,Land-use heterogeneity,0.434204235075491,0.480924881210568,0.22882328977267316,-1.2735251444852462
DC09_1,DC09,Cluster 1,perc_urban,0.0266417256378665,Urban,0.09872583206978074,0.04870933595651575,0.14084422666790042,-0.15668097188451274
DC09_1,DC09,Cluster 1,perc_cropland,0.896596436937485,Cropland,0.5584718573694387,0.6239454337793555,0.32723748714239265,0.8331900038075081
DC09_1,DC09,Cluster 1,perc_pasture,0,Pasture,0.05130629633513138,0,0.0993572956234167,0
DC09_1,DC09,Cluster 1,perc_forest,0,Forest,0.10401747817882706,0.0299214147800638,0.16236497160786373,-0.18428491369633962
DC09_1,DC09,Cluster 1,perc_grass_shrub,0.0767618374246486,Grass/Shrubland,0.05440721034042868,0.0243127664128194,0.0765990783954602,0.6847219589385777
DB11_1,DB11,Cluster 2,tmean_breeding,8.42796743326567,Temperature,8.395019836554825,8.416934228376359,0.19201524932505465,0.05746004511669071
DB11_1,DB11,Cluster 2,prec_breeding,120.616290811715,Precipitation,128.35983028092753,126.2008668289715,12.290676940288781,-0.4543749741684513
DB11_1,DB11,Cluster 2,hh,0.449415964138006,Land-use heterogeneity,0.434204235075491,0.480924881210568,0.22882328977267316,-0.13769978180046638
DB11_1,DB11,Cluster 2,perc_urban,0.340965356192441,Urban,0.09872583206978074,0.04870933595651575,0.14084422666790042,2.0750301744709914
DB11_1,DB11,Cluster 2,perc_cropland,0.659034643807558,Cropland,0.5584718573694387,0.6239454337793555,0.32723748714239265,0.10722857681929936
DB11_1,DB11,Cluster 2,perc_pasture,0,Pasture,0.05130629633513138,0,0.0993572956234167,0
DB11_1,DB11,Cluster 2,perc_forest,0,Forest,0.10401747817882706,0.0299214147800638,0.16236497160786373,-0.18428491369633962
DB11_1,DB11,Cluster 2,perc_grass_shrub,0,Grass/Shrubland,0.05440721034042868,0.0243127664128194,0.0765990783954602,-0.3174028581296919
DB13_1,DB13,Cluster 3,tmean_breeding,8.40398419705715,Temperature,8.395019836554825,8.416934228376359,0.19201524932505465,-0.06744272324582933
DB13_1,DB13,Cluster 3,prec_breeding,120.547049347749,Precipitation,128.35983028092753,126.2008668289715,12.290676940288781,-0.4600086316392644
DB13_1,DB13,Cluster 3,hh,0.514697585721414,Land-use heterogeneity,0.434204235075491,0.480924881210568,0.22882328977267316,0.1475929506318953
DB13_1,DB13,Cluster 3,perc_urban,0.304787664869584,Urban,0.09872583206978074,0.04870933595651575,0.14084422666790042,1.818167027299463
DB13_1,DB13,Cluster 3,perc_cropland,0.6221483302317,Cropland,0.5584718573694387,0.6239454337793555,0.32723748714239265,-0.00549174106960892
DB13_1,DB13,Cluster 3,perc_pasture,0,Pasture,0.05130629633513138,0,0.0993572956234167,0
DB13_1,DB13,Cluster 3,perc_forest,0.0730640048987164,Forest,0.10401747817882706,0.0299214147800638,0.16236497160786373,0.2657136554234651
DB13_1,DB13,Cluster 3,perc_grass_shrub,0,Grass/Shrubland,0.05440721034042868,0.0243127664128194,0.0765990783954602,-0.3174028581296919
DB14_1,DB14,Cluster 3,tmean_breeding,8.38211620111851,Temperature,8.395019836554825,8.416934228376359,0.19201524932505465,-0.18132949013287422
DB14_1,DB14,Cluster 3,prec_breeding,119.34811944413,Precipitation,128.35983028092753,126.2008668289715,12.290676940288781,-0.5575565461637202
DB14_1,DB14,Cluster 3,hh,0.463604071781248,Land-use heterogeneity,0.434204235075491,0.480924881210568,0.22882328977267316,-0.07569513333423139
DB14_1,DB14,Cluster 3,perc_urban,0.188930470791353,Urban,0.09872583206978074,0.04870933595651575,0.14084422666790042,0.9955760214827096
DB14_1,DB14,Cluster 3,perc_cropland,0.70143907252622,Cropland,0.5584718573694387,0.6239454337793555,0.32723748714239265,0.23681161783626642
DB14_1,DB14,Cluster 3,perc_pasture,0.0913871741649368,Pasture,0.05130629633513138,0,0.0993572956234167,0.9197832287154011
DB14_1,DB14,Cluster 3,perc_forest,0,Forest,0.10401747817882706,0.0299214147800638,0.16236497160786373,-0.18428491369633962
DB14_1,DB14,Cluster 3,perc_grass_shrub,0.01824328251749,Grass/Shrubland,0.05440721034042868,0.0243127664128194,0.0765990783954602,-0.07923703551620175
DB15_1,DB15,Cluster 3,tmean_breeding,8.31896655100977,Temperature,8.395019836554825,8.416934228376359,0.19201524932505465,-0.5102077970939843
DB15_1,DB15,Cluster 3,prec_breeding,122.930284291606,Precipitation,128.35983028092753,126.2008668289715,12.290676940288781,-0.26610271779616507
DB15_1,DB15,Cluster 3,hh,0.582794077276637,Land-use heterogeneity,0.434204235075491,0.480924881210568,0.22882328977267316,0.4451871842559035
DB15_1,DB15,Cluster 3,perc_urban,0.121773341504319,Urban,0.09872583206978074,0.04870933595651575,0.14084422666790042,0.5187575470884044
DB15_1,DB15,Cluster 3,perc_cropland,0.583357364408126,Cropland,0.5584718573694387,0.6239454337793555,0.32723748714239265,-0.12403245644521217
DB15_1,DB15,Cluster 3,perc_pasture,0.0291827575865975,Pasture,0.05130629633513138,0,0.0993572956234167,0.29371529693406484
DB15_1,DB15,Cluster 3,perc_forest,0.0485533532657787,Forest,0.10401747817882706,0.0299214147800638,0.16236497160786373,0.11475343666313621
DB15_1,DB15,Cluster 3,perc_grass_shrub,0.217133183235179,Grass/Shrubland,0.05440721034042868,0.0243127664128194,0.0765990783954602,2.5172681037607303
DB16_1,DB16,Cluster 1,tmean_breeding,8.37739569851295,Temperature,8.395019836554825,8.416934228376359,0.19201524932505465,-0.2059134886546194
DB16_1,DB16,Cluster 1,prec_breeding,119.151223128812,Precipitation,128.35983028092753,126.2008668289715,12.290676940288781,-0.5735765193738673
DB16_1,DB16,Cluster 1,hh,0.742930829363211,Land-use heterogeneity,0.434204235075491,0.480924881210568,0.22882328977267316,1.1450143401615085
DB16_1,DB16,Cluster 1,perc_urban,0.26186985226138,Urban,0.09872583206978074,0.04870933595651575,0.14084422666790042,1.5134487323181511
DB16_1,DB16,Cluster 1,perc_cropland,0.025849631837939,Cropland,0.5584718573694387,0.6239454337793555,0.32723748714239265,-1.8277117550446285
DB16_1,DB16,Cluster 1,perc_pasture,0.251666154555742,Pasture,0.05130629633513138,0,0.0993572956234167,2.5329408673682625
DB16_1,DB16,Cluster 1,perc_forest,0.021338918783007,Forest,0.10401747817882706,0.0299214147800638,0.16236497160786373,-0.0528592830834525
DB16_1,DB16,Cluster 1,perc_grass_shrub,0.0243546682994634,Grass/Shrubland,0.05440721034042868,0.0243127664128194,0.0765990783954602,5.470286003660994e-4
BD20_1,BD20,Cluster 3,tmean_breeding,8.4199740830689,Temperature,8.395019836554825,8.416934228376359,0.19201524932505465,0.015831319143793862
BD20_1,BD20,Cluster 3,prec_breeding,140.23582035852,Precipitation,128.35983028092753,126.2008668289715,12.290676940288781,1.1419186752474126
BD20_1,BD20,Cluster 3,hh,0.456609538436764,Land-use heterogeneity,0.434204235075491,0.480924881210568,0.22882328977267316,-0.10626253471821119
BD20_1,BD20,Cluster 3,perc_urban,0,Urban,0.09872583206978074,0.04870933595651575,0.14084422666790042,-0.3458383570905503
BD20_1,BD20,Cluster 3,perc_cropland,0.707453295854463,Cropland,0.5584718573694387,0.6239454337793555,0.32723748714239265,0.25519039033193125
BD20_1,BD20,Cluster 3,perc_pasture,0.0397231566957469,Pasture,0.05130629633513138,0,0.0993572956234167,0.3998011061644161
BD20_1,BD20,Cluster 3,perc_forest,0.190873160276152,Forest,0.10401747817882706,0.0299214147800638,0.16236497160786373,0.9912959913842212
BD20_1,BD20,Cluster 3,perc_grass_shrub,0.0619503871736378,Grass/Shrubland,0.05440721034042868,0.0243127664128194,0.0765990783954602,0.4913586631748441
DB20_1,DB20,Cluster 3,tmean_breeding,8.37252824588468,Temperature,8.395019836554825,8.416934228376359,0.19201524932505465,-0.23126279109481268
DB20_1,DB20,Cluster 3,prec_breeding,123.321345281843,Precipitation,128.35983028092753,126.2008668289715,12.290676940288781,-0.2342850244228165
DB20_1,DB20,Cluster 3,hh,0.00399967395610012,Land-use heterogeneity,0.434204235075491,0.480924881210568,0.22882328977267316,-2.0842511604840315
DB20_1,DB20,Cluster 3,perc_urban,0.00200385240250115,Urban,0.09872583206978074,0.04870933595651575,0.14084422666790042,-0.3316109198010824
DB20_1,DB20,Cluster 3,perc_cropland,0.997996147597499,Cropland,0.5584718573694387,0.6239454337793555,0.32723748714239265,1.1430558188322133
DB20_1,DB20,Cluster 3,perc_pasture,0,Pasture,0.05130629633513138,0,0.0993572956234167,0
DB20_1,DB20,Cluster 3,perc_forest,0,Forest,0.10401747817882706,0.0299214147800638,0.16236497160786373,-0.18428491369633962
DB20_1,DB20,Cluster 3,perc_grass_shrub,0,Grass/Shrubland,0.05440721034042868,0.0243127664128194,0.0765990783954602,-0.3174028581296919
DB21_1,DB21,Cluster 3,tmean_breeding,8.36348870107653,Temperature,8.395019836554825,8.416934228376359,0.19201524932505465,-0.2783400145961998
DB21_1,DB21,Cluster 3,prec_breeding,120.866381959335,Precipitation,128.35983028092753,126.2008668289715,12.290676940288781,-0.43402693729180053
DB21_1,DB21,Cluster 3,hh,0.236517515100911,Land-use heterogeneity,0.434204235075491,0.480924881210568,0.22882328977267316,-1.0681052892494727
DB21_1,DB21,Cluster 3,perc_urban,0.105380003563523,Urban,0.09872583206978074,0.04870933595651575,0.14084422666790042,0.4023641504357308
DB21_1,DB21,Cluster 3,perc_cropland,0.866955724239629,Cropland,0.5584718573694387,0.6239454337793555,0.32723748714239265,0.7426114061147617
DB21_1,DB21,Cluster 3,perc_pasture,0,Pasture,0.05130629633513138,0,0.0993572956234167,0
DB21_1,DB21,Cluster 3,perc_forest,0,Forest,0.10401747817882706,0.0299214147800638,0.16236497160786373,-0.18428491369633962
DB21_1,DB21,Cluster 3,perc_grass_shrub,0.0276642721968487,Grass/Shrubland,0.05440721034042868,0.0243127664128194,0.0765990783954602,0.04375386563695178
DB22_1,DB22,Cluster 1,tmean_breeding,8.40296755641202,Temperature,8.395019836554825,8.416934228376359,0.19201524932505465,-0.07273730609121944
DB22_1,DB22,Cluster 1,prec_breeding,118.347386778617,Precipitation,128.35983028092753,126.2008668289715,12.290676940288781,-0.6389786411691316
DB22_1,DB22,Cluster 1,hh,0.349788643169907,Land-use heterogeneity,0.434204235075491,0.480924881210568,0.22882328977267316,-0.573089558195495
DB22_1,DB22,Cluster 1,perc_urban,0.0844860453843664,Urban,0.09872583206978074,0.04870933595651575,0.14084422666790042,0.254016158661649
DB22_1,DB22,Cluster 1,perc_cropland,0.793740618184347,Cropland,0.5584718573694387,0.6239454337793555,0.32723748714239265,0.5188744904739707
DB22_1,DB22,Cluster 1,perc_pasture,0.109596002788158,Pasture,0.05130629633513138,0,0.0993572956234167,1.1030493744872845
DB22_1,DB22,Cluster 1,perc_forest,0,Forest,0.10401747817882706,0.0299214147800638,0.16236497160786373,-0.18428491369633962
DB22_1,DB22,Cluster 1,perc_grass_shrub,0.0121773336431286,Grass/Shrubland,0.05440721034042868,0.0243127664128194,0.0765990783954602,-0.15842792137835998
DB23_1,DB23,Cluster 3,tmean_breeding,8.38819294107368,Temperature,8.395019836554825,8.416934228376359,0.19201524932505465,-0.14968231639782223
DB23_1,DB23,Cluster 3,prec_breeding,118.164764455608,Precipitation,128.35983028092753,126.2008668289715,12.290676940288781,-0.6538372469152777
