site,survey_from,survey_to,bioregion_1,bioregion_3,atlas.x,atlas.y,variable,from,to,delta_raw,variable_label,national_mean_delta,national_median_delta,national_sd_delta,delta_relative_to_national
BD19,BD19_1,BD19_3,Cluster 1,Cluster 2,1,3,hh,0.780667321190935,0.783077156857857,0.002409835666921989,Land-use heterogeneity,0.062003502519162035,0.020709709646520247,0.12453054756068756,-0.14695088344231497
BD19,BD19_1,BD19_3,Cluster 1,Cluster 2,1,3,perc_urban,0.0243546676620339,0.0243546676620339,0,Urban,0.018701331002944264,0,0.04401874318659405,0
BD19,BD19_1,BD19_3,Cluster 1,Cluster 2,1,3,perc_cropland,0.18459861776607,0.195072705895275,0.010474088129205,Cropland,-0.056888334729859956,-0.025302527806218,0.11283135998622783,0.31708042816988014
BD19,BD19_1,BD19_3,Cluster 1,Cluster 2,1,3,perc_pasture,0.299502133768088,0.295968334295172,-0.0035337994729159883,Pasture,-0.0030859163253946125,0,0.06411020342686834,-0.0551207028526599
BD19,BD19_1,BD19_3,Cluster 1,Cluster 2,1,3,perc_forest,0.118682525024116,0.24959423390312999,0.130911708879014,Forest,0.027693910910736398,0,0.07188363908141222,1.8211614012856137
BD19,BD19_1,BD19_3,Cluster 1,Cluster 2,1,3,perc_grass_shrub,0.235774732630159,0.0979227350948555,-0.1378519975353035,Grass/Shrubland,0.012991395739266822,0,0.09111115912383148,-1.5130089317373887
DC09,DC09_1,DC09_3,Cluster 1,Cluster 2,1,3,tmean_breeding,8.54262216520824,9.62311218868199,1.0804900234737502,Temperature,1.166075574822343,1.1432688239924493,0.08658277654253788,-0.7250726186617041
DC09,DC09_1,DC09_3,Cluster 1,Cluster 2,1,3,prec_breeding,122.022766439701,192.213294085522,70.19052764582099,Precipitation,76.22566845605704,75.44205569385801,10.600787063580594,-0.49539039097189685
DC09,DC09_1,DC09_3,Cluster 1,Cluster 2,1,3,hh,0.189512668041235,0.192075310611176,0.002562642569940987,Land-use heterogeneity,0.062003502519162035,0.020709709646520247,0.12453054756068756,-0.14572381983413055
DC09,DC09_1,DC09_3,Cluster 1,Cluster 2,1,3,perc_urban,0.0266417256378665,0.0266417256378665,0,Urban,0.018701331002944264,0,0.04401874318659405,0
DC09,DC09_1,DC09_3,Cluster 1,Cluster 2,1,3,perc_cropland,0.896596436937485,0.896596436937485,0,Cropland,-0.056888334729859956,-0.025302527806218,0.11283135998622783,0.22425084488307526
DC09,DC09_1,DC09_3,Cluster 1,Cluster 2,1,3,perc_pasture,0,0.0245326828596435,0.0245326828596435,Pasture,-0.0030859163253946125,0,0.06411020342686834,0.3826642491881713
DC09,DC09_1,DC09_3,Cluster 1,Cluster 2,1,3,perc_forest,0,0,0,Forest,0.027693910910736398,0,0.07188363908141222,0
DC09,DC09_1,DC09_3,Cluster 1,Cluster 2,1,3,perc_grass_shrub,0.0767618374246486,0.0522291545650051,-0.024532682859643495,Grass/Shrubland,0.012991395739266822,0,0.09111115912383148,-0.26926101144537634
DB11,DB11_1,DB11_3,Cluster 2,Cluster 2,1,3,tmean_breeding,8.42796743326567,9.5110758166559,1.0831083833902309,Temperature,1.166075574822343,1.1432688239924493,0.08658277654253788,-0.694831501189637
DB11,DB11_1,DB11_3,Cluster 2,Cluster 2,1,3,prec_breeding,120.616290811715,188.912656334374,68.29636552265899,Precipitation,76.22566845605704,75.44205569385801,10.600787063580594,-0.6740716635794253
DB11,DB11_1,DB11_3,Cluster 2,Cluster 2,1,3,hh,0.449415964138006,0.55112459166735694,0.10170862752935095,Land-use heterogeneity,0.062003502519162035,0.020709709646520247,0.12453054756068756,0.6504341261597476
DB11,DB11_1,DB11_3,Cluster 2,Cluster 2,1,3,perc_urban,0.340965356192441,0.340965356192441,0,Urban,0.018701331002944264,0,0.04401874318659405,0
DB11,DB11_1,DB11_3,Cluster 2,Cluster 2,1,3,perc_cropland,0.659034643807558,0.569475606463855,-0.08955903734370307,Cropland,-0.056888334729859956,-0.025302527806218,0.11283135998622783,-0.5694915805794436
DB11,DB11_1,DB11_3,Cluster 2,Cluster 2,1,3,perc_pasture,0,0,0,Pasture,-0.0030859163253946125,0,0.06411020342686834,0
DB11,DB11_1,DB11_3,Cluster 2,Cluster 2,1,3,perc_forest,0,0,0,Forest,0.027693910910736398,0,0.07188363908141222,0
DB11,DB11_1,DB11_3,Cluster 2,Cluster 2,1,3,perc_grass_shrub,0,0.0895590373437033,0.0895590373437033,Grass/Shrubland,0.012991395739266822,0,0.09111115912383148,0.9829645260245382
DB13,DB13_1,DB13_3,Cluster 3,Cluster 2,1,3,tmean_breeding,8.40398419705715,9.48527679848856,1.081292601431409,Temperature,1.166075574822343,1.1432688239924493,0.08658277654253788,-0.7158031312450641
DB13,DB13_1,DB13_3,Cluster 3,Cluster 2,1,3,prec_breeding,120.547049347749,186.353819310466,65.80676996271701,Precipitation,76.22566845605704,75.44205569385801,10.600787063580594,-0.908921731315912
DB13,DB13_1,DB13_3,Cluster 3,Cluster 2,1,3,hh,0.514697585721414,0.470159570843215,-0.04453801487819897,Land-use heterogeneity,0.062003502519162035,0.020709709646520247,0.12453054756068756,-0.523949551357445
DB13,DB13_1,DB13_3,Cluster 3,Cluster 2,1,3,perc_urban,0.304787664869584,0.3778516697683,0.073064004898716,Urban,0.018701331002944264,0,0.04401874318659405,1.659838505361228
DB13,DB13_1,DB13_3,Cluster 3,Cluster 2,1,3,perc_cropland,0.6221483302317,0.6221483302317,0,Cropland,-0.056888334729859956,-0.025302527806218,0.11283135998622783,0.22425084488307526
DB13,DB13_1,DB13_3,Cluster 3,Cluster 2,1,3,perc_pasture,0,0,0,Pasture,-0.0030859163253946125,0,0.06411020342686834,0
DB13,DB13_1,DB13_3,Cluster 3,Cluster 2,1,3,perc_forest,0.0730640048987164,0,-0.0730640048987164,Forest,0.027693910910736398,0,0.07188363908141222,-1.0164205072585062
DB13,DB13_1,DB13_3,Cluster 3,Cluster 2,1,3,perc_grass_shrub,0,0,0,Grass/Shrubland,0.012991395739266822,0,0.09111115912383148,0
DB14,DB14_1,DB14_3,Cluster 3,Cluster 2,1,3,tmean_breeding,8.38211620111851,9.45849021248433,1.0763740113658198,Temperature,1.166075574822343,1.1432688239924493,0.08658277654253788,-0.7726110815326455
DB14,DB14_1,DB14_3,Cluster 3,Cluster 2,1,3,prec_breeding,119.34811944413,184.331141519894,64.983022075764,Precipitation,76.22566845605704,75.44205569385801,10.600787063580594,-0.986628026330839
DB14,DB14_1,DB14_3,Cluster 3,Cluster 2,1,3,hh,0.463604071781248,0.619426941825127,0.155822870043879,Land-use heterogeneity,0.062003502519162035,0.020709709646520247,0.12453054756068756,1.0849800554479532
DB14,DB14_1,DB14_3,Cluster 3,Cluster 2,1,3,perc_urban,0.188930470791353,0.188930470791353,0,Urban,0.018701331002944264,0,0.04401874318659405,0
DB14,DB14_1,DB14_3,Cluster 3,Cluster 2,1,3,perc_cropland,0.70143907252622,0.557023181982151,-0.144415890544069,Cropland,-0.056888334729859956,-0.025302527806218,0.11283135998622783,-1.0556760350348515
DB14,DB14_1,DB14_3,Cluster 3,Cluster 2,1,3,perc_pasture,0.0913871741649368,0.132498595420737,0.041111421255800196,Pasture,-0.0030859163253946125,0,0.06411020342686834,0.6412617502094925
DB14,DB14_1,DB14_3,Cluster 3,Cluster 2,1,3,perc_forest,0,0,0,Forest,0.027693910910736398,0,0.07188363908141222,0
DB14,DB14_1,DB14_3,Cluster 3,Cluster 2,1,3,perc_grass_shrub,0.01824328251749,0.121547751805759,0.103304469288269,Grass/Shrubland,0.012991395739266822,0,0.09111115912383148,1.1338289434762352
DB15,DB15_1,DB15_3,Cluster 3,Cluster 2,1,3,tmean_breeding,8.31896655100977,9.39333457188423,1.0743680208744593,Temperature,1.166075574822343,1.1432688239924493,0.08658277654253788,-0.7957795518851177
DB15,DB15_1,DB15_3,Cluster 3,Cluster 2,1,3,prec_breeding,122.930284291606,188.78734636847,65.857062076864,Precipitation,76.22566845605704,75.44205569385801,10.600787063580594,-0.9041775445073905
DB15,DB15_1,DB15_3,Cluster 3,Cluster 2,1,3,hh,0.582794077276637,0.71579678451306,0.13300270723642293,Land-use heterogeneity,0.062003502519162035,0.020709709646520247,0.12453054756068756,0.9017305375227621
DB15,DB15_1,DB15_3,Cluster 3,Cluster 2,1,3,perc_urban,0.121773341504319,0.19483734640691,0.073064004902591,Urban,0.018701331002944264,0,0.04401874318659405,1.6598385054492586
DB15,DB15_1,DB15_3,Cluster 3,Cluster 2,1,3,perc_cropland,0.583357364408126,0.397179985216043,-0.18617737919208305,Cropland,-0.056888334729859956,-0.025302527806218,0.11283135998622783,-1.4257990988099531
DB15,DB15_1,DB15_3,Cluster 3,Cluster 2,1,3,perc_pasture,0.0291827575865975,0.155151780312049,0.1259690227254515,Pasture,-0.0030859163253946125,0,0.06411020342686834,1.96488259266166
DB15,DB15_1,DB15_3,Cluster 3,Cluster 2,1,3,perc_forest,0.0485533532657787,0.0748671059704716,0.026313752704692897,Forest,0.027693910910736398,0,0.07188363908141222,0.366060386493387
DB15,DB15_1,DB15_3,Cluster 3,Cluster 2,1,3,perc_grass_shrub,0.217133183235179,0.177963782094526,-0.03916940114065298,Grass/Shrubland,0.012991395739266822,0,0.09111115912383148,-0.4299078347517987
DB16,DB16_1,DB16_3,Cluster 1,Cluster 2,1,3,tmean_breeding,8.37739569851295,9.44695431217508,1.0695586136621298,Temperature,1.166075574822343,1.1432688239924493,0.08658277654253788,-0.8513264793963489
DB16,DB16_1,DB16_3,Cluster 1,Cluster 2,1,3,prec_breeding,119.151223128812,182.245568565701,63.094345436889,Precipitation,76.22566845605704,75.44205569385801,10.600787063580594,-1.1647918388428002
DB16,DB16_1,DB16_3,Cluster 1,Cluster 2,1,3,hh,0.742930829363211,0.726296814265506,-0.016634015097705013,Land-use heterogeneity,0.062003502519162035,0.020709709646520247,0.12453054756068756,-0.29987601817960785
DB16,DB16_1,DB16_3,Cluster 1,Cluster 2,1,3,perc_urban,0.26186985226138,0.334933857159771,0.07306400489839099,Urban,0.018701331002944264,0,0.04401874318659405,1.6598385053538443
DB16,DB16_1,DB16_3,Cluster 1,Cluster 2,1,3,perc_cropland,0.025849631837939,0.0102742097616455,-0.015575422076293501,Cropland,-0.056888334729859956,-0.025302527806218,0.11283135998622783,0.08620923944470568
DB16,DB16_1,DB16_3,Cluster 1,Cluster 2,1,3,perc_pasture,0.251666154555742,0.185061011961698,-0.06660514259404399,Pasture,-0.0030859163253946125,0,0.06411020342686834,-1.0389164132043611
DB16,DB16_1,DB16_3,Cluster 1,Cluster 2,1,3,perc_forest,0.021338918783007,0.0668350155954684,0.04549609681246139,Forest,0.027693910910736398,0,0.07188363908141222,0.6329130994736442
