comparison,transition,source_cluster,target_cluster,species,n_sites,mean_probability_from,mean_probability_to,mean_probability_delta,median_probability_delta,q10_probability_delta,q90_probability_delta,mean_probability_gain,mean_probability_loss,prop_sites_increase,thermal_group,migratory_strategy,foraging_guild,species_thermal_index,driver_direction,species_label
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Anas_platyrhynchos,142,0.8332758755416326,0.9678266281202562,0.13455075257862353,0.07430356810644612,-0.0022508542359979417,0.3731605791198403,0.13867409437041875,-0.004123341791795211,0.8943661971830986,cold,sedentary and short-distance,Dabbling ducks,11.8110548425,Gain,Anas platyrhynchos
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Anser_anser,142,0.1900912126727156,0.36056378501459063,0.17047257234187502,0.14183830186845667,-0.0125468904578228,0.445867716486916,0.18272616235066944,-0.012253590008794425,0.8732394366197183,cold,sedentary and short-distance,Grazing waterfowl,11.1956416463,Gain,Anser anser
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Anthus_pratensis,142,0.7437325220733035,0.7535296344805443,0.009797112407240764,0.006489952387396081,-0.22828532492837716,0.22468681715875488,0.07870933040955413,-0.06891221800231337,0.5211267605633803,very cold,short-distance,Open-land insectivores,9.9487726902,Gain,Anthus pratensis
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Anthus_trivialis,142,0.4609025935859837,0.6148829145683068,0.15398032098232312,0.13583160507001862,-0.12194339642902921,0.43451606724751096,0.18193356814898481,-0.027953247166661657,0.7605633802816901,cold,long-distance,Low flycatching feeders,11.2439352645,Gain,Anthus trivialis
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Apus_apus,142,0.19745967235972406,0.38523309887210594,0.18777342651238188,0.18325842216635552,-0.0017085116888213019,0.4104820835183746,0.20271906412551605,-0.014945637613134168,0.8943661971830986,warm,long-distance,Aerial insectivores,12.4470483242,Gain,Apus apus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Ardea_cinerea,142,0.0738116720985175,0.1753843067153106,0.10157263461679311,0.09607622374295226,0.02159777530697613,0.19034950162514327,0.10166848204286963,-9.584742607651808e-5,0.9788732394366197,warm,sedentary and short-distance,Wading birds,12.6943991523,Gain,Ardea cinerea
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Asio_flammeus,142,0.03937625102818535,0.009918506597666648,-0.02945774443051871,-0.007716499398340734,-0.09642538305112495,0.005047674698778794,0.0013569224212613574,-0.03081466685178007,0.21830985915492956,very cold,sedentary and short-distance,Owls,9.6200242401,Loss,Asio flammeus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Asio_otus,142,0.188382031294593,0.36704411855356595,0.17866208725897292,0.15170621436619636,-0.024882284287360407,0.4535920666076132,0.18974746638995826,-0.011085379130985328,0.852112676056338,medium,sedentary,Owls,12.2940439872,Gain,Asio otus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Astur_gentilis,142,0.034368046922133313,0.2772922766493146,0.2429242297271813,0.2029418314665082,0.06088544991497444,0.5233260254893959,0.2429242297271813,0,1,cold,sedentary,Diurnal raptors,11.8007973825,Gain,Astur gentilis
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Athene_noctua,142,0.14312745097143328,0.041570467516436595,-0.1015569834549967,-0.057722919689917995,-0.2699720733559875,-0.014233464889229424,0.0012532991458943463,-0.10281028260089103,0.035211267605633804,very warm,sedentary,Owls,14.2083192272,Loss,Athene noctua
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Aythya_ferina,142,0.16387775351077122,0.17320977847432828,0.009332024963557051,0.002138759496104832,-0.17166636520798417,0.1850092528600311,0.0576258720226041,-0.04829384705904706,0.5422535211267606,warm,short-distance,Diving ducks,12.445391892,Gain,Aythya ferina
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Aythya_fuligula,142,0.12720821292216558,0.2634330366794065,0.13622482375724093,0.10052876677690603,-0.027297122297686823,0.3530628665241001,0.1491681257784091,-0.012943302021168179,0.852112676056338,very cold,short-distance,Diving ducks,10.1385920012,Gain,Aythya fuligula
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Botaurus_stellaris,142,0.0378836247795918,0.06109628118236978,0.023212656402777983,0.006346689746791177,-0.01686663757461103,0.09923677129427377,0.036300477523673734,-0.01308782112089573,0.7464788732394366,very warm,sedentary and short-distance,Wading birds,13.1076210929,Gain,Botaurus stellaris
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Buteo_buteo,142,0.28358325809295803,0.7679734563629776,0.48439019827001956,0.5217753960529384,0.1924675953551074,0.7477448366964485,0.484641021554167,-2.5082328414743416e-4,0.9859154929577465,warm,sedentary and short-distance,Diurnal raptors,12.6973693303,Gain,Buteo buteo
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Calidris_alpina,142,0.11222707447936643,0.034933446867650327,-0.0772936276117161,-0.04959694560828176,-0.2159173990886199,9.664190441740399e-4,0.0033945409343603436,-0.08068816854607645,0.11971830985915492,very cold,long-distance,Scolopacids,7.0663752664,Loss,Calidris alpina
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Calidris_pugnax,142,0.10779359004911827,0.018801283065775602,-0.08899230698334266,-0.04426647822394934,-0.24855018598252776,-7.541276082990523e-4,0.0018572703391838503,-0.09084957732252652,0.07042253521126761,very cold,long-distance,Scolopacids,7.9732949741,Loss,Calidris pugnax
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Caprimulgus_europaeus,142,0.051323659201867156,0.07017072137382921,0.018847062171962047,-0.001934649152292531,-0.03410864951432009,0.07542913417707532,0.030563207168414597,-0.01171614499645255,0.3732394366197183,very warm,long-distance,Nigthjars,13.110333547,Gain,Caprimulgus europaeus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Carduelis_carduelis,142,0.4453780099200448,0.762773620515327,0.31739561059528226,0.32049517673234124,0.030541601793565437,0.6067159420746016,0.32685763102163123,-0.009462020426348952,0.9366197183098591,very warm,sedentary and short-distance,Passerine seedeaters,13.4542440183,Gain,Carduelis carduelis
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Carpodacus_erythrinus,142,0.004125355345626647,0.07486173661587495,0.0707363812702483,0.03310110738020465,0.0029012444602046364,0.17779389929933123,0.07074891378587829,-1.2532515629990226e-5,0.9929577464788732,very cold,long-distance,Passerine seedeaters,10.348256227,Gain,Carpodacus erythrinus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Certhia_brachydactyla,142,0.006621532469183836,0.11640065647713888,0.10977912400795505,0.03681416676028891,0.002054999315661641,0.3710714585040987,0.10977929010871251,-1.6610075746694733e-7,0.9859154929577465,very warm,sedentary,Tit-like birds,13.8972978687,Gain,Certhia brachydactyla
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Certhia_familiaris,142,0.12828300600726442,0.5033669011660011,0.37508389515873675,0.3485107864238991,0.08060529544219093,0.7542697349794067,0.38000673743666974,-0.004922842277933013,0.9577464788732394,cold,sedentary,Tit-like birds,11.119463211,Gain,Certhia familiaris
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Charadrius_dubius,142,0.0659955811990799,0.15614773189179992,0.09015215069272002,0.06562661860594904,0.006093830837423563,0.21923935367681188,0.09292607114066088,-0.002773920447940866,0.9084507042253521,warm,short-and long-distance,Plovers,12.7729324864,Gain,Charadrius dubius
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Charadrius_hiaticula,142,0.41175416144618093,0.3650490974103734,-0.046705064035807556,-0.02388087041641518,-0.31422078319844093,0.21141771340082555,0.054824503550605724,-0.10152956758641327,0.4014084507042254,very cold,short-distance,Plovers,8.2214626932,Loss,Charadrius hiaticula
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Chlidonias_niger,142,0.038234072207601534,0.010787314747595497,-0.02744675746000603,-0.007908193315330114,-0.06948045217704119,0.0037060796061031856,0.0016272358157971678,-0.029073993275803192,0.2746478873239437,very warm,long-distance,Terns,13.0082465521,Loss,Chlidonias niger
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Chloris_chloris,142,0.810272045986365,0.9776560578546273,0.1673840118682622,0.1293205019629033,0.02086508833469618,0.370974797665299,0.1681869693614991,-8.029574932368582e-4,0.9647887323943662,warm,sedentary and short-distance,Passerine seedeaters,12.6006224966,Gain,Chloris chloris
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Chroicocephalus_ridibundus,142,0.4524705319349945,0.2651724875763054,-0.18729804435868908,-0.20334424001397827,-0.37242702209542583,0.022985766110333206,0.009236949833525356,-0.19653499419221443,0.11267605633802817,cold,short-distance,Gulls,11.0679667544,Loss,Chroicocephalus ridibundus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Cinclus_cinclus,142,0.0021907049448284034,0.0025256666791143097,3.34961734285907e-4,-1.823290730800852e-5,-0.0034518527394136805,0.003706863249994715,0.0017305474143000752,-0.001395585680014169,0.49295774647887325,cold,short-distance,Dippers,11.0150016531,Gain,Cinclus cinclus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Circus_aeruginosus,142,0.11077317873827204,0.3515030204654422,0.24072984172717013,0.2114936725347745,0.021330702679816398,0.5349498937180927,0.24659007738292038,-0.005860235655750257,0.9436619718309859,very warm,short-and long-distance,Diurnal raptors,13.2259231132,Gain,Circus aeruginosus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Circus_pygargus,142,0.028761332846560943,0.031152525990974657,0.0023911931444137004,2.755397089006101e-4,-0.02972749228304915,0.03139878426428912,0.016370162727237146,-0.013978969582823441,0.6056338028169014,very warm,long-distance,Diurnal raptors,13.6904029809,Gain,Circus pygargus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Coccothraustes_coccothraustes,142,0.07214368449820542,0.274133170099139,0.20198948560093358,0.14360297892012738,0.007650070804839112,0.5053901424734958,0.21019520502968456,-0.008205719428750957,0.9084507042253521,warm,sedentary,Passerine seedeaters,12.9763477132,Gain,Coccothraustes coccothraustes
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Coloeus_monedula,142,0.5583656024924624,0.7364432775916572,0.17807767509919487,0.17439355420102168,-0.13251245373554887,0.4910540779943015,0.2079197215693073,-0.02984204647011245,0.7887323943661971,warm,sedentary and short-distance,Omnivorous corvids,12.9581704982,Gain,Coloeus monedula
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Columba_oenas,142,0.007742979129532287,0.1500500483739418,0.14230706924440953,0.12101601977779544,0.028913706541402445,0.2807275395326252,0.14230706924440953,0,1,warm,short-distance,Columbids,12.4358174295,Gain,Columba oenas
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Columba_palumbus,142,0.9114350199505279,0.9936365181930121,0.08220149824248418,0.03585868090701455,7.408558830511954e-4,0.20517782687372826,0.08299512979931194,-7.936315568277451e-4,0.9295774647887324,medium,sedentary and short-distance,Columbids,12.2214205187,Gain,Columba palumbus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Corvus_corax,142,0.02112634540998981,0.1775718759660286,0.1564455305560388,0.13548803562104078,0.06072556109519633,0.2651071997169684,0.1564455305560388,0,1,cold,sedentary,Omnivorous corvids,11.7378412998,Gain,Corvus corax
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Corvus_cornix,142,0.6886638687799719,0.9362902148399422,0.2476263460599704,0.2036175823652534,0.006193556358357921,0.6052663069788168,0.255170179075167,-0.007543833015196576,0.9154929577464789,medium,sedentary,Omnivorous corvids,12.1293990446,Gain,Corvus cornix
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Corvus_corone,142,0.07363964806099518,0.1629260499781761,0.08928640191718096,0.05502902044013713,-0.004204681325003381,0.21340845071542755,0.09234922566305555,-0.003062823745874594,0.8732394366197183,medium,sedentary,Omnivorous corvids,12.1293990446,Gain,Corvus corone
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Corvus_frugilegus,142,0.17240518053826692,0.3151279815293237,0.14272280099105675,0.11244463578891037,0.010651704663837318,0.31710741082300725,0.14442450998949227,-0.0017017089984355403,0.9436619718309859,warm,sedentary,Omnivorous corvids,12.7340640684,Gain,Corvus frugilegus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Coturnix_coturnix,142,0.02178122453193388,0.07291388825280226,0.05113266372086838,0.03684043405064702,0.0043089325781195485,0.10446580272144415,0.052498704897463416,-0.0013660411765950347,0.9366197183098591,very warm,short-and long-distance,Gallinaceous birds,13.6002736383,Gain,Coturnix coturnix
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Crex_crex,142,0.05858572434439873,0.007300859011700781,-0.05128486533269795,-0.0311470302465572,-0.12293283145139129,-0.0051553104636246246,1.1140359523578218e-4,-0.05139626892793373,0.02112676056338028,medium,long-distance,Rails,11.9688491073,Loss,Crex crex
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Cuculus_canorus,142,0.8723623414987381,0.9527463863050026,0.08038404480626445,0.05957817920586095,-0.004932218255530023,0.19965418499845786,0.08796474661639934,-0.00758070181013489,0.8873239436619719,medium,long-distance,Cuckoos,12.1394391784,Gain,Cuculus canorus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Curruca_communis,142,0.9325762855519117,0.9835190335978021,0.0509427480458903,0.01129794221647773,-0.013758835429288208,0.16752920434554244,0.056782900091148426,-0.005840152045258106,0.7253521126760564,warm,long-distance,Foliage gleaners,12.6535890847,Gain,Curruca communis
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Curruca_curruca,142,0.8007604738389824,0.934416865255828,0.1336563914168456,0.07346730866384366,-0.030485758449778137,0.3895122634720941,0.14640163415757285,-0.012745242740727223,0.7816901408450704,cold,long-distance,Foliage gleaners,11.6399285102,Gain,Curruca curruca
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Cyanistes_caeruleus,142,0.8060417075089132,0.9763700970723296,0.17032838956341628,0.12709560550285004,9.471939926797847e-4,0.3884029187074565,0.17587798660838402,-0.005549597044967723,0.9154929577464789,warm,sedentary,Tit-like birds,12.7367473555,Gain,Cyanistes caeruleus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Cygnus_olor,142,0.6811938158919263,0.6881632134640417,0.0069693975721154345,0.004330945573466305,-0.2592975152650754,0.2542167360868047,0.08118866833498611,-0.07421927076287069,0.528169014084507,medium,sedentary and short-distance,Grazing waterfowl,12.1899516659,Gain,Cygnus olor
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Delichon_urbicum,142,0.6922810950550616,0.8912796580832588,0.1989985630281972,0.17994944502376153,0.037634214170770876,0.3875138985143401,0.2022121570572373,-0.003213594029040087,0.9225352112676056,warm,long-distance,Aerial insectivores,12.3470551373,Gain,Delichon urbicum
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Dendrocopos_major,142,0.4310223397932955,0.8666007653821496,0.43557842558885407,0.4557081387380649,0.10274445008485664,0.7593070183190725,0.4439027083981989,-0.008324282809344859,0.9507042253521126,medium,sedentary,Woodpeckers,12.1154284266,Gain,Dendrocopos major
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Dryobates_minor,142,7.430666454915011e-4,0.023896604516561594,0.02315353787107009,0.00881114294309587,2.0179663858785563e-4,0.07254627647722205,0.023159532406794355,-5.994535724266384e-6,0.9859154929577465,cold,sedentary and short-distance,Woodpeckers,11.5509643269,Gain,Dryobates minor
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Dryocopus_martius,142,0.009136753217135127,0.05711602836421635,0.047979275147081224,0.019249248753436234,0.0013495701505102124,0.11647070875967769,0.04873284707015117,-7.535719230699492e-4,0.9436619718309859,cold,sedentary,Woodpeckers,11.1193962821,Gain,Dryocopus martius
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Emberiza_calandra,142,0.8227473861786853,0.5928823805874028,-0.22986500559128242,-0.1969750492162035,-0.5029784219756706,-0.017293114942401416,0.007302541067652048,-0.2371675466589345,0.06338028169014084,very warm,sedentary,Buntings,14.2313581317,Loss,Emberiza calandra
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Emberiza_citrinella,142,0.9753657576143142,0.9842387667823622,0.008873009168048037,7.150218646076456e-4,-0.011301888537066972,0.054963196012228516,0.01604515739219667,-0.007172148224148654,0.5422535211267606,cold,sedentary,Buntings,11.5528442066,Gain,Emberiza citrinella
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Emberiza_schoeniclus,142,0.9002584357323569,0.9222996261749552,0.02204119044259834,-0.0015476367774847066,-0.11202331632521477,0.22282666705397142,0.06290136587487268,-0.04086017543227434,0.43661971830985913,cold,sedentary and short-distance,Buntings,11.2704483494,Gain,Emberiza schoeniclus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Erithacus_rubecula,142,0.7879996862122677,0.9658787308318244,0.17787904461955673,0.13542291458326255,0.0017651729407299984,0.4379089747591433,0.18115306561681005,-0.0032740209972533375,0.9154929577464789,medium,sedentary,Low flycatching feeders,11.998445823500001,Gain,Erithacus rubecula
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Falco_tinnunculus,142,0.3790291756552671,0.718951040644986,0.3399218649897189,0.36068929303806463,0.04741966689587668,0.6366732634229243,0.3480446954928802,-0.008122830503161326,0.9295774647887324,warm,sedentary and short-distance,Diurnal raptors,12.4263636442,Gain,Falco tinnunculus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Ficedula_hypoleuca,142,0.22598410231249916,0.3739840006845706,0.14799989837207145,0.1435225174109533,-0.12680310798833141,0.421717224365108,0.18112025384186,-0.03312035546978856,0.7676056338028169,very cold,long-distance,Flycatchers,10.4275102213,Gain,Ficedula hypoleuca
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Ficedula_parva,142,0.006498258903458087,0.004345361157042521,-0.0021528977464155647,9.265203251512965e-4,-0.008137604818391066,0.005602551511205584,0.0022131939104313805,-0.004366091656846945,0.676056338028169,cold,long-distance,Flycatchers,11.5985667049,Loss,Ficedula parva
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Fringilla_coelebs,142,0.9599036432094321,0.9972036604547125,0.037300017245280405,0.02120646112335306,0.0019402323243473026,0.08307910185079777,0.03737655869876358,-7.654145348317619e-5,0.9507042253521126,medium,sedentary and short-distance,Foliage gleaners,12.2951633877,Gain,Fringilla coelebs
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Fulica_atra,142,0.8315628380086321,0.9374337483559222,0.10587091034729017,0.05090221337079115,-0.032349190163078016,0.33431537763065233,0.1163259199320047,-0.010455009584714502,0.7676056338028169,warm,sedentary and short-distance,Rails,12.9624637063,Gain,Fulica atra
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Gallinago_gallinago,142,0.6290226878270504,0.46729620693407475,-0.16172648089297564,-0.18667779987137162,-0.4256065112028412,0.11187401576839483,0.028420922725640747,-0.1901474036186164,0.2535211267605634,very cold,short-distance,Scolopacids,10.2670472691,Loss,Gallinago gallinago
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Gallinula_chloropus,142,0.7584062181011924,0.8132567915207195,0.054850573419527135,0.03447564364394168,-0.1956771078295904,0.3637416329019957,0.10682846939517528,-0.051977895975648156,0.5774647887323944,very warm,sedentary and short-distance,Rails,13.3437206998,Gain,Gallinula chloropus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Garrulus_glandarius,142,0.327705172100084,0.7085521849388733,0.38084701283878925,0.3516692937497859,0.05185197679448468,0.7415286384976839,0.39200409200056197,-0.011157079161772715,0.9225352112676056,warm,sedentary,Omnivorous corvids,12.466780849,Gain,Garrulus glandarius
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Haematopus_ostralegus,142,0.5237227473470363,0.6107829843913732,0.08706023704433691,0.061984690862763425,-0.26758982131082304,0.44140625508755926,0.15373579367211587,-0.06667555662777892,0.676056338028169,very cold,short-distance,Plovers,10.4739718085,Gain,Haematopus ostralegus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Hippolais_icterina,142,0.8005196809787449,0.8724281164307852,0.07190843545204037,0.027339731710441295,-0.1170316536978565,0.2933946450583524,0.10756645506701909,-0.03565801961497869,0.5704225352112676,cold,long-distance,Foliage gleaners,11.3916568563,Gain,Hippolais icterina
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Hirundo_rustica,142,0.9434095447584536,0.9824160081018366,0.03900646334338307,0.021045584090570002,-0.005250932230464286,0.1347398483497181,0.04308649797663258,-0.004080034633249512,0.795774647887324,warm,long-distance,Aerial insectivores,12.4305273248,Gain,Hirundo rustica
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Jynx_torquilla,142,0.05010394516982483,0.04580424696830962,-0.004299698201515214,-6.597830236772164e-4,-0.03916674484852388,0.02607487123738115,0.012503502608261758,-0.016803200809776975,0.4507042253521127,medium,short-distance,Woodpeckers,11.8812540667,Loss,Jynx torquilla
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Lanius_collurio,142,0.20038390431760236,0.3425734664530459,0.14218956213544356,0.11114808730460901,-0.07327090977254148,0.44667877462154687,0.16061651281869174,-0.018426950683248157,0.7676056338028169,warm,long-distance,Shrikes,12.6238867722,Gain,Lanius collurio
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Lanius_excubitor,142,0.009103925157916531,0.013925730118331576,0.004821804960415045,1.8338157500946028e-5,-0.006187442294505315,0.010485900296738352,0.0071674838184001225,-0.002345678857985082,0.5422535211267606,cold,sedentary,Shrikes,11.2044136127,Gain,Lanius excubitor
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Larus_argentatus,142,0.12687312579693133,0.1440949171527799,0.017221791355848563,-0.005811080173550097,-0.12297027051016658,0.20955694760436175,0.053205767024157795,-0.035983975668309215,0.4295774647887324,very cold,sedentary and short-distance,Gulls,9.0583381929,Gain,Larus argentatus
