atlas,period,bioregion,trait_family,trait_value,expected_group_richness,mean_probability,n_species,n_sites,expected_total_richness_known_trait,proportion,percent
1,1970s,Cluster 1,Thermal affinity,medium,5931.610799302583,0.47716280261463706,31,401,21445.770077790967,0.2765865146267376,27.65865146267376
1,1970s,Cluster 1,Thermal affinity,cold,5369.502998409773,0.4319445739208256,31,401,21445.770077790967,0.2503758540230914,25.037585402309144
1,1970s,Cluster 1,Thermal affinity,warm,4425.003154902162,0.3559651801868053,31,401,21445.770077790967,0.20633454237601162,20.63345423760116
1,1970s,Cluster 1,Thermal affinity,very cold,3166.649460873716,0.24677754526759182,32,401,21445.770077790967,0.14765846362183413,14.765846362183414
1,1970s,Cluster 1,Thermal affinity,very warm,2553.0036643027333,0.19895602122059908,32,401,21445.770077790967,0.11904462535232528,11.904462535232527
1,1970s,Cluster 2,Thermal affinity,medium,15527.979402079016,0.5698550186090845,31,879,51968.2674618508,0.29879732691642824,29.879732691642825
1,1970s,Cluster 2,Thermal affinity,warm,13141.28064498177,0.4822665288627745,31,879,51968.2674618508,0.25287124791351967,25.287124791351967
1,1970s,Cluster 2,Thermal affinity,cold,12603.245567101396,0.462521397743086,31,879,51968.2674618508,0.24251810157714546,24.251810157714544
1,1970s,Cluster 2,Thermal affinity,very warm,5357.997046087439,0.19048624310606727,32,879,51968.2674618508,0.10310132139811419,10.310132139811419
1,1970s,Cluster 2,Thermal affinity,very cold,5337.764801601182,0.1897669511376985,32,879,51968.2674618508,0.10271200219479247,10.271200219479248
1,1970s,Cluster 3,Thermal affinity,medium,7012.199940540871,0.4560483832297655,31,496,21994.070171491745,0.3188222955490038,31.88222955490038
1,1970s,Cluster 3,Thermal affinity,cold,5413.258336323471,0.3520589448701549,31,496,21994.070171491745,0.24612353666762524,24.612353666762523
1,1970s,Cluster 3,Thermal affinity,warm,5093.515158532113,0.33126399314074595,31,496,21994.070171491745,0.2315858374014929,23.15858374014929
1,1970s,Cluster 3,Thermal affinity,very cold,2248.617255705277,0.1416719541144963,32,496,21994.070171491745,0.10223743209748815,10.223743209748815
1,1970s,Cluster 3,Thermal affinity,very warm,2226.4794803900163,0.14027718500441186,32,496,21994.070171491745,0.10123089828438997,10.123089828438998
2,1990s,Cluster 1,Thermal affinity,medium,4371.665245578122,0.5487216324310453,31,257,15716.623308625989,0.2781555019632465,27.81555019632465
2,1990s,Cluster 1,Thermal affinity,cold,3501.7999218115765,0.43953808482635526,31,257,15716.623308625989,0.22280866907904012,22.280866907904013
2,1990s,Cluster 1,Thermal affinity,warm,3489.715622542189,0.43802129064166906,31,257,15716.623308625989,0.22203978259292353,22.203978259292352
2,1990s,Cluster 1,Thermal affinity,very cold,2446.3352118471757,0.2974629391837503,32,257,15716.623308625989,0.15565272284056825,15.565272284056825
2,1990s,Cluster 1,Thermal affinity,very warm,1907.1073068469252,0.23189534373138668,32,257,15716.623308625989,0.12134332352422159,12.134332352422158
2,1990s,Cluster 2,Thermal affinity,medium,23987.294781956192,0.6250272234602176,31,1238,80834.19583932975,0.296746872197932,29.6746872197932
2,1990s,Cluster 2,Thermal affinity,warm,21083.521920174997,0.5493647902489742,31,1238,80834.19583932975,0.2608242922596979,26.08242922596979
2,1990s,Cluster 2,Thermal affinity,cold,18204.76081705132,0.4743540783014059,31,1238,80834.19583932975,0.2252111328383355,22.52111328383355
2,1990s,Cluster 2,Thermal affinity,very cold,9263.23085979552,0.23382549625897417,32,1238,80834.19583932975,0.11459544767671838,11.459544767671838
2,1990s,Cluster 2,Thermal affinity,very warm,8295.387460351734,0.20939487733117276,32,1238,80834.19583932975,0.10262225502731638,10.262225502731638
2,1990s,Cluster 3,Thermal affinity,medium,5407.805060630652,0.491395280384433,31,355,16563.38252398911,0.32649158786246774,32.64915878624677
2,1990s,Cluster 3,Thermal affinity,warm,4118.36097447599,0.37422634933902854,31,355,16563.38252398911,0.2486425081659062,24.86425081659062
2,1990s,Cluster 3,Thermal affinity,cold,3773.204701966827,0.3428627625594596,31,355,16563.38252398911,0.22780399453445047,22.780399453445046
2,1990s,Cluster 3,Thermal affinity,very cold,1681.9510370804633,0.1480590701655331,32,355,16563.38252398911,0.10154634988622988,10.154634988622988
2,1990s,Cluster 3,Thermal affinity,very warm,1582.0607498351746,0.13926591107703995,32,355,16563.38252398911,0.09551555955094568,9.551555955094567
3,2010s,Cluster 1,Thermal affinity,medium,2657.089672582166,0.5529843231180377,31,155,9639.553475048848,0.27564447663056313,27.564447663056313
3,2010s,Cluster 1,Thermal affinity,cold,2249.37533474876,0.468132223672999,31,155,9639.553475048848,0.23334849903276889,23.33484990327689
3,2010s,Cluster 1,Thermal affinity,warm,2081.9744400846457,0.43329332780117674,31,155,9639.553475048848,0.2159824566017147,21.598245660171468
3,2010s,Cluster 1,Thermal affinity,very warm,1366.8402468676848,0.2755726304168728,32,155,9639.553475048848,0.14179497529689863,14.179497529689863
3,2010s,Cluster 1,Thermal affinity,very cold,1284.2737807655915,0.258926165476934,32,155,9639.553475048848,0.13322959243805466,13.322959243805466
3,2010s,Cluster 2,Thermal affinity,medium,30526.654189302568,0.6104964539988098,31,1613,103665.1339279795,0.29447368688599496,29.447368688599497
3,2010s,Cluster 2,Thermal affinity,warm,26562.731266512215,0.5312227519651269,31,1613,103665.1339279795,0.2562359229185625,25.62359229185625
3,2010s,Cluster 2,Thermal affinity,cold,23579.22660144962,0.47155623865467544,31,1613,103665.1339279795,0.2274557096297304,22.74557096297304
3,2010s,Cluster 2,Thermal affinity,very warm,12188.448762086526,0.23613702654383542,32,1613,103665.1339279795,0.11757519910748729,11.757519910748728
3,2010s,Cluster 2,Thermal affinity,very cold,10808.073108628581,0.20939385284850764,32,1613,103665.1339279795,0.1042594814582249,10.42594814582249
3,2010s,Cluster 3,Thermal affinity,medium,2104.9505526539865,0.49927669654980616,31,136,6356.007516312974,0.3311749627815162,33.11749627815162
3,2010s,Cluster 3,Thermal affinity,warm,1538.247722821413,0.3648595167982483,31,136,6356.007516312974,0.24201477403439695,24.201477403439693
3,2010s,Cluster 3,Thermal affinity,cold,1421.5910440008452,0.3371895265656649,31,136,6356.007516312974,0.2236610073780229,22.36610073780229
3,2010s,Cluster 3,Thermal affinity,very warm,677.8770943428489,0.15576219998686808,32,136,6356.007516312974,0.10665139910597138,10.665139910597137
3,2010s,Cluster 3,Thermal affinity,very cold,613.3411024938807,0.14093315774216017,32,136,6356.007516312974,0.09649785670009257,9.649785670009257
1,1970s,Cluster 1,Migratory strategy,long-distance,5937.880440684773,0.33653822493112684,44,401,21445.770077790985,0.2768788632511723,27.687886325117226
1,1970s,Cluster 1,Migratory strategy,short-distance,5301.524041297643,0.33899380019807007,39,401,21445.770077790985,0.24720604678998426,24.720604678998427
1,1970s,Cluster 1,Migratory strategy,sedentary,5013.151700278537,0.3571892910779139,35,401,21445.770077790985,0.2337594631526011,23.37594631526011
1,1970s,Cluster 1,Migratory strategy,sedentary and short-distance,4917.058116438795,0.3955480746873783,31,401,21445.770077790985,0.22927869218978753,22.927869218978753
1,1970s,Cluster 1,Migratory strategy,short-and long-distance,276.1557790912369,0.08608347228529843,8,401,21445.770077790985,0.012876934616454783,1.2876934616454783
1,1970s,Cluster 2,Migratory strategy,sedentary,15577.359597742165,0.506333807825196,35,879,51968.26746185086,0.2997475259142952,29.97475259142952
1,1970s,Cluster 2,Migratory strategy,long-distance,13979.632954653605,0.36145498383114677,44,879,51968.26746185086,0.2690032521271918,26.900325212719178
1,1970s,Cluster 2,Migratory strategy,sedentary and short-distance,11966.344034427042,0.43914800669481713,31,879,51968.26746185086,0.23026251631750777,23.026251631750778
