atlas,period,bioregion,species,expected_occurrence_sum,mean_predicted_probability,n_sites,expected_occurrence_share,rank_in_cluster,thermal_group,migratory_strategy,foraging_guild,species_thermal_index
1,1970s,Cluster 2,Columba_palumbus,857.0371521241265,0.9750138249421234,879,0.016491547515092127,10,medium,sedentary and short-distance,Columbids,12.2214205187
1,1970s,Cluster 2,Troglodytes_troglodytes,853.2902306765347,0.9707511156729645,879,0.016419447334913094,11,medium,sedentary,Low flycatching feeders,12.2368253494
1,1970s,Cluster 2,Hirundo_rustica,851.8507189412056,0.9691134458944329,879,0.01639174751335591,12,warm,long-distance,Aerial insectivores,12.4305273248
1,1970s,Cluster 2,Curruca_communis,841.6479306112254,0.957506178169767,879,0.016195420238495923,13,warm,long-distance,Foliage gleaners,12.6535890847
1,1970s,Cluster 2,Cyanistes_caeruleus,836.4445286058469,0.951586494432135,879,0.016095293713993288,14,warm,sedentary,Tit-like birds,12.7367473555
1,1970s,Cluster 2,Erithacus_rubecula,836.2302072468513,0.9513426703604676,879,0.016091169632713245,15,medium,sedentary,Low flycatching feeders,11.998445823500001
1,1970s,Cluster 3,Turdus_merula,494.1580063350114,0.9962863030947812,496,0.022467783474453377,1,warm,sedentary,Thrushes,12.5843398181
1,1970s,Cluster 3,Alauda_arvensis,492.8923725732104,0.993734622123407,496,0.022410239156738076,2,medium,sedentary and short-distance,Open-land insectivores,12.1983199326
1,1970s,Cluster 3,Emberiza_citrinella,487.886457076356,0.9836420505571692,496,0.02218263619567528,3,cold,sedentary,Buntings,11.5528442066
1,1970s,Cluster 3,Fringilla_coelebs,487.16789379391327,0.9821933342619223,496,0.022149965422287726,4,medium,sedentary and short-distance,Foliage gleaners,12.2951633877
1,1970s,Cluster 3,Parus_major,479.8474636393451,0.9674344024986796,496,0.021817128885098867,5,medium,sedentary and short-distance,Tit-like birds,12.343727765
1,1970s,Cluster 3,Hirundo_rustica,478.20144909212615,0.9641158247825127,496,0.021742289870110523,6,warm,long-distance,Aerial insectivores,12.4305273248
1,1970s,Cluster 3,Sturnus_vulgaris,473.89243406246334,0.9554282944807725,496,0.02154637274353665,7,cold,short-distance,Starlings,11.8027600322
1,1970s,Cluster 3,Passer_domesticus,473.7831822405928,0.9552080287108721,496,0.02154140541275073,8,medium,sedentary,Passerine seedeaters,12.2628071769
1,1970s,Cluster 3,Columba_palumbus,463.48340738032385,0.934442353589363,496,0.021073107604297828,9,medium,sedentary and short-distance,Columbids,12.2214205187
1,1970s,Cluster 3,Phylloscopus_trochilus,462.03509438566726,0.9315223677130388,496,0.021007257446352352,10,very cold,long-distance,Foliage gleaners,10.4596695622
1,1970s,Cluster 3,Emberiza_calandra,458.87955509069667,0.9251603933280169,496,0.02086378517085417,11,very warm,sedentary,Buntings,14.2313581317
1,1970s,Cluster 3,Turdus_philomelos,441.9072612010931,0.8909420588731715,496,0.02009210927106539,12,cold,short-distance,Thrushes,11.3956704897
1,1970s,Cluster 3,Curruca_communis,440.13228892568975,0.8873634857372772,496,0.02001140696078068,13,warm,long-distance,Foliage gleaners,12.6535890847
1,1970s,Cluster 3,Pica_pica,437.1540930802434,0.8813590586295225,496,0.019875997924516598,14,medium,sedentary,Omnivorous corvids,12.155826028
1,1970s,Cluster 3,Vanellus_vanellus,432.85629195508665,0.8726941370062232,496,0.019680590658301383,15,cold,short-distance,Plovers,11.532605723
2,1990s,Cluster 1,Alauda_arvensis,254.47120214607313,0.9901603196345257,257,0.016191213414551212,1,medium,sedentary and short-distance,Open-land insectivores,12.1983199326
2,1990s,Cluster 1,Turdus_merula,250.71786985123705,0.9755559138180424,257,0.01595240052064059,2,warm,sedentary,Thrushes,12.5843398181
2,1990s,Cluster 1,Vanellus_vanellus,250.4021932044329,0.9743276000172488,257,0.015932314994595638,3,cold,short-distance,Plovers,11.532605723
2,1990s,Cluster 1,Fringilla_coelebs,249.4581867960231,0.970654423330829,257,0.015872250794425384,4,medium,sedentary and short-distance,Foliage gleaners,12.2951633877
2,1990s,Cluster 1,Anas_platyrhynchos,246.14079661029945,0.9577462903124497,257,0.015661175544953512,5,cold,sedentary and short-distance,Dabbling ducks,11.8110548425
2,1990s,Cluster 1,Emberiza_citrinella,244.94748604948717,0.9531030585583162,257,0.015585248894719593,6,cold,sedentary,Buntings,11.5528442066
2,1990s,Cluster 1,Linaria_cannabina,244.53220635234973,0.9514871842503873,257,0.015558825935475574,7,very warm,short-distance,Passerine seedeaters,13.1603552715
2,1990s,Cluster 1,Sturnus_vulgaris,244.00775185644994,0.9494465052780158,257,0.015525456522364301,8,cold,short-distance,Starlings,11.8027600322
2,1990s,Cluster 1,Hirundo_rustica,243.99341588074748,0.9493907232713912,257,0.015524544368689752,9,warm,long-distance,Aerial insectivores,12.4305273248
2,1990s,Cluster 1,Curruca_communis,242.41290103634518,0.9432408600636003,257,0.015423981110707051,10,warm,long-distance,Foliage gleaners,12.6535890847
2,1990s,Cluster 1,Columba_palumbus,241.20394865608205,0.9385367651987631,257,0.015347059220010619,11,medium,sedentary and short-distance,Columbids,12.2214205187
2,1990s,Cluster 1,Phylloscopus_trochilus,240.69555021690294,0.9365585611552649,257,0.015314711403994688,12,very cold,long-distance,Foliage gleaners,10.4596695622
2,1990s,Cluster 1,Troglodytes_troglodytes,239.64501966057202,0.9324708936209023,257,0.015247869402649886,13,medium,sedentary,Low flycatching feeders,12.2368253494
2,1990s,Cluster 1,Parus_major,239.4542481102773,0.9317285918687825,257,0.015235731200534295,14,medium,sedentary and short-distance,Tit-like birds,12.343727765
2,1990s,Cluster 1,Motacilla_alba,239.33963616814057,0.9312826310044383,257,0.015228438798096055,15,medium,short-distance,Open-land insectivores,11.9859302219
2,1990s,Cluster 2,Turdus_merula,1235.6890578290756,0.9981333261947323,1238,0.015286711830290142,1,warm,sedentary,Thrushes,12.5843398181
2,1990s,Cluster 2,Fringilla_coelebs,1234.9466604589384,0.9975336514207891,1238,0.015277527630924654,2,medium,sedentary and short-distance,Foliage gleaners,12.2951633877
2,1990s,Cluster 2,Parus_major,1234.062566199413,0.996819520354939,1238,0.015266590499054341,3,medium,sedentary and short-distance,Tit-like birds,12.343727765
2,1990s,Cluster 2,Troglodytes_troglodytes,1233.2937765694217,0.996198527115849,1238,0.015257079800988891,4,medium,sedentary,Low flycatching feeders,12.2368253494
2,1990s,Cluster 2,Alauda_arvensis,1232.1396240054464,0.9952662552548042,1238,0.015242801777288758,5,medium,sedentary and short-distance,Open-land insectivores,12.1983199326
2,1990s,Cluster 2,Columba_palumbus,1230.8321725847131,0.9942101555611558,1238,0.015226627293122031,6,medium,sedentary and short-distance,Columbids,12.2214205187
2,1990s,Cluster 2,Phylloscopus_trochilus,1223.3753332663048,0.9881868604735908,1238,0.015134378718852426,7,very cold,long-distance,Foliage gleaners,10.4596695622
2,1990s,Cluster 2,Emberiza_citrinella,1222.1352929008963,0.9871852123593661,1238,0.01511903817698728,8,cold,sedentary,Buntings,11.5528442066
2,1990s,Cluster 2,Sturnus_vulgaris,1218.17132704793,0.9839833013311229,1238,0.015069999947413681,9,cold,short-distance,Starlings,11.8027600322
2,1990s,Cluster 2,Hirundo_rustica,1215.7068488427926,0.9819926081121099,1238,0.015039511882560091,10,warm,long-distance,Aerial insectivores,12.4305273248
2,1990s,Cluster 2,Cyanistes_caeruleus,1214.9678980630633,0.9813957173368835,1238,0.015030370320971502,11,warm,sedentary,Tit-like birds,12.7367473555
2,1990s,Cluster 2,Curruca_communis,1214.7562844769532,0.98122478552258,1238,0.015027752448870309,12,warm,long-distance,Foliage gleaners,12.6535890847
2,1990s,Cluster 2,Turdus_philomelos,1214.2726262018894,0.9808341084021731,1238,0.015021769111372586,13,cold,short-distance,Thrushes,11.3956704897
2,1990s,Cluster 2,Chloris_chloris,1210.6792801833737,0.9779315671917392,1238,0.014977315820519567,14,warm,sedentary and short-distance,Passerine seedeaters,12.6006224966
2,1990s,Cluster 2,Phylloscopus_collybita,1205.6689120258523,0.9738844200531931,1238,0.014915332545922757,15,medium,short-distance,Foliage gleaners,11.9465889491
2,1990s,Cluster 3,Alauda_arvensis,352.5816542461983,0.9931877584399957,355,0.021286814679039444,1,medium,sedentary and short-distance,Open-land insectivores,12.1983199326
2,1990s,Cluster 3,Fringilla_coelebs,351.85920562916186,0.9911526919131323,355,0.021243197464017687,2,medium,sedentary and short-distance,Foliage gleaners,12.2951633877
2,1990s,Cluster 3,Turdus_merula,351.75024391651556,0.9908457575113115,355,0.02123661899416176,3,warm,sedentary,Thrushes,12.5843398181
2,1990s,Cluster 3,Emberiza_citrinella,350.68659920625447,0.9878495752288856,355,0.021172402357932982,4,cold,sedentary,Buntings,11.5528442066
2,1990s,Cluster 3,Hirundo_rustica,344.99125624315707,0.9718063556145274,355,0.020828550916064226,5,warm,long-distance,Aerial insectivores,12.4305273248
2,1990s,Cluster 3,Parus_major,343.37029772492025,0.9672402752814662,355,0.020730686937140287,6,medium,sedentary and short-distance,Tit-like birds,12.343727765
2,1990s,Cluster 3,Troglodytes_troglodytes,341.04018305040296,0.960676571972966,355,0.020590008264100977,7,medium,sedentary,Low flycatching feeders,12.2368253494
2,1990s,Cluster 3,Columba_palumbus,340.69872315780657,0.9597147131205817,355,0.020569392916233366,8,medium,sedentary and short-distance,Columbids,12.2214205187
2,1990s,Cluster 3,Phylloscopus_trochilus,336.59724525344615,0.9481612542350599,355,0.020321769708931344,9,very cold,long-distance,Foliage gleaners,10.4596695622
2,1990s,Cluster 3,Sturnus_vulgaris,333.08661808792743,0.9382721636279648,355,0.020109818607733615,10,cold,short-distance,Starlings,11.8027600322
2,1990s,Cluster 3,Curruca_communis,331.7506471782505,0.9345088652908471,355,0.0200291605110108,11,warm,long-distance,Foliage gleaners,12.6535890847
2,1990s,Cluster 3,Linaria_cannabina,324.4753735720676,0.9140151368227265,355,0.01958992211295739,12,very warm,short-distance,Passerine seedeaters,13.1603552715
2,1990s,Cluster 3,Passer_domesticus,321.118680791051,0.9045596642001436,355,0.019387264668069244,13,medium,sedentary,Passerine seedeaters,12.2628071769
2,1990s,Cluster 3,Motacilla_alba,320.4222186408482,0.9025977989883051,355,0.019345216363672837,14,medium,short-distance,Open-land insectivores,11.9859302219
2,1990s,Cluster 3,Chloris_chloris,314.6108933262725,0.8862278685247114,355,0.018994362586905983,15,warm,sedentary and short-distance,Passerine seedeaters,12.6006224966
3,2010s,Cluster 1,Curruca_communis,154.01523119794342,0.9936466528899576,155,0.015977423808747795,1,warm,long-distance,Foliage gleaners,12.6535890847
3,2010s,Cluster 1,Alauda_arvensis,153.37324428240987,0.9895048018219992,155,0.015910824570806403,2,medium,sedentary and short-distance,Open-land insectivores,12.1983199326
3,2010s,Cluster 1,Phylloscopus_collybita,150.74613981676362,0.9725557407533132,155,0.015638290736905668,3,medium,short-distance,Foliage gleaners,11.9465889491
3,2010s,Cluster 1,Turdus_merula,149.48608043383612,0.9644263253795881,155,0.015507573127818372,4,warm,sedentary,Thrushes,12.5843398181
3,2010s,Cluster 1,Troglodytes_troglodytes,148.6065222985536,0.9587517567648626,155,0.01541632843089759,5,medium,sedentary,Low flycatching feeders,12.2368253494
3,2010s,Cluster 1,Motacilla_alba,148.2429679565184,0.9564062448807642,155,0.015378613577924761,6,medium,short-distance,Open-land insectivores,11.9859302219
3,2010s,Cluster 1,Emberiza_schoeniclus,148.1430612413375,0.9557616854279835,155,0.01536824933071772,7,cold,sedentary and short-distance,Buntings,11.2704483494
3,2010s,Cluster 1,Fringilla_coelebs,147.9236816348255,0.954346333127906,155,0.015345491055961544,8,medium,sedentary and short-distance,Foliage gleaners,12.2951633877
3,2010s,Cluster 1,Emberiza_citrinella,146.91442973869337,0.9478350305722153,155,0.01524079202620415,9,cold,sedentary,Buntings,11.5528442066
3,2010s,Cluster 1,Sylvia_atricapilla,146.83147778393067,0.9472998566705202,155,0.015232186653042684,10,warm,short-distance,Foliage gleaners,12.6192368528
3,2010s,Cluster 1,Hirundo_rustica,146.36312041441823,0.944278196222053,155,0.015183599613121723,11,warm,long-distance,Aerial insectivores,12.4305273248
3,2010s,Cluster 1,Curruca_curruca,145.20743342261753,0.9368221511136615,155,0.01506370951709268,12,cold,long-distance,Foliage gleaners,11.6399285102
3,2010s,Cluster 1,Phylloscopus_trochilus,145.18552229775483,0.9366807890177732,155,0.015061436473541502,13,very cold,long-distance,Foliage gleaners,10.4596695622
3,2010s,Cluster 1,Parus_major,144.1321809035702,0.9298850380875492,155,0.01495216363254206,14,medium,sedentary and short-distance,Tit-like birds,12.343727765
3,2010s,Cluster 1,Columba_palumbus,144.10479987662248,0.9297083863007904,155,0.014949323145478153,15,medium,sedentary and short-distance,Columbids,12.2214205187
3,2010s,Cluster 2,Turdus_merula,1611.6372054359776,0.9991551180632218,1613,0.015546569462357974,1,warm,sedentary,Thrushes,12.5843398181
3,2010s,Cluster 2,Phylloscopus_collybita,1610.5848207464742,0.9985026787020908,1613,0.015536417691462327,2,medium,short-distance,Foliage gleaners,11.9465889491
3,2010s,Cluster 2,Troglodytes_troglodytes,1610.4705662701847,0.9984318451768032,1613,0.015535315541954964,3,medium,sedentary,Low flycatching feeders,12.2368253494
3,2010s,Cluster 2,Curruca_communis,1609.0201224591506,0.9975326239672354,1613,0.015521323915686079,4,warm,long-distance,Foliage gleaners,12.6535890847
3,2010s,Cluster 2,Parus_major,1608.2370443372963,0.9970471446604441,1613,0.015513769995750007,5,medium,sedentary and short-distance,Tit-like birds,12.343727765
3,2010s,Cluster 2,Fringilla_coelebs,1606.5304575693149,0.9959891243455157,1613,0.015497307500566554,6,medium,sedentary and short-distance,Foliage gleaners,12.2951633877
3,2010s,Cluster 2,Columba_palumbus,1604.214812409645,0.9945535104833527,1613,0.015474969757181408,7,medium,sedentary and short-distance,Columbids,12.2214205187
3,2010s,Cluster 2,Sylvia_atricapilla,1600.9986637346099,0.9925596179383812,1613,0.015443945356274644,8,warm,short-distance,Foliage gleaners,12.6192368528
3,2010s,Cluster 2,Alauda_arvensis,1597.3968884719495,0.9903266512535331,1613,0.015409201029747629,9,medium,sedentary and short-distance,Open-land insectivores,12.1983199326
3,2010s,Cluster 2,Emberiza_citrinella,1592.7586946286365,0.9874511436011384,1613,0.015364458948513881,10,cold,sedentary,Buntings,11.5528442066
3,2010s,Cluster 2,Cyanistes_caeruleus,1589.8105735260676,0.9856234181810724,1613,0.015336020060810161,11,warm,sedentary,Tit-like birds,12.7367473555
3,2010s,Cluster 2,Turdus_philomelos,1584.7319277255087,0.9824748466990134,1613,0.015287029184050312,12,cold,short-distance,Thrushes,11.3956704897
3,2010s,Cluster 2,Chloris_chloris,1571.9640453642382,0.9745592345717526,1613,0.015163864510668992,13,warm,sedentary and short-distance,Passerine seedeaters,12.6006224966
3,2010s,Cluster 2,Hirundo_rustica,1570.5896277017785,0.9737071467462983,1613,0.015150606266451466,14,warm,long-distance,Aerial insectivores,12.4305273248
3,2010s,Cluster 2,Erithacus_rubecula,1569.936686449081,0.9733023474575833,1613,0.01514430770465005,15,medium,sedentary,Low flycatching feeders,11.998445823500001
3,2010s,Cluster 3,Alauda_arvensis,135.0462949643272,0.9929874629729937,136,0.021247031980016533,1,medium,sedentary and short-distance,Open-land insectivores,12.1983199326
3,2010s,Cluster 3,Fringilla_coelebs,134.42447164199245,0.9884152326617094,136,0.021149199603207852,2,medium,sedentary and short-distance,Foliage gleaners,12.2951633877
3,2010s,Cluster 3,Phylloscopus_collybita,134.35296151412464,0.9878894228979753,136,0.02113794880973659,3,medium,short-distance,Foliage gleaners,11.9465889491
3,2010s,Cluster 3,Curruca_communis,134.17165366044136,0.9865562769150106,136,0.021109423378761573,4,warm,long-distance,Foliage gleaners,12.6535890847
3,2010s,Cluster 3,Troglodytes_troglodytes,134.0380686816798,0.9855740344241155,136,0.02108840625780652,5,medium,sedentary,Low flycatching feeders,12.2368253494
3,2010s,Cluster 3,Turdus_merula,134.01264461676936,0.9853870927703632,136,0.02108440625232428,6,warm,sedentary,Thrushes,12.5843398181
3,2010s,Cluster 3,Emberiza_citrinella,132.85886782345366,0.9769034398783357,136,0.020902880854446054,7,cold,sedentary,Buntings,11.5528442066
3,2010s,Cluster 3,Parus_major,132.07487418870411,0.9711387807992946,136,0.020779533984144626,8,medium,sedentary and short-distance,Tit-like birds,12.343727765
3,2010s,Cluster 3,Columba_palumbus,131.28861448764863,0.9653574594680047,136,0.020655830590302265,9,medium,sedentary and short-distance,Columbids,12.2214205187
3,2010s,Cluster 3,Turdus_philomelos,130.10580516479322,0.956660332094068,136,0.020469737461900565,10,cold,short-distance,Thrushes,11.3956704897
3,2010s,Cluster 3,Sylvia_atricapilla,129.66176367782467,0.9533953211604759,136,0.020399875762425083,11,warm,short-distance,Foliage gleaners,12.6192368528
3,2010s,Cluster 3,Emberiza_calandra,127.12792239639255,0.9347641352675918,136,0.0200012227912118,12,very warm,sedentary,Buntings,14.2313581317
3,2010s,Cluster 3,Hirundo_rustica,126.75908702983926,0.9320521105135239,136,0.019943193381144766,13,warm,long-distance,Aerial insectivores,12.4305273248
3,2010s,Cluster 3,Sturnus_vulgaris,124.82671277073827,0.9178434762554285,136,0.01963917010015564,14,cold,short-distance,Starlings,11.8027600322
3,2010s,Cluster 3,Phylloscopus_trochilus,124.76945963210018,0.9174224972948538,136,0.019630162379744496,15,very cold,long-distance,Foliage gleaners,10.4596695622
