"species","family","order","exclusion_reason"
"Accipiter_nisus","Accipitridae","Accipitriformes","diurnal raptor"
"Astur_gentilis","Accipitridae","Accipitriformes","diurnal raptor"
"Buteo_buteo","Accipitridae","Accipitriformes","diurnal raptor"
"Circus_aeruginosus","Accipitridae","Accipitriformes","diurnal raptor"
"Circus_pygargus","Accipitridae","Accipitriformes","diurnal raptor"
"Pernis_apivorus","Accipitridae","Accipitriformes","diurnal raptor"
"Falco_tinnunculus","Falconidae","Falconiformes","diurnal raptor"
