"atlas","period","n_grid_cells","mean_richness","median_richness","min_richness","max_richness","sd_richness"
"1","1970s",1247,59.5308740978348,59,15,104,12.1167594607321
"2","1990s",1283,66.9657053780202,67,18,108,12.1592556066747
