"site","richness_1970s","richness_1990s","delta_richness_1990s_minus_1970s","pct_lnd"
"GH17",54,55,1,29.1777534192057
"GH18",50,56,6,91.0715749702473
"GH19",52,61,9,41.7388113288261
"GH39",52,60,8,74.9095001749392
"GH49",82,91,9,93.6062967780905
"GH59",78,80,2,41.9982412987518
"HA03",52,60,8,30.8000036681348
"HA04",67,64,-3,82.5817143255517
"HA05",50,69,19,73.4349821325788
"HA06",45,63,18,73.060836960117
"HA07",58,56,-2,36.7855116804629
"HA13",51,73,22,87.7616761986896
"HA17",51,64,13,87.1896604181935
"HA22",31,47,16,29.7284472736769
"HA23",35,62,27,99.9999999999985
"HA24",66,65,-1,99.9999999999989
"HA25",68,72,4,100
"HA26",67,70,3,97.9631182516847
"HA32",53,62,9,84.1745708559556
"HA33",49,43,-6,100.000000000002
"HA34",68,75,7,100.000000000004
"HA35",57,62,5,100.000000000003
"HA36",64,67,3,63.9659163579741
"HA43",57,58,1,100.000000000001
"HA44",62,87,25,99.9999999999996
"HA45",41,61,20,78.3401684551325
"HA52",67,78,11,45.811345274696
"HA53",71,66,-5,80.6764505025248
"HA54",67,87,20,91.8739672983499
