"site","richness_1970s","richness_1990s","delta_richness_1990s_minus_1970s","pct_lnd"
"CD64",50,46,-4,100
"CD67",57,81,24,100
"CD69",52,54,2,100
"CD70",52,49,-3,100
"CD71",61,61,0,100
"CD74",70,69,-1,100
"CD75",56,59,3,100
"CD80",52,45,-7,100
"CD82",56,64,8,100
"CD83",68,64,-4,100
"CD84",74,69,-5,100
"CD90",62,69,7,100
"CD92",63,74,11,100
"CD95",70,75,5,98.5165148759155
"CD98",56,72,16,100
"CE02",57,74,17,100
"CE11",41,69,28,100
"CE15",41,66,25,100
"CE17",66,64,-2,100
"CE19",55,49,-6,100
"CE20",51,77,26,100
"CE22",58,72,14,100
"CE27",47,39,-8,100
"CE30",74,65,-9,100
"CE31",71,71,0,100
"CE34",39,39,0,100
"CE35",55,47,-8,100
"CE38",61,67,6,100
"CE42",47,64,17,100
"CE49",73,72,-1,100
"CE51",85,76,-9,100
"CE52",66,80,14,100
"CE60",81,72,-9,100
"CE61",60,68,8,100
"CE62",64,72,8,100
"CE64",72,91,19,100
"CE67",57,57,0,100
"CE69",48,70,22,100
"CE72",83,77,-6,100
"CE74",54,76,22,100
"CE75",55,74,19,100
"CE77",56,64,8,100
"CE78",65,84,19,100
"CE80",68,66,-2,100
"CE81",75,58,-17,100
"CE82",74,94,20,100
"CE84",53,76,23,100
"CE85",51,70,19,100
"CE86",56,60,4,100
"CE88",70,90,20,100
"CE89",45,77,32,100
"CE90",69,59,-10,100
"CE91",76,65,-11,100
"CE92",71,69,-2,100
"CE99",51,82,31,100
"CF07",49,41,-8,100
"CF10",70,75,5,100
"CF13",73,77,4,100
"CF14",56,61,5,100
"CF15",57,64,7,100
"CF19",62,61,-1,100
"CF23",56,62,6,100
"CF29",62,82,20,100
"CF32",62,88,26,100
"CF33",73,81,8,100
"CF34",74,75,1,100
"CF38",56,62,6,100
"CF40",66,75,9,100
"CF41",60,69,9,100
"CF42",38,56,18,100
"CF43",54,64,10,100
"CF44",63,74,11,100
"CF49",71,71,0,100
"CF50",72,90,18,100
