"change_class","n_species","total_species","proportion_species","percentage_species"
"Decrease",9,154,0.0584415584415584,5.84415584415584
"Stable",104,154,0.675324675324675,67.5324675324675
"Increase",41,154,0.266233766233766,26.6233766233766
