"species","occupied_grid_cells_1970s","occupied_grid_cells_1990s","n_shared_grid_cells","prop_occupied_1970s","prop_occupied_1990s","delta_occupied_grid_cells","delta_occupancy_proportion","delta_occupancy_percentage_points","change_class","records_1970s","records_1990s","records_2010s","foraging_guild_consensus"
"Spatula_clypeata",111,160,895,0.124022346368715,0.17877094972067,49,0.0547486033519553,5.47486033519553,"Stable",111,160,109,"Dabbling ducks"
"Poecile_palustris",544,593,895,0.607821229050279,0.662569832402235,49,0.0547486033519553,5.47486033519553,"Stable",544,593,644,"Tit-like birds"
"Calidris_pugnax",80,32,895,0.0893854748603352,0.0357541899441341,-48,-0.0536312849162011,-5.36312849162011,"Stable",80,32,10,"Scolopacids"
"Crex_crex",55,7,895,0.0614525139664804,0.00782122905027933,-48,-0.0536312849162011,-5.36312849162011,"Stable",55,7,72,"Rails"
"Lophophanes_cristatus",361,409,895,0.403351955307263,0.456983240223464,48,0.0536312849162011,5.36312849162011,"Stable",361,409,373,"Tit-like birds"
"Corvus_corone",87,132,895,0.0972067039106145,0.147486033519553,45,0.0502793296089386,5.02793296089386,"Stable",87,132,100,"Omnivorous corvids"
"Mareca_strepera",11,56,895,0.0122905027932961,0.0625698324022346,45,0.0502793296089385,5.02793296089385,"Stable",11,56,109,"Dabbling ducks"
"Coturnix_coturnix",20,64,895,0.0223463687150838,0.0715083798882682,44,0.0491620111731843,4.91620111731844,"Stable",20,64,281,"Gallinaceous birds"
"Prunella_modularis",806,849,895,0.900558659217877,0.948603351955307,43,0.0480446927374302,4.80446927374302,"Stable",806,849,855,"Low flycatching feeders"
"Sternula_albifrons",75,34,895,0.0837988826815642,0.0379888268156425,-41,-0.0458100558659218,-4.58100558659218,"Stable",75,34,29,"Terns"
"Acrocephalus_arundinaceus",48,10,895,0.0536312849162011,0.0111731843575419,-38,-0.0424581005586592,-4.24581005586592,"Stable",48,10,25,"Marsh warblers"
"Larus_marinus",9,47,895,0.0100558659217877,0.0525139664804469,38,0.0424581005586592,4.24581005586592,"Stable",9,47,57,"Gulls"
"Panurus_biarmicus",22,60,895,0.0245810055865922,0.0670391061452514,38,0.0424581005586592,4.24581005586592,"Stable",22,60,111,"Reedlings"
"Calidris_alpina",80,45,895,0.0893854748603352,0.0502793296089385,-35,-0.0391061452513966,-3.91061452513966,"Stable",80,45,15,"Scolopacids"
"Jynx_torquilla",94,59,895,0.105027932960894,0.0659217877094972,-35,-0.0391061452513966,-3.91061452513966,"Stable",94,59,84,"Woodpeckers"
"Dryobates_minor",6,40,895,0.00670391061452514,0.0446927374301676,34,0.0379888268156425,3.79888268156425,"Stable",6,40,40,"Woodpeckers"
"Lanius_collurio",319,353,895,0.356424581005587,0.394413407821229,34,0.0379888268156424,3.79888268156424,"Stable",319,353,351,"Shrikes"
"Curruca_curruca",802,834,895,0.89608938547486,0.931843575418994,32,0.035754189944134,3.5754189944134,"Stable",802,834,856,"Foliage gleaners"
"Somateria_mollissima",49,78,895,0.0547486033519553,0.0871508379888268,29,0.0324022346368715,3.24022346368715,"Stable",49,78,54,"Diving ducks"
"Picus_viridis",205,233,895,0.229050279329609,0.260335195530726,28,0.0312849162011173,3.12849162011173,"Stable",205,233,256,"Woodpeckers"
"Turdus_philomelos",848,875,895,0.947486033519553,0.977653631284916,27,0.0301675977653632,3.01675977653632,"Stable",848,875,863,"Thrushes"
"Phylloscopus_trochilus",861,887,895,0.962011173184358,0.991061452513966,26,0.0290502793296089,2.90502793296089,"Stable",861,887,867,"Foliage gleaners"
"Pica_pica",774,799,895,0.864804469273743,0.892737430167598,25,0.0279329608938548,2.79329608938548,"Stable",774,799,775,"Omnivorous corvids"
"Strix_aluco",502,527,895,0.560893854748603,0.588826815642458,25,0.0279329608938548,2.79329608938548,"Stable",502,527,544,"Owls"
"Botaurus_stellaris",24,48,895,0.0268156424581006,0.0536312849162011,24,0.0268156424581006,2.68156424581006,"Stable",24,48,131,"Wading birds"
"Recurvirostra_avosetta",129,106,895,0.14413407821229,0.118435754189944,-23,-0.0256983240223464,-2.56983240223464,"Stable",129,106,96,"Plovers"
"Tringa_glareola",37,15,895,0.041340782122905,0.0167597765363128,-22,-0.0245810055865922,-2.45810055865922,"Stable",37,15,9,"Scolopacids"
"Curruca_communis",860,881,895,0.960893854748603,0.984357541899441,21,0.023463687150838,2.3463687150838,"Stable",860,881,892,"Foliage gleaners"
"Alcedo_atthis",77,98,895,0.0860335195530726,0.109497206703911,21,0.023463687150838,2.3463687150838,"Stable",77,98,190,"Kingfishers"
"Columba_palumbus",864,883,895,0.96536312849162,0.98659217877095,19,0.0212290502793296,2.12290502793296,"Stable",864,883,882,"Columbids"
"Asio_flammeus",26,7,895,0.0290502793296089,0.00782122905027933,-19,-0.0212290502793296,-2.12290502793296,"Stable",26,7,5,"Owls"
"Larus_argentatus",89,108,895,0.0994413407821229,0.120670391061453,19,0.0212290502793296,2.12290502793296,"Stable",89,108,138,"Gulls"
"Porzana_porzana",40,22,895,0.0446927374301676,0.0245810055865922,-18,-0.0201117318435754,-2.01117318435754,"Stable",40,22,46,"Rails"
"Anthus_pratensis",591,574,895,0.660335195530726,0.641340782122905,-17,-0.0189944134078213,-1.89944134078213,"Stable",591,574,504,"Open-land insectivores"
"Sterna_hirundo",85,68,895,0.0949720670391061,0.0759776536312849,-17,-0.0189944134078212,-1.89944134078212,"Stable",85,68,72,"Terns"
"Anthus_trivialis",628,612,895,0.701675977653631,0.683798882681564,-16,-0.0178770949720671,-1.78770949720671,"Stable",628,612,579,"Low flycatching feeders"
"Anarhynchus_alexandrinus",22,6,895,0.0245810055865922,0.00670391061452514,-16,-0.017877094972067,-1.7877094972067,"Stable",22,6,6,"Plovers"
"Caprimulgus_europaeus",87,71,895,0.0972067039106145,0.0793296089385475,-16,-0.017877094972067,-1.7877094972067,"Stable",87,71,113,"Nigthjars"
"Fringilla_coelebs",873,889,895,0.975418994413408,0.993296089385475,16,0.017877094972067,1.7877094972067,"Stable",873,889,886,"Foliage gleaners"
"Mergus_merganser",10,25,895,0.0111731843575419,0.0279329608938547,15,0.0167597765363128,1.67597765363128,"Stable",10,25,46,"Aquatic pursuers"
"Thalasseus_sandvicensis",25,10,895,0.0279329608938547,0.0111731843575419,-15,-0.0167597765363128,-1.67597765363128,"Stable",25,10,8,"Terns"
"Emberiza_schoeniclus",782,796,895,0.873743016759777,0.889385474860335,14,0.0156424581005586,1.56424581005586,"Stable",782,796,758,"Buntings"
"Tyto_alba",31,18,895,0.0346368715083799,0.0201117318435754,-13,-0.0145251396648045,-1.45251396648045,"Stable",31,18,58,"Owls"
"Linaria_cannabina",853,866,895,0.953072625698324,0.967597765363128,13,0.0145251396648044,1.45251396648044,"Stable",853,866,739,"Passerine seedeaters"
"Regulus_ignicapilla",29,17,895,0.0324022346368715,0.0189944134078212,-12,-0.0134078212290503,-1.34078212290503,"Stable",29,17,116,"Tit-like birds"
"Larus_fuscus",7,19,895,0.00782122905027933,0.0212290502793296,12,0.0134078212290503,1.34078212290503,"Stable",7,19,36,"Gulls"
"Emberiza_citrinella",883,871,895,0.98659217877095,0.9731843575419,-12,-0.0134078212290503,-1.34078212290503,"Stable",883,871,873,"Buntings"
"Parus_major",873,885,895,0.975418994413408,0.988826815642458,12,0.0134078212290503,1.34078212290503,"Stable",873,885,885,"Tit-like birds"
"Hirundo_rustica",870,881,895,0.972067039106145,0.984357541899441,11,0.0122905027932961,1.22905027932961,"Stable",870,881,860,"Aerial insectivores"
"Limosa_limosa",45,34,895,0.0502793296089385,0.0379888268156425,-11,-0.0122905027932961,-1.22905027932961,"Stable",45,34,23,"Scolopacids"
"Anas_crecca",117,128,895,0.13072625698324,0.143016759776536,11,0.0122905027932961,1.22905027932961,"Stable",117,128,36,"Dabbling ducks"
"Charadrius_hiaticula",252,261,895,0.281564245810056,0.291620111731844,9,0.0100558659217878,1.00558659217878,"Stable",252,261,190,"Plovers"
"Podiceps_nigricollis",22,31,895,0.0245810055865922,0.0346368715083799,9,0.0100558659217877,1.00558659217877,"Stable",22,31,25,"Aquatic pursuers"
"Numenius_arquata",76,67,895,0.0849162011173184,0.0748603351955307,-9,-0.0100558659217877,-1.00558659217877,"Stable",76,67,61,"Scolopacids"
"Sterna_paradisaea",99,90,895,0.110614525139665,0.100558659217877,-9,-0.0100558659217877,-1.00558659217877,"Stable",99,90,60,"Terns"
"Vanellus_vanellus",849,841,895,0.948603351955307,0.939664804469274,-8,-0.00893854748603362,-0.893854748603362,"Stable",849,841,792,"Plovers"
"Anas_acuta",38,30,895,0.0424581005586592,0.0335195530726257,-8,-0.00893854748603352,-0.893854748603352,"Stable",38,30,13,"Dabbling ducks"
"Serinus_serinus",6,13,895,0.00670391061452514,0.0145251396648045,7,0.00782122905027933,0.782122905027933,"Stable",6,13,10,"Passerine seedeaters"
"Tringa_ochropus",23,30,895,0.0256983240223464,0.0335195530726257,7,0.00782122905027933,0.782122905027933,"Stable",23,30,28,"Scolopacids"
"Larus_canus",145,152,895,0.162011173184358,0.169832402234637,7,0.00782122905027932,0.782122905027932,"Stable",145,152,198,"Gulls"
"Lullula_arborea",74,80,895,0.08268156424581,0.0893854748603352,6,0.00670391061452515,0.670391061452515,"Stable",74,80,167,"Open-land insectivores"
"Locustella_luscinioides",22,16,895,0.0245810055865922,0.017877094972067,-6,-0.00670391061452514,-0.670391061452514,"Stable",22,16,10,"Marsh warblers"
"Streptopelia_turtur",9,15,895,0.0100558659217877,0.0167597765363128,6,0.00670391061452514,0.670391061452514,"Stable",9,15,12,"Columbids"
"Hippolais_icterina",774,768,895,0.864804469273743,0.858100558659218,-6,-0.00670391061452513,-0.670391061452513,"Stable",774,768,750,"Foliage gleaners"
"Passer_domesticus",869,864,895,0.970949720670391,0.96536312849162,-5,-0.005586592178771,-0.5586592178771,"Stable",869,864,819,"Passerine seedeaters"
"Spatula_querquedula",77,73,895,0.0860335195530726,0.0815642458100559,-4,-0.00446927374301677,-0.446927374301677,"Stable",77,73,53,"Dabbling ducks"
"Circus_pygargus",19,16,895,0.0212290502793296,0.017877094972067,-3,-0.00335195530726257,-0.335195530726257,"Stable",19,16,11,"Diurnal raptors"
"Ficedula_parva",7,10,895,0.00782122905027933,0.0111731843575419,3,0.00335195530726257,0.335195530726257,"Stable",7,10,12,"Flycatchers"
"Turdus_merula",887,890,895,0.991061452513966,0.994413407821229,3,0.00335195530726251,0.335195530726251,"Stable",887,890,890,"Thrushes"
"Alauda_arvensis",892,890,895,0.996648044692737,0.994413407821229,-2,-0.00223463687150838,-0.223463687150838,"Stable",892,890,879,"Open-land insectivores"
"Mergus_serrator",168,170,895,0.187709497206704,0.189944134078212,2,0.00223463687150838,0.223463687150838,"Stable",168,170,88,"Aquatic pursuers"
"Sturnus_vulgaris",881,882,895,0.984357541899441,0.985474860335195,1,0.00111731843575413,0.111731843575413,"Stable",881,882,841,"Starlings"
"Cinclus_cinclus",9,9,895,0.0100558659217877,0.0100558659217877,0,0,0,"Stable",9,9,6,"Dippers"
"Acanthis_flammea",67,417,895,0.0748603351955307,0.465921787709497,350,0.391061452513967,39.1061452513967,"Increase",67,417,452,"Passerine seedeaters"
"Accipiter_nisus",361,637,895,0.403351955307263,0.711731843575419,276,0.308379888268156,30.8379888268156,"Increase",361,637,394,"Diurnal raptors"
"Turdus_viscivorus",262,497,895,0.292737430167598,0.555307262569832,235,0.262569832402235,26.2569832402235,"Increase",262,497,453,"Thrushes"
"Buteo_buteo",496,730,895,0.554189944134078,0.815642458100559,234,0.26145251396648,26.145251396648,"Increase",496,730,744,"Diurnal raptors"
