"survey","coverage","site","atlas","period","species_richness","raw_species_pool_size","pct_lnd"
"CF70_1","Good","CF70","1","1970s",67,201,60.3246843376533
"CF71_1","Good","CF71","1","1970s",55,201,100
"CF73_1","Good","CF73","1","1970s",50,201,100
"CF75_1","Good","CF75","1","1970s",52,201,100
"CF76_1","Good","CF76","1","1970s",52,201,100
"CF78_1","Good","CF78","1","1970s",79,201,100
"CF79_1","Good","CF79","1","1970s",58,201,100
"CF82_1","Good","CF82","1","1970s",76,201,100
"CF84_1","Good","CF84","1","1970s",67,201,45.778468813505
"CF85_1","Good","CF85","1","1970s",62,201,100
"CF86_1","Good","CF86","1","1970s",63,201,100
"CF87_1","Good","CF87","1","1970s",66,201,100
"CF88_1","Good","CF88","1","1970s",55,201,100
"CF89_1","Good","CF89","1","1970s",68,201,100
"CF90_1","Good","CF90","1","1970s",57,201,69.9975665197082
"CF91_1","Good","CF91","1","1970s",53,201,57.4774977957222
"CF92_1","Good","CF92","1","1970s",68,201,96.1572828099174
"CF94_1","Good","CF94","1","1970s",55,201,69.5666109144058
"CF95_1","Good","CF95","1","1970s",70,201,100
"CF96_1","Good","CF96","1","1970s",65,201,100
"CF97_1","Good","CF97","1","1970s",66,201,100
"CF98_1","Good","CF98","1","1970s",65,201,100
"CF99_1","Good","CF99","1","1970s",69,201,100
"CG02_1","Good","CG02","1","1970s",59,201,100
"CG05_1","Good","CG05","1","1970s",61,201,100
"CG06_1","Good","CG06","1","1970s",60,201,100
"CG07_1","Good","CG07","1","1970s",68,201,100
"CG08_1","Good","CG08","1","1970s",66,201,100
"CG09_1","Good","CG09","1","1970s",73,201,100
"CG13_1","Good","CG13","1","1970s",55,201,100
"CG15_1","Good","CG15","1","1970s",59,201,100
"CG18_1","Good","CG18","1","1970s",74,201,100
"CG19_1","Good","CG19","1","1970s",62,201,100
"CG22_1","Good","CG22","1","1970s",62,201,100
"CG23_1","Good","CG23","1","1970s",53,201,100
"CG25_1","Good","CG25","1","1970s",53,201,100
"CG27_1","Good","CG27","1","1970s",75,201,100
"CG28_1","Good","CG28","1","1970s",65,201,100
"CG29_1","Good","CG29","1","1970s",61,201,100
"CG33_1","Good","CG33","1","1970s",45,201,100
"CG37_1","Good","CG37","1","1970s",53,201,100
"CG38_1","Good","CG38","1","1970s",63,201,100
"CG39_1","Good","CG39","1","1970s",68,201,100
"CG40_1","Good","CG40","1","1970s",71,201,100
"CG41_1","Good","CG41","1","1970s",58,201,100
"CG42_1","Good","CG42","1","1970s",61,201,100
"CG44_1","Good","CG44","1","1970s",65,201,100
"CG45_1","Good","CG45","1","1970s",52,201,100
"CG46_1","Good","CG46","1","1970s",68,201,100
"CG47_1","Good","CG47","1","1970s",65,201,100
