"","order","family","genus","species","ssp"
"1","Struthioniformes","Struthionidae","Struthio","Struthio camelus",NA
"2","Struthioniformes","Struthionidae","Struthio","Struthio camelus","Struthio camelus syriacus"
"3","Struthioniformes","Struthionidae","Struthio","Struthio camelus","Struthio camelus camelus"
"4","Struthioniformes","Struthionidae","Struthio","Struthio camelus","Struthio camelus massaicus"
"5","Struthioniformes","Struthionidae","Struthio","Struthio camelus","Struthio camelus australis"
"6","Struthioniformes","Struthionidae","Struthio","Struthio molybdophanes",NA
"7","Rheiformes","Rheidae","Rhea","Rhea americana",NA
"8","Rheiformes","Rheidae","Rhea","Rhea americana","Rhea americana americana"
"9","Rheiformes","Rheidae","Rhea","Rhea americana","Rhea americana intermedia"
"10","Rheiformes","Rheidae","Rhea","Rhea americana","Rhea americana nobilis"
"11","Rheiformes","Rheidae","Rhea","Rhea americana","Rhea americana araneipes"
"12","Rheiformes","Rheidae","Rhea","Rhea americana","Rhea americana albescens"
"13","Rheiformes","Rheidae","Rhea","Rhea pennata",NA
"14","Rheiformes","Rheidae","Rhea","Rhea pennata","Rhea pennata garleppi"
"15","Rheiformes","Rheidae","Rhea","Rhea pennata","Rhea pennata tarapacensis"
"16","Rheiformes","Rheidae","Rhea","Rhea pennata","Rhea pennata pennata"
"17","Apterygiformes","Apterygidae","Apteryx","Apteryx australis",NA
"18","Apterygiformes","Apterygidae","Apteryx","Apteryx australis","Apteryx australis australis"
"19","Apterygiformes","Apterygidae","Apteryx","Apteryx australis","Apteryx australis lawryi"
"20","Apterygiformes","Apterygidae","Apteryx","Apteryx mantelli",NA
"21","Apterygiformes","Apterygidae","Apteryx","Apteryx rowi",NA
"22","Apterygiformes","Apterygidae","Apteryx","Apteryx owenii",NA
"23","Apterygiformes","Apterygidae","Apteryx","Apteryx maxima",NA
"24","Casuariiformes","Casuariidae","Casuarius","Casuarius casuarius",NA
"25","Casuariiformes","Casuariidae","Casuarius","Casuarius bennetti",NA
"26","Casuariiformes","Casuariidae","Casuarius","Casuarius bennetti","Casuarius bennetti westermanni"
"27","Casuariiformes","Casuariidae","Casuarius","Casuarius bennetti","Casuarius bennetti bennetti"
"28","Casuariiformes","Casuariidae","Casuarius","Casuarius unappendiculatus",NA
"29","Casuariiformes","Casuariidae","Dromaius","Dromaius novaehollandiae",NA
"30","Casuariiformes","Casuariidae","Dromaius","Dromaius novaehollandiae","Dromaius novaehollandiae novaehollandiae"
"31","Casuariiformes","Casuariidae","Dromaius","Dromaius novaehollandiae","Dromaius novaehollandiae diemenensis"
"32","Casuariiformes","Casuariidae","Dromaius","Dromaius novaehollandiae","Dromaius novaehollandiae minor"
"33","Casuariiformes","Casuariidae","Dromaius","Dromaius novaehollandiae","Dromaius novaehollandiae baudinianus"
"34","Tinamiformes","Tinamidae","Tinamus","Tinamus tao",NA
"35","Tinamiformes","Tinamidae","Tinamus","Tinamus tao","Tinamus tao larensis"
"36","Tinamiformes","Tinamidae","Tinamus","Tinamus tao","Tinamus tao septentrionalis"
"37","Tinamiformes","Tinamidae","Tinamus","Tinamus tao","Tinamus tao tao"
"38","Tinamiformes","Tinamidae","Tinamus","Tinamus tao","Tinamus tao kleei"
"39","Tinamiformes","Tinamidae","Tinamus","Tinamus solitarius",NA
"40","Tinamiformes","Tinamidae","Tinamus","Tinamus osgoodi",NA
"41","Tinamiformes","Tinamidae","Tinamus","Tinamus osgoodi","Tinamus osgoodi hershkovitzi"
"42","Tinamiformes","Tinamidae","Tinamus","Tinamus osgoodi","Tinamus osgoodi osgoodi"
"43","Tinamiformes","Tinamidae","Tinamus","Tinamus major",NA
"44","Tinamiformes","Tinamidae","Tinamus","Tinamus major","Tinamus major robustus"
"45","Tinamiformes","Tinamidae","Tinamus","Tinamus major","Tinamus major percautus"
"46","Tinamiformes","Tinamidae","Tinamus","Tinamus major","Tinamus major fuscipennis"
"47","Tinamiformes","Tinamidae","Tinamus","Tinamus major","Tinamus major brunneiventris"
"48","Tinamiformes","Tinamidae","Tinamus","Tinamus major","Tinamus major castaneiceps"
"49","Tinamiformes","Tinamidae","Tinamus","Tinamus major","Tinamus major saturatus"
"50","Tinamiformes","Tinamidae","Tinamus","Tinamus major","Tinamus major zuliensis"
"51","Tinamiformes","Tinamidae","Tinamus","Tinamus major","Tinamus major latifrons"
"52","Tinamiformes","Tinamidae","Tinamus","Tinamus major","Tinamus major major"
"53","Tinamiformes","Tinamidae","Tinamus","Tinamus major","Tinamus major serratus"
"54","Tinamiformes","Tinamidae","Tinamus","Tinamus major","Tinamus major olivascens"
"55","Tinamiformes","Tinamidae","Tinamus","Tinamus major","Tinamus major peruvianus"
"56","Tinamiformes","Tinamidae","Tinamus","Tinamus guttatus",NA
"57","Tinamiformes","Tinamidae","Nothocercus","Nothocercus bonapartei",NA
"58","Tinamiformes","Tinamidae","Nothocercus","Nothocercus bonapartei","Nothocercus bonapartei frantzii"
"59","Tinamiformes","Tinamidae","Nothocercus","Nothocercus bonapartei","Nothocercus bonapartei bonapartei"
"60","Tinamiformes","Tinamidae","Nothocercus","Nothocercus bonapartei","Nothocercus bonapartei intercedens"
"61","Tinamiformes","Tinamidae","Nothocercus","Nothocercus bonapartei","Nothocercus bonapartei discrepans"
"62","Tinamiformes","Tinamidae","Nothocercus","Nothocercus bonapartei","Nothocercus bonapartei plumbeiceps"
"63","Tinamiformes","Tinamidae","Nothocercus","Nothocercus julius",NA
"64","Tinamiformes","Tinamidae","Nothocercus","Nothocercus nigrocapillus",NA
"65","Tinamiformes","Tinamidae","Nothocercus","Nothocercus nigrocapillus","Nothocercus nigrocapillus cadwaladeri"
"66","Tinamiformes","Tinamidae","Nothocercus","Nothocercus nigrocapillus","Nothocercus nigrocapillus nigrocapillus"
"67","Tinamiformes","Tinamidae","Crypturellus","Crypturellus berlepschi",NA
"68","Tinamiformes","Tinamidae","Crypturellus","Crypturellus cinereus",NA
"69","Tinamiformes","Tinamidae","Crypturellus","Crypturellus soui",NA
"70","Tinamiformes","Tinamidae","Crypturellus","Crypturellus soui","Crypturellus soui meserythrus"
"71","Tinamiformes","Tinamidae","Crypturellus","Crypturellus soui","Crypturellus soui modestus"
"72","Tinamiformes","Tinamidae","Crypturellus","Crypturellus soui","Crypturellus soui capnodes"
"73","Tinamiformes","Tinamidae","Crypturellus","Crypturellus soui","Crypturellus soui poliocephalus"
"74","Tinamiformes","Tinamidae","Crypturellus","Crypturellus soui","Crypturellus soui panamensis"
"75","Tinamiformes","Tinamidae","Crypturellus","Crypturellus soui","Crypturellus soui mustelinus"
"76","Tinamiformes","Tinamidae","Crypturellus","Crypturellus soui","Crypturellus soui soui"
"77","Tinamiformes","Tinamidae","Crypturellus","Crypturellus soui","Crypturellus soui andrei"
"78","Tinamiformes","Tinamidae","Crypturellus","Crypturellus soui","Crypturellus soui caucae"
"79","Tinamiformes","Tinamidae","Crypturellus","Crypturellus soui","Crypturellus soui harterti"
"80","Tinamiformes","Tinamidae","Crypturellus","Crypturellus soui","Crypturellus soui caquetae"
"81","Tinamiformes","Tinamidae","Crypturellus","Crypturellus soui","Crypturellus soui nigriceps"
"82","Tinamiformes","Tinamidae","Crypturellus","Crypturellus soui","Crypturellus soui albigularis"
"83","Tinamiformes","Tinamidae","Crypturellus","Crypturellus soui","Crypturellus soui inconspicuus"
"84","Tinamiformes","Tinamidae","Crypturellus","Crypturellus ptaritepui",NA
"85","Tinamiformes","Tinamidae","Crypturellus","Crypturellus obsoletus",NA
"86","Tinamiformes","Tinamidae","Crypturellus","Crypturellus obsoletus","Crypturellus obsoletus cerviniventris"
"87","Tinamiformes","Tinamidae","Crypturellus","Crypturellus obsoletus","Crypturellus obsoletus knoxi"
"88","Tinamiformes","Tinamidae","Crypturellus","Crypturellus obsoletus","Crypturellus obsoletus castaneus"
"89","Tinamiformes","Tinamidae","Crypturellus","Crypturellus obsoletus","Crypturellus obsoletus ochraceiventris"
"90","Tinamiformes","Tinamidae","Crypturellus","Crypturellus obsoletus","Crypturellus obsoletus traylori"
"91","Tinamiformes","Tinamidae","Crypturellus","Crypturellus obsoletus","Crypturellus obsoletus punensis"
"92","Tinamiformes","Tinamidae","Crypturellus","Crypturellus obsoletus","Crypturellus obsoletus griseiventris"
"93","Tinamiformes","Tinamidae","Crypturellus","Crypturellus obsoletus","Crypturellus obsoletus hypochraceus"
"94","Tinamiformes","Tinamidae","Crypturellus","Crypturellus obsoletus","Crypturellus obsoletus obsoletus"
"95","Tinamiformes","Tinamidae","Crypturellus","Crypturellus undulatus",NA
"96","Tinamiformes","Tinamidae","Crypturellus","Crypturellus undulatus","Crypturellus undulatus manapiare"
"97","Tinamiformes","Tinamidae","Crypturellus","Crypturellus undulatus","Crypturellus undulatus simplex"
"98","Tinamiformes","Tinamidae","Crypturellus","Crypturellus undulatus","Crypturellus undulatus yapura"
"99","Tinamiformes","Tinamidae","Crypturellus","Crypturellus undulatus","Crypturellus undulatus adspersus"
"100","Tinamiformes","Tinamidae","Crypturellus","Crypturellus undulatus","Crypturellus undulatus vermiculatus"
"101","Tinamiformes","Tinamidae","Crypturellus","Crypturellus undulatus","Crypturellus undulatus undulatus"
"102","Tinamiformes","Tinamidae","Crypturellus","Crypturellus transfasciatus",NA
"103","Tinamiformes","Tinamidae","Crypturellus","Crypturellus strigulosus",NA
"104","Tinamiformes","Tinamidae","Crypturellus","Crypturellus duidae",NA
"105","Tinamiformes","Tinamidae","Crypturellus","Crypturellus erythropus",NA
"106","Tinamiformes","Tinamidae","Crypturellus","Crypturellus erythropus","Crypturellus erythropus cursitans"
"107","Tinamiformes","Tinamidae","Crypturellus","Crypturellus erythropus","Crypturellus erythropus idoneus"
"108","Tinamiformes","Tinamidae","Crypturellus","Crypturellus erythropus","Crypturellus erythropus columbianus"
"109","Tinamiformes","Tinamidae","Crypturellus","Crypturellus erythropus","Crypturellus erythropus saltuarius"
"110","Tinamiformes","Tinamidae","Crypturellus","Crypturellus erythropus","Crypturellus erythropus spencei"
"111","Tinamiformes","Tinamidae","Crypturellus","Crypturellus erythropus","Crypturellus erythropus margaritae"
"112","Tinamiformes","Tinamidae","Crypturellus","Crypturellus erythropus","Crypturellus erythropus erythropus"
"113","Tinamiformes","Tinamidae","Crypturellus","Crypturellus noctivagus",NA
"114","Tinamiformes","Tinamidae","Crypturellus","Crypturellus noctivagus","Crypturellus noctivagus zabele"
"115","Tinamiformes","Tinamidae","Crypturellus","Crypturellus noctivagus","Crypturellus noctivagus noctivagus"
"116","Tinamiformes","Tinamidae","Crypturellus","Crypturellus atrocapillus",NA
"117","Tinamiformes","Tinamidae","Crypturellus","Crypturellus atrocapillus","Crypturellus atrocapillus atrocapillus"
"118","Tinamiformes","Tinamidae","Crypturellus","Crypturellus atrocapillus","Crypturellus atrocapillus garleppi"
"119","Tinamiformes","Tinamidae","Crypturellus","Crypturellus cinnamomeus",NA
"120","Tinamiformes","Tinamidae","Crypturellus","Crypturellus cinnamomeus","Crypturellus cinnamomeus occidentalis"
"121","Tinamiformes","Tinamidae","Crypturellus","Crypturellus cinnamomeus","Crypturellus cinnamomeus mexicanus"
"122","Tinamiformes","Tinamidae","Crypturellus","Crypturellus cinnamomeus","Crypturellus cinnamomeus soconuscensis"
"123","Tinamiformes","Tinamidae","Crypturellus","Crypturellus cinnamomeus","Crypturellus cinnamomeus vicinior"
"124","Tinamiformes","Tinamidae","Crypturellus","Crypturellus cinnamomeus","Crypturellus cinnamomeus sallaei"
"125","Tinamiformes","Tinamidae","Crypturellus","Crypturellus cinnamomeus","Crypturellus cinnamomeus goldmani"
"126","Tinamiformes","Tinamidae","Crypturellus","Crypturellus cinnamomeus","Crypturellus cinnamomeus cinnamomeus"
"127","Tinamiformes","Tinamidae","Crypturellus","Crypturellus cinnamomeus","Crypturellus cinnamomeus delattrii"
"128","Tinamiformes","Tinamidae","Crypturellus","Crypturellus cinnamomeus","Crypturellus cinnamomeus praepes"
"129","Tinamiformes","Tinamidae","Crypturellus","Crypturellus boucardi",NA
"130","Tinamiformes","Tinamidae","Crypturellus","Crypturellus boucardi","Crypturellus boucardi boucardi"
"131","Tinamiformes","Tinamidae","Crypturellus","Crypturellus boucardi","Crypturellus boucardi costaricensis"
"132","Tinamiformes","Tinamidae","Crypturellus","Crypturellus kerriae",NA
"133","Tinamiformes","Tinamidae","Crypturellus","Crypturellus variegatus",NA
"134","Tinamiformes","Tinamidae","Crypturellus","Crypturellus brevirostris",NA
"135","Tinamiformes","Tinamidae","Crypturellus","Crypturellus bartletti",NA
"136","Tinamiformes","Tinamidae","Crypturellus","Crypturellus parvirostris",NA
"137","Tinamiformes","Tinamidae","Crypturellus","Crypturellus casiquiare",NA
"138","Tinamiformes","Tinamidae","Crypturellus","Crypturellus tataupa",NA
"139","Tinamiformes","Tinamidae","Crypturellus","Crypturellus tataupa","Crypturellus tataupa inops"
"140","Tinamiformes","Tinamidae","Crypturellus","Crypturellus tataupa","Crypturellus tataupa lepidotus"
"141","Tinamiformes","Tinamidae","Crypturellus","Crypturellus tataupa","Crypturellus tataupa peruvianus"
"142","Tinamiformes","Tinamidae","Crypturellus","Crypturellus tataupa","Crypturellus tataupa tataupa"
"143","Tinamiformes","Tinamidae","Rhynchotus","Rhynchotus rufescens",NA
"144","Tinamiformes","Tinamidae","Rhynchotus","Rhynchotus rufescens","Rhynchotus rufescens catingae"
"145","Tinamiformes","Tinamidae","Rhynchotus","Rhynchotus rufescens","Rhynchotus rufescens pallescens"
"146","Tinamiformes","Tinamidae","Rhynchotus","Rhynchotus rufescens","Rhynchotus rufescens rufescens"
"147","Tinamiformes","Tinamidae","Rhynchotus","Rhynchotus maculicollis",NA
"148","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta taczanowskii",NA
"149","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta ornata",NA
"150","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta ornata","Nothoprocta ornata branickii"
"151","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta ornata","Nothoprocta ornata ornata"
"152","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta ornata","Nothoprocta ornata rostrata"
"153","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta perdicaria",NA
"154","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta perdicaria","Nothoprocta perdicaria perdicaria"
"155","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta perdicaria","Nothoprocta perdicaria sanborni"
"156","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta cinerascens",NA
"157","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta cinerascens","Nothoprocta cinerascens cinerascens"
"158","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta cinerascens","Nothoprocta cinerascens parvimaculata"
"159","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta pentlandii",NA
"160","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta pentlandii","Nothoprocta pentlandii ambigua"
"161","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta pentlandii","Nothoprocta pentlandii niethammeri"
"162","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta pentlandii","Nothoprocta pentlandii oustaleti"
"163","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta pentlandii","Nothoprocta pentlandii fulvescens"
"164","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta pentlandii","Nothoprocta pentlandii pentlandii"
"165","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta pentlandii","Nothoprocta pentlandii patriciae"
"166","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta pentlandii","Nothoprocta pentlandii mendozae"
"167","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta pentlandii","Nothoprocta pentlandii doeringi"
"168","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta curvirostris",NA
"169","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta curvirostris","Nothoprocta curvirostris curvirostris"
"170","Tinamiformes","Tinamidae","Nothoprocta","Nothoprocta curvirostris","Nothoprocta curvirostris peruviana"
"171","Tinamiformes","Tinamidae","Nothura","Nothura boraquira",NA
"172","Tinamiformes","Tinamidae","Nothura","Nothura minor",NA
"173","Tinamiformes","Tinamidae","Nothura","Nothura darwinii",NA
"174","Tinamiformes","Tinamidae","Nothura","Nothura darwinii","Nothura darwinii peruviana"
"175","Tinamiformes","Tinamidae","Nothura","Nothura darwinii","Nothura darwinii agassizii"
"176","Tinamiformes","Tinamidae","Nothura","Nothura darwinii","Nothura darwinii boliviana"
"177","Tinamiformes","Tinamidae","Nothura","Nothura darwinii","Nothura darwinii salvadorii"
"178","Tinamiformes","Tinamidae","Nothura","Nothura darwinii","Nothura darwinii darwinii"
"179","Tinamiformes","Tinamidae","Nothura","Nothura maculosa",NA
"180","Tinamiformes","Tinamidae","Nothura","Nothura maculosa","Nothura maculosa cearensis"
"181","Tinamiformes","Tinamidae","Nothura","Nothura maculosa","Nothura maculosa major"
"182","Tinamiformes","Tinamidae","Nothura","Nothura maculosa","Nothura maculosa paludivaga"
"183","Tinamiformes","Tinamidae","Nothura","Nothura maculosa","Nothura maculosa maculosa"
"184","Tinamiformes","Tinamidae","Nothura","Nothura maculosa","Nothura maculosa pallida"
"185","Tinamiformes","Tinamidae","Nothura","Nothura maculosa","Nothura maculosa annectens"
"186","Tinamiformes","Tinamidae","Nothura","Nothura maculosa","Nothura maculosa submontana"
"187","Tinamiformes","Tinamidae","Nothura","Nothura maculosa","Nothura maculosa nigroguttata"
"188","Tinamiformes","Tinamidae","Nothura","Nothura maculosa","Nothura maculosa chacoensis"
"189","Tinamiformes","Tinamidae","Taoniscus","Taoniscus nanus",NA
"190","Tinamiformes","Tinamidae","Eudromia","Eudromia elegans",NA
"191","Tinamiformes","Tinamidae","Eudromia","Eudromia elegans","Eudromia elegans intermedia"
"192","Tinamiformes","Tinamidae","Eudromia","Eudromia elegans","Eudromia elegans magnistriata"
"193","Tinamiformes","Tinamidae","Eudromia","Eudromia elegans","Eudromia elegans riojana"
"194","Tinamiformes","Tinamidae","Eudromia","Eudromia elegans","Eudromia elegans albida"
"195","Tinamiformes","Tinamidae","Eudromia","Eudromia elegans","Eudromia elegans wetmorei"
"196","Tinamiformes","Tinamidae","Eudromia","Eudromia elegans","Eudromia elegans numida"
"197","Tinamiformes","Tinamidae","Eudromia","Eudromia elegans","Eudromia elegans elegans"
"198","Tinamiformes","Tinamidae","Eudromia","Eudromia elegans","Eudromia elegans multiguttata"
"199","Tinamiformes","Tinamidae","Eudromia","Eudromia elegans","Eudromia elegans devia"
"200","Tinamiformes","Tinamidae","Eudromia","Eudromia elegans","Eudromia elegans patagonica"
"201","Tinamiformes","Tinamidae","Eudromia","Eudromia formosa",NA
"202","Tinamiformes","Tinamidae","Eudromia","Eudromia formosa","Eudromia formosa formosa"
"203","Tinamiformes","Tinamidae","Eudromia","Eudromia formosa","Eudromia formosa mira"
"204","Tinamiformes","Tinamidae","Tinamotis","Tinamotis pentlandii",NA
"205","Tinamiformes","Tinamidae","Tinamotis","Tinamotis ingoufi",NA
"206","Anseriformes","Anhimidae","Anhima","Anhima cornuta",NA
"207","Anseriformes","Anhimidae","Chauna","Chauna chavaria",NA
"208","Anseriformes","Anhimidae","Chauna","Chauna torquata",NA
"209","Anseriformes","Anseranatidae","Anseranas","Anseranas semipalmata",NA
"210","Anseriformes","Anatidae","Dendrocygna","Dendrocygna viduata",NA
"211","Anseriformes","Anatidae","Dendrocygna","Dendrocygna autumnalis",NA
"212","Anseriformes","Anatidae","Dendrocygna","Dendrocygna autumnalis","Dendrocygna autumnalis fulgens"
"213","Anseriformes","Anatidae","Dendrocygna","Dendrocygna autumnalis","Dendrocygna autumnalis autumnalis"
"214","Anseriformes","Anatidae","Dendrocygna","Dendrocygna guttata",NA
"215","Anseriformes","Anatidae","Dendrocygna","Dendrocygna arborea",NA
"216","Anseriformes","Anatidae","Dendrocygna","Dendrocygna bicolor",NA
"217","Anseriformes","Anatidae","Dendrocygna","Dendrocygna eytoni",NA
"218","Anseriformes","Anatidae","Dendrocygna","Dendrocygna arcuata",NA
"219","Anseriformes","Anatidae","Dendrocygna","Dendrocygna arcuata","Dendrocygna arcuata arcuata"
"220","Anseriformes","Anatidae","Dendrocygna","Dendrocygna arcuata","Dendrocygna arcuata pygmaea"
"221","Anseriformes","Anatidae","Dendrocygna","Dendrocygna arcuata","Dendrocygna arcuata australis"
"222","Anseriformes","Anatidae","Dendrocygna","Dendrocygna javanica",NA
"223","Anseriformes","Anatidae","Thalassornis","Thalassornis leuconotus",NA
"224","Anseriformes","Anatidae","Thalassornis","Thalassornis leuconotus","Thalassornis leuconotus leuconotus"
"225","Anseriformes","Anatidae","Thalassornis","Thalassornis leuconotus","Thalassornis leuconotus insularis"
"226","Anseriformes","Anatidae","Cereopsis","Cereopsis novaehollandiae",NA
"227","Anseriformes","Anatidae","Cereopsis","Cereopsis novaehollandiae","Cereopsis novaehollandiae novaehollandiae"
"228","Anseriformes","Anatidae","Cereopsis","Cereopsis novaehollandiae","Cereopsis novaehollandiae grisea"
"229","Anseriformes","Anatidae","Branta","Branta bernicla",NA
"230","Anseriformes","Anatidae","Branta","Branta bernicla","Branta bernicla nigricans"
"231","Anseriformes","Anatidae","Branta","Branta bernicla","Branta bernicla bernicla"
"232","Anseriformes","Anatidae","Branta","Branta bernicla","Branta bernicla hrota"
"233","Anseriformes","Anatidae","Branta","Branta ruficollis",NA
"234","Anseriformes","Anatidae","Branta","Branta sandvicensis",NA
"235","Anseriformes","Anatidae","Branta","Branta canadensis",NA
"236","Anseriformes","Anatidae","Branta","Branta canadensis","Branta canadensis occidentalis"
"237","Anseriformes","Anatidae","Branta","Branta canadensis","Branta canadensis fulva"
"238","Anseriformes","Anatidae","Branta","Branta canadensis","Branta canadensis maxima"
"239","Anseriformes","Anatidae","Branta","Branta canadensis","Branta canadensis parvipes"
"240","Anseriformes","Anatidae","Branta","Branta canadensis","Branta canadensis moffitti"
"241","Anseriformes","Anatidae","Branta","Branta canadensis","Branta canadensis interior"
"242","Anseriformes","Anatidae","Branta","Branta canadensis","Branta canadensis canadensis"
"243","Anseriformes","Anatidae","Branta","Branta leucopsis",NA
"244","Anseriformes","Anatidae","Branta","Branta hutchinsii",NA
"245","Anseriformes","Anatidae","Branta","Branta hutchinsii","Branta hutchinsii leucopareia"
"246","Anseriformes","Anatidae","Branta","Branta hutchinsii","Branta hutchinsii minima"
"247","Anseriformes","Anatidae","Branta","Branta hutchinsii","Branta hutchinsii taverneri"
"248","Anseriformes","Anatidae","Branta","Branta hutchinsii","Branta hutchinsii hutchinsii"
"249","Anseriformes","Anatidae","Anser","Anser indicus",NA
"250","Anseriformes","Anatidae","Anser","Anser canagicus",NA
"251","Anseriformes","Anatidae","Anser","Anser rossii",NA
"252","Anseriformes","Anatidae","Anser","Anser caerulescens",NA
"253","Anseriformes","Anatidae","Anser","Anser caerulescens","Anser caerulescens caerulescens"
"254","Anseriformes","Anatidae","Anser","Anser caerulescens","Anser caerulescens atlanticus"
"255","Anseriformes","Anatidae","Anser","Anser anser",NA
"256","Anseriformes","Anatidae","Anser","Anser anser","Anser anser anser"
"257","Anseriformes","Anatidae","Anser","Anser anser","Anser anser rubrirostris"
"258","Anseriformes","Anatidae","Anser","Anser cygnoides",NA
"259","Anseriformes","Anatidae","Anser","Anser fabalis",NA
"260","Anseriformes","Anatidae","Anser","Anser fabalis","Anser fabalis fabalis"
"261","Anseriformes","Anatidae","Anser","Anser fabalis","Anser fabalis johanseni"
"262","Anseriformes","Anatidae","Anser","Anser fabalis","Anser fabalis middendorffii"
"263","Anseriformes","Anatidae","Anser","Anser brachyrhynchus",NA
"264","Anseriformes","Anatidae","Anser","Anser serrirostris",NA
"265","Anseriformes","Anatidae","Anser","Anser serrirostris","Anser serrirostris rossicus"
"266","Anseriformes","Anatidae","Anser","Anser serrirostris","Anser serrirostris serrirostris"
"267","Anseriformes","Anatidae","Anser","Anser albifrons",NA
"268","Anseriformes","Anatidae","Anser","Anser albifrons","Anser albifrons flavirostris"
"269","Anseriformes","Anatidae","Anser","Anser albifrons","Anser albifrons albifrons"
"270","Anseriformes","Anatidae","Anser","Anser albifrons","Anser albifrons elgasi"
"271","Anseriformes","Anatidae","Anser","Anser albifrons","Anser albifrons gambelli"
"272","Anseriformes","Anatidae","Anser","Anser albifrons","Anser albifrons sponsa"
"273","Anseriformes","Anatidae","Anser","Anser erythropus",NA
"274","Anseriformes","Anatidae","Coscoroba","Coscoroba coscoroba",NA
"275","Anseriformes","Anatidae","Cygnus","Cygnus atratus",NA
"276","Anseriformes","Anatidae","Cygnus","Cygnus melancoryphus",NA
"277","Anseriformes","Anatidae","Cygnus","Cygnus olor",NA
"278","Anseriformes","Anatidae","Cygnus","Cygnus buccinator",NA
"279","Anseriformes","Anatidae","Cygnus","Cygnus columbianus",NA
"280","Anseriformes","Anatidae","Cygnus","Cygnus columbianus","Cygnus columbianus columbianus"
"281","Anseriformes","Anatidae","Cygnus","Cygnus columbianus","Cygnus columbianus bewickii"
"282","Anseriformes","Anatidae","Cygnus","Cygnus cygnus",NA
"283","Anseriformes","Anatidae","Stictonetta","Stictonetta naevosa",NA
"284","Anseriformes","Anatidae","Hymenolaimus","Hymenolaimus malacorhynchos",NA
"285","Anseriformes","Anatidae","Hymenolaimus","Hymenolaimus malacorhynchos","Hymenolaimus malacorhynchos hymenolaimus"
"286","Anseriformes","Anatidae","Hymenolaimus","Hymenolaimus malacorhynchos","Hymenolaimus malacorhynchos malacorhynchos"
"287","Anseriformes","Anatidae","Tachyeres","Tachyeres patachonicus",NA
"288","Anseriformes","Anatidae","Tachyeres","Tachyeres pteneres",NA
"289","Anseriformes","Anatidae","Tachyeres","Tachyeres brachypterus",NA
"290","Anseriformes","Anatidae","Tachyeres","Tachyeres leucocephalus",NA
"291","Anseriformes","Anatidae","Merganetta","Merganetta armata",NA
"292","Anseriformes","Anatidae","Merganetta","Merganetta armata","Merganetta armata colombiana"
"293","Anseriformes","Anatidae","Merganetta","Merganetta armata","Merganetta armata leucogenis"
"294","Anseriformes","Anatidae","Merganetta","Merganetta armata","Merganetta armata turneri"
"295","Anseriformes","Anatidae","Merganetta","Merganetta armata","Merganetta armata garleppi"
"296","Anseriformes","Anatidae","Merganetta","Merganetta armata","Merganetta armata berlepschi"
"297","Anseriformes","Anatidae","Merganetta","Merganetta armata","Merganetta armata armata"
"298","Anseriformes","Anatidae","Plectropterus","Plectropterus gambensis",NA
"299","Anseriformes","Anatidae","Plectropterus","Plectropterus gambensis","Plectropterus gambensis gambensis"
"300","Anseriformes","Anatidae","Plectropterus","Plectropterus gambensis","Plectropterus gambensis niger"
"301","Anseriformes","Anatidae","Sarkidiornis","Sarkidiornis sylvicola",NA
"302","Anseriformes","Anatidae","Sarkidiornis","Sarkidiornis melanotos",NA
"303","Anseriformes","Anatidae","Cyanochen","Cyanochen cyanoptera",NA
"304","Anseriformes","Anatidae","Alopochen","Alopochen aegyptiaca",NA
"305","Anseriformes","Anatidae","Alopochen","Alopochen mauritiana",NA
"306","Anseriformes","Anatidae","Alopochen","Alopochen kervazoi",NA
"307","Anseriformes","Anatidae","Neochen","Neochen jubata",NA
"308","Anseriformes","Anatidae","Chloephaga","Chloephaga melanoptera",NA
"309","Anseriformes","Anatidae","Chloephaga","Chloephaga picta",NA
"310","Anseriformes","Anatidae","Chloephaga","Chloephaga picta","Chloephaga picta picta"
"311","Anseriformes","Anatidae","Chloephaga","Chloephaga picta","Chloephaga picta leucoptera"
"312","Anseriformes","Anatidae","Chloephaga","Chloephaga hybrida",NA
"313","Anseriformes","Anatidae","Chloephaga","Chloephaga hybrida","Chloephaga hybrida hybrida"
