bioregion,species,species_label,species_weight,rank_in_cluster,thermal_group,migratory_strategy,foraging_guild,variable,scaled_vp,variable_label,effect_size,supported,effect_sign,effect_direction,weighted_scaled_vp,weighted_supported_vp,weighted_signed_vp,effect_sign_label
Cluster 1,Hirundo_rustica,Hirundo rustica,0.0174220283151542,6,warm,long-distance,Aerial insectivores,perc_forest,0.007706721423308689,Forest (% coverage),2.042844429608153,TRUE,1,Positive,1.3426671885388946e-4,1.3426671885388946e-4,1.3426671885388946e-4,+
Cluster 1,Hirundo_rustica,Hirundo rustica,0.0174220283151542,6,warm,long-distance,Aerial insectivores,perc_grass_shrub,0.0014534883674238756,Grass/Shrubland (% coverage),1.702384819932232,TRUE,1,Positive,2.532271549300601e-5,2.532271549300601e-5,2.532271549300601e-5,+
Cluster 1,Passer_domesticus,Passer domesticus,0.017405894804254255,7,medium,sedentary,Passerine seedeaters,perc_urban,0.01869955886812112,Urban (% coverage),3.397816017850749,TRUE,1,Positive,3.25482554544476e-4,3.25482554544476e-4,3.25482554544476e-4,+
Cluster 1,Passer_domesticus,Passer domesticus,0.017405894804254255,7,medium,sedentary,Passerine seedeaters,perc_cropland,0.01754582543220815,Cropland (% coverage),1.412189008822017,TRUE,1,Positive,3.0540079172682396e-4,3.0540079172682396e-4,3.0540079172682396e-4,+
Cluster 1,Passer_domesticus,Passer domesticus,0.017405894804254255,7,medium,sedentary,Passerine seedeaters,perc_pasture,0.002144917570103398,Pasture (% coverage),1.510300946582489,TRUE,1,Positive,3.73342095890164e-5,3.73342095890164e-5,3.73342095890164e-5,+
Cluster 1,Passer_domesticus,Passer domesticus,0.017405894804254255,7,medium,sedentary,Passerine seedeaters,perc_forest,0.003891588951510486,Forest (% coverage),1.296751453875773,TRUE,1,Positive,6.773658791138963e-5,6.773658791138963e-5,6.773658791138963e-5,+
Cluster 1,Emberiza_schoeniclus,Emberiza schoeniclus,0.017333253786636093,8,cold,sedentary and short-distance,Buntings,tmean_breeding,0.00884745392861526,Temperature,1.23638608480191,TRUE,1,Positive,1.5335516431025882e-4,1.5335516431025882e-4,1.5335516431025882e-4,+
Cluster 1,Emberiza_schoeniclus,Emberiza schoeniclus,0.017333253786636093,8,cold,sedentary and short-distance,Buntings,prec_breeding,0.01641615630462788,Precipitation,-0.02723098686911507,TRUE,-1,Negative,2.8454540342920116e-4,2.8454540342920116e-4,-2.8454540342920116e-4,-
Cluster 1,Fringilla_coelebs,Fringilla coelebs,0.01712325344684533,9,medium,sedentary and short-distance,Foliage gleaners,perc_urban,0.022719518632785905,Urban (% coverage),2.894402770884218,TRUE,1,Positive,3.8903207573951794e-4,3.8903207573951794e-4,3.8903207573951794e-4,+
Cluster 1,Fringilla_coelebs,Fringilla coelebs,0.01712325344684533,9,medium,sedentary and short-distance,Foliage gleaners,perc_cropland,0.027049415497883013,Cropland (% coverage),1.380797191602235,TRUE,1,Positive,4.631739971592768e-4,4.631739971592768e-4,4.631739971592768e-4,+
Cluster 1,Fringilla_coelebs,Fringilla coelebs,0.01712325344684533,9,medium,sedentary and short-distance,Foliage gleaners,perc_forest,0.01965530863688177,Forest (% coverage),2.348606402771308,TRUE,1,Positive,3.365628313652945e-4,3.365628313652945e-4,3.365628313652945e-4,+
Cluster 1,Curruca_communis,Curruca communis,0.016952702284314624,10,warm,long-distance,Foliage gleaners,tmean_breeding,0.003431114043389481,Temperature,0.7313160832328333,TRUE,1,Positive,5.8166654881112844e-5,5.8166654881112844e-5,5.8166654881112844e-5,+
Cluster 1,Curruca_communis,Curruca communis,0.016952702284314624,10,warm,long-distance,Foliage gleaners,prec_breeding,0.00904042383983455,Precipitation,-0.02022667265290587,TRUE,-1,Negative,1.5325961388073554e-4,1.5325961388073554e-4,-1.5325961388073554e-4,-
Cluster 1,Parus_major,Parus major,0.016917513133814985,11,medium,sedentary and short-distance,Tit-like birds,perc_urban,0.014707756229482769,Urban (% coverage),2.377360326301707,TRUE,1,Positive,2.488186591812239e-4,2.488186591812239e-4,2.488186591812239e-4,+
Cluster 1,Parus_major,Parus major,0.016917513133814985,11,medium,sedentary and short-distance,Tit-like birds,perc_cropland,0.013196318938816025,Cropland (% coverage),0.9551644746102138,TRUE,1,Positive,2.2324889896543153e-4,2.2324889896543153e-4,2.2324889896543153e-4,+
Cluster 1,Parus_major,Parus major,0.016917513133814985,11,medium,sedentary and short-distance,Tit-like birds,perc_forest,0.014664419933960908,Forest (% coverage),2.074290740059684,TRUE,1,Positive,2.4808551683256193e-4,2.4808551683256193e-4,2.4808551683256193e-4,+
Cluster 1,Linaria_cannabina,Linaria cannabina,0.016889568469112024,12,very warm,short-distance,Passerine seedeaters,tmean_breeding,0.003226429693323142,Temperature,0.6691466477916262,TRUE,1,Positive,5.4493005216157314e-05,5.4493005216157314e-05,5.4493005216157314e-05,+
Cluster 1,Linaria_cannabina,Linaria cannabina,0.016889568469112024,12,very warm,short-distance,Passerine seedeaters,prec_breeding,0.0034646003757448614,Precipitation,-0.01058223218263437,TRUE,-1,Negative,5.8515605264254086e-5,5.8515605264254086e-5,-5.8515605264254086e-5,-
Cluster 1,Linaria_cannabina,Linaria cannabina,0.016889568469112024,12,very warm,short-distance,Passerine seedeaters,perc_urban,0.006757227888502207,Urban (% coverage),1.424083223101946,TRUE,1,Positive,1.141266630842513e-4,1.141266630842513e-4,1.141266630842513e-4,+
Cluster 1,Cuculus_canorus,Cuculus canorus,0.016274711637647085,13,medium,long-distance,Cuckoos,tmean_breeding,0.003805672449208518,Temperature,0.7389078737818189,TRUE,1,Positive,6.193622169820675e-5,6.193622169820675e-5,6.193622169820675e-5,+
Cluster 1,Cuculus_canorus,Cuculus canorus,0.016274711637647085,13,medium,long-distance,Cuckoos,perc_pasture,0.003669122921570372,Pasture (% coverage),1.402224294824976,TRUE,1,Positive,5.971391751163901e-5,5.971391751163901e-5,5.971391751163901e-5,+
Cluster 1,Columba_palumbus,Columba palumbus,0.016257677119363902,14,medium,sedentary and short-distance,Columbids,prec_breeding,0.0036754551507375698,Precipitation,-0.01326254153036984,TRUE,-1,Negative,5.975436310739439e-5,5.975436310739439e-5,-5.975436310739439e-5,-
Cluster 1,Columba_palumbus,Columba palumbus,0.016257677119363902,14,medium,sedentary and short-distance,Columbids,perc_urban,0.003912225970761158,Urban (% coverage),1.276656023356594,TRUE,1,Positive,6.360370665062492e-5,6.360370665062492e-5,6.360370665062492e-5,+
Cluster 1,Columba_palumbus,Columba palumbus,0.016257677119363902,14,medium,sedentary and short-distance,Columbids,perc_cropland,0.010967892397766583,Cropland (% coverage),0.9532503600504909,TRUE,1,Positive,1.7831245328281506e-4,1.7831245328281506e-4,1.7831245328281506e-4,+
Cluster 1,Columba_palumbus,Columba palumbus,0.016257677119363902,14,medium,sedentary and short-distance,Columbids,perc_forest,0.02715694754730379,Forest (% coverage),3.064222175554897,TRUE,1,Positive,4.4150888477156647e-4,4.4150888477156647e-4,4.4150888477156647e-4,+
Cluster 1,Phylloscopus_trochilus,Phylloscopus trochilus,0.016233843392103056,15,very cold,long-distance,Foliage gleaners,hh,0.004674089407183205,Land-use heterogeneity,0.6316370224549334,TRUE,1,Positive,7.587843543689996e-5,7.587843543689996e-5,7.587843543689996e-5,+
Cluster 1,Phylloscopus_trochilus,Phylloscopus trochilus,0.016233843392103056,15,very cold,long-distance,Foliage gleaners,perc_cropland,0.005734160570908333,Cropland (% coverage),0.5349044610711637,TRUE,1,Positive,9.308746469329814e-5,9.308746469329814e-5,9.308746469329814e-5,+
Cluster 1,Phylloscopus_trochilus,Phylloscopus trochilus,0.016233843392103056,15,very cold,long-distance,Foliage gleaners,perc_forest,0.00745136134530631,Forest (% coverage),1.231781409736407,TRUE,1,Positive,1.2096423313767297e-4,1.2096423313767297e-4,1.2096423313767297e-4,+
Cluster 1,Phylloscopus_trochilus,Phylloscopus trochilus,0.016233843392103056,15,very cold,long-distance,Foliage gleaners,perc_grass_shrub,0.0046312197481418885,Grass/Shrubland (% coverage),1.927195470248955,TRUE,1,Positive,7.518249610575038e-5,7.518249610575038e-5,7.518249610575038e-5,+
Cluster 1,Emberiza_calandra,Emberiza calandra,0.015535272499912564,16,very warm,sedentary,Buntings,tmean_breeding,0.013317435181017839,Temperature,1.817056755158197,TRUE,1,Positive,2.0688998453703453e-4,2.0688998453703453e-4,2.0688998453703453e-4,+
Cluster 1,Emberiza_calandra,Emberiza calandra,0.015535272499912564,16,very warm,sedentary,Buntings,prec_breeding,0.002402259382570922,Precipitation,-0.01098019794732995,TRUE,-1,Negative,3.731975412371098e-5,3.731975412371098e-5,-3.731975412371098e-5,-
Cluster 1,Emberiza_calandra,Emberiza calandra,0.015535272499912564,16,very warm,sedentary,Buntings,perc_urban,0.002942171192525074,Urban (% coverage),1.142793081885631,TRUE,1,Positive,4.570743121726973e-5,4.570743121726973e-5,4.570743121726973e-5,+
Cluster 1,Emberiza_calandra,Emberiza calandra,0.015535272499912564,16,very warm,sedentary,Buntings,perc_cropland,0.02605264399510118,Cropland (% coverage),1.509677512668576,TRUE,1,Positive,4.0473492380710754e-4,4.0473492380710754e-4,4.0473492380710754e-4,+
Cluster 1,Emberiza_calandra,Emberiza calandra,0.015535272499912564,16,very warm,sedentary,Buntings,perc_forest,0.0040384006040329315,Forest (% coverage),1.175649909657311,TRUE,1,Positive,6.273765384746309e-5,6.273765384746309e-5,6.273765384746309e-5,+
Cluster 1,Emberiza_calandra,Emberiza calandra,0.015535272499912564,16,very warm,sedentary,Buntings,perc_grass_shrub,0.001132873108831911,Grass/Shrubland (% coverage),1.179067103049961,TRUE,1,Positive,1.7599492453526842e-5,1.7599492453526842e-5,1.7599492453526842e-5,+
Cluster 1,Motacilla_alba,Motacilla alba,0.015493655453591337,17,medium,short-distance,Open-land insectivores,prec_breeding,0.0033384450202511465,Precipitation,-0.00990808080325738,TRUE,-1,Negative,5.172471689452902e-5,5.172471689452902e-5,-5.172471689452902e-5,-
Cluster 1,Motacilla_alba,Motacilla alba,0.015493655453591337,17,medium,short-distance,Open-land insectivores,perc_forest,0.005016781900290892,Forest (% coverage),0.972360329198838,TRUE,1,Positive,7.772829024892029e-5,7.772829024892029e-5,7.772829024892029e-5,+
Cluster 1,Anas_platyrhynchos,Anas platyrhynchos,0.015472933187999433,18,cold,sedentary and short-distance,Dabbling ducks,prec_breeding,0.0163614548411677,Precipitation,-0.02269891252602023,TRUE,-1,Negative,2.531596976158577e-4,2.531596976158577e-4,-2.531596976158577e-4,-
Cluster 1,Anas_platyrhynchos,Anas platyrhynchos,0.015472933187999433,18,cold,sedentary and short-distance,Dabbling ducks,perc_urban,0.008556862993286873,Urban (% coverage),1.414065974133069,TRUE,1,Positive,1.3239976939399264e-4,1.3239976939399264e-4,1.3239976939399264e-4,+
Cluster 1,Anas_platyrhynchos,Anas platyrhynchos,0.015472933187999433,18,cold,sedentary and short-distance,Dabbling ducks,perc_pasture,0.002819002469771149,Pasture (% coverage),1.050205381966878,TRUE,1,Positive,4.3618236871574386e-5,4.3618236871574386e-5,4.3618236871574386e-5,+
Cluster 1,Anas_platyrhynchos,Anas platyrhynchos,0.015472933187999433,18,cold,sedentary and short-distance,Dabbling ducks,perc_forest,0.003205389723322879,Forest (% coverage),0.7106961014308879,TRUE,1,Positive,4.959678103047489e-5,4.959678103047489e-5,4.959678103047489e-5,+
Cluster 1,Anas_platyrhynchos,Anas platyrhynchos,0.015472933187999433,18,cold,sedentary and short-distance,Dabbling ducks,perc_grass_shrub,0.0042704296438904185,Grass/Shrubland (% coverage),1.775486791184554,TRUE,1,Positive,6.607607256396865e-5,6.607607256396865e-5,6.607607256396865e-5,+
Cluster 1,Turdus_philomelos,Turdus philomelos,0.015172533982096498,19,cold,short-distance,Thrushes,perc_urban,0.009012918598321516,Urban (% coverage),1.926798982811984,TRUE,1,Positive,1.3674881371090273e-4,1.3674881371090273e-4,1.3674881371090273e-4,+
Cluster 1,Turdus_philomelos,Turdus philomelos,0.015172533982096498,19,cold,short-distance,Thrushes,perc_cropland,0.010253806434400542,Cropland (% coverage),0.8928457415027307,TRUE,1,Positive,1.5557622657178194e-4,1.5557622657178194e-4,1.5557622657178194e-4,+
Cluster 1,Turdus_philomelos,Turdus philomelos,0.015172533982096498,19,cold,short-distance,Thrushes,perc_forest,0.02767951370692634,Forest (% coverage),3.003690625463148,TRUE,1,Positive,4.199683623262457e-4,4.199683623262457e-4,4.199683623262457e-4,+
Cluster 1,Anthus_pratensis,Anthus pratensis,0.015167645305753617,20,very cold,short-distance,Open-land insectivores,tmean_breeding,0.036534877114990795,Temperature,1.741293585779353,TRUE,1,Positive,5.541480573694753e-4,5.541480573694753e-4,5.541480573694753e-4,+
Cluster 1,Anthus_pratensis,Anthus pratensis,0.015167645305753617,20,very cold,short-distance,Open-land insectivores,prec_breeding,0.01258178582780323,Precipitation,-0.01560172979192769,TRUE,-1,Negative,1.9083606474907706e-4,1.9083606474907706e-4,-1.9083606474907706e-4,-
Cluster 1,Anthus_pratensis,Anthus pratensis,0.015167645305753617,20,very cold,short-distance,Open-land insectivores,perc_urban,0.004680382934936918,Urban (% coverage),-0.8070812143772199,TRUE,-1,Negative,7.099038825222529e-5,7.099038825222529e-5,-7.099038825222529e-5,-
Cluster 1,Anthus_pratensis,Anthus pratensis,0.015167645305753617,20,very cold,short-distance,Open-land insectivores,perc_cropland,0.010640005287662993,Cropland (% coverage),-0.5230861866519474,TRUE,-1,Negative,1.6138382625461526e-4,1.6138382625461526e-4,-1.6138382625461526e-4,-
Cluster 1,Anthus_pratensis,Anthus pratensis,0.015167645305753617,20,very cold,short-distance,Open-land insectivores,perc_forest,0.004918057195597191,Forest (% coverage),-0.7053123864334014,TRUE,-1,Negative,7.459534713622753e-5,7.459534713622753e-5,-7.459534713622753e-5,-
Cluster 1,Acrocephalus_schoenobaenus,Acrocephalus schoenobaenus,0.01494554512278632,21,cold,long-distance,Marsh warblers,tmean_breeding,0.01244985100657366,Temperature,1.248518687211632,TRUE,1,Positive,1.8606980999071333e-4,1.8606980999071333e-4,1.8606980999071333e-4,+
Cluster 1,Acrocephalus_schoenobaenus,Acrocephalus schoenobaenus,0.01494554512278632,21,cold,long-distance,Marsh warblers,prec_breeding,0.03298491700211976,Precipitation,-0.03260574346934073,TRUE,-1,Negative,4.929775654265425e-4,4.929775654265425e-4,-4.929775654265425e-4,-
Cluster 1,Acrocephalus_schoenobaenus,Acrocephalus schoenobaenus,0.01494554512278632,21,cold,long-distance,Marsh warblers,hh,0.005794067992638958,Land-use heterogeneity,0.6781017720556609,TRUE,1,Positive,8.659550462847751e-5,8.659550462847751e-5,8.659550462847751e-5,+
Cluster 1,Fulica_atra,Fulica atra,0.014864420230755996,22,warm,sedentary and short-distance,Rails,prec_breeding,0.02028816524403223,Precipitation,-0.03162785163659206,TRUE,-1,Negative,3.015718138983133e-4,3.015718138983133e-4,-3.015718138983133e-4,-
Cluster 1,Fulica_atra,Fulica atra,0.014864420230755996,22,warm,sedentary and short-distance,Rails,hh,0.0033224123981782784,Land-use heterogeneity,0.62635406545492045,TRUE,1,Positive,4.9385734066395745e-5,4.9385734066395745e-5,4.9385734066395745e-5,+
Cluster 1,Fulica_atra,Fulica atra,0.014864420230755996,22,warm,sedentary and short-distance,Rails,perc_urban,0.00286213695630483,Urban (% coverage),0.9833950704249325,TRUE,1,Positive,4.25440064764919e-5,4.25440064764919e-5,4.25440064764919e-5,+
Cluster 1,Fulica_atra,Fulica atra,0.014864420230755996,22,warm,sedentary and short-distance,Rails,perc_cropland,0.010955986842999447,Cropland (% coverage),0.8801034117042126,TRUE,1,Positive,1.628543924769775e-4,1.628543924769775e-4,1.628543924769775e-4,+
Cluster 1,Fulica_atra,Fulica atra,0.014864420230755996,22,warm,sedentary and short-distance,Rails,perc_pasture,0.0021965028077115985,Pasture (% coverage),1.196904095742525,TRUE,1,Positive,3.264974077186063e-5,3.264974077186063e-5,3.264974077186063e-5,+
Cluster 1,Fulica_atra,Fulica atra,0.014864420230755996,22,warm,sedentary and short-distance,Rails,perc_forest,0.004993666683550646,Forest (% coverage),1.164817843714164,TRUE,1,Positive,7.422796007662242e-5,7.422796007662242e-5,7.422796007662242e-5,+
Cluster 1,Fulica_atra,Fulica atra,0.014864420230755996,22,warm,sedentary and short-distance,Rails,perc_grass_shrub,0.001857195259468949,Grass/Shrubland (% coverage),1.385851804862365,TRUE,1,Positive,2.7606130787314375e-5,2.7606130787314375e-5,2.7606130787314375e-5,+
Cluster 1,Hippolais_icterina,Hippolais icterina,0.014793710245422483,23,cold,long-distance,Foliage gleaners,tmean_breeding,0.0021834943204706646,Temperature,0.6352963917991814,TRUE,1,Positive,3.230198229956867e-5,3.230198229956867e-5,3.230198229956867e-5,+
Cluster 1,Hippolais_icterina,Hippolais icterina,0.014793710245422483,23,cold,long-distance,Foliage gleaners,perc_urban,0.0022373152528715567,Urban (% coverage),0.9109508849732617,TRUE,1,Positive,3.309819357864594e-5,3.309819357864594e-5,3.309819357864594e-5,+
Cluster 1,Hippolais_icterina,Hippolais icterina,0.014793710245422483,23,cold,long-distance,Foliage gleaners,perc_cropland,0.006975858785859534,Cropland (% coverage),0.7465203092666638,TRUE,1,Positive,1.0319883359099064e-4,1.0319883359099064e-4,1.0319883359099064e-4,+
Cluster 1,Curruca_curruca,Curruca curruca,0.014662416404398878,24,cold,long-distance,Foliage gleaners,perc_urban,0.009796141178557692,Urban (% coverage),1.775323982391906,TRUE,1,Positive,1.4363510111629167e-4,1.4363510111629167e-4,1.4363510111629167e-4,+
Cluster 1,Curruca_curruca,Curruca curruca,0.014662416404398878,24,cold,long-distance,Foliage gleaners,perc_forest,0.003263445999124612,Forest (% coverage),0.8513894981535292,TRUE,1,Positive,4.78500041524346e-5,4.78500041524346e-5,4.78500041524346e-5,+
Cluster 1,Pica_pica,Pica pica,0.01447536453172766,25,medium,sedentary,Omnivorous corvids,hh,0.0032062030904072896,Land-use heterogeneity,-0.6689727008435673,TRUE,-1,Negative,4.641095849639729e-5,4.641095849639729e-5,-4.641095849639729e-5,-
Cluster 1,Pica_pica,Pica pica,0.01447536453172766,25,medium,sedentary,Omnivorous corvids,perc_urban,0.026932655879116033,Urban (% coverage),3.509802873160265,TRUE,1,Positive,3.8986001165778266e-4,3.8986001165778266e-4,3.8986001165778266e-4,+
Cluster 1,Pica_pica,Pica pica,0.01447536453172766,25,medium,sedentary,Omnivorous corvids,perc_cropland,0.008397973591330399,Cropland (% coverage),0.8187438955443388,TRUE,1,Positive,1.2156372906232962e-4,1.2156372906232962e-4,1.2156372906232962e-4,+
Cluster 1,Pica_pica,Pica pica,0.01447536453172766,25,medium,sedentary,Omnivorous corvids,perc_pasture,0.0035741687870850833,Pasture (% coverage),1.74403641696108,TRUE,1,Positive,5.173739609097948e-5,5.173739609097948e-5,5.173739609097948e-5,+
Cluster 1,Pica_pica,Pica pica,0.01447536453172766,25,medium,sedentary,Omnivorous corvids,perc_forest,0.006506464122732544,Forest (% coverage),1.470940422318906,TRUE,1,Positive,9.418343998916118e-5,9.418343998916118e-5,9.418343998916118e-5,+
Cluster 1,Passer_montanus,Passer montanus,0.014442025828842074,26,very warm,sedentary,Passerine seedeaters,prec_breeding,0.0038553122872457507,Precipitation,-0.01350898669332351,TRUE,-1,Negative,5.567851963065534e-5,5.567851963065534e-5,-5.567851963065534e-5,-
Cluster 1,Passer_montanus,Passer montanus,0.014442025828842074,26,very warm,sedentary,Passerine seedeaters,perc_urban,0.008796939128244599,Urban (% coverage),1.872938386997573,TRUE,1,Positive,1.2704562210485998e-4,1.2704562210485998e-4,1.2704562210485998e-4,+
Cluster 1,Passer_montanus,Passer montanus,0.014442025828842074,26,very warm,sedentary,Passerine seedeaters,perc_cropland,0.01512770827972984,Cropland (% coverage),1.075875681703105,TRUE,1,Positive,2.1847475370704645e-4,2.1847475370704645e-4,2.1847475370704645e-4,+
Cluster 1,Passer_montanus,Passer montanus,0.014442025828842074,26,very warm,sedentary,Passerine seedeaters,perc_forest,0.00473828747845497,Forest (% coverage),1.190774483938487,TRUE,1,Positive,6.843047014832566e-5,6.843047014832566e-5,6.843047014832566e-5,+
Cluster 1,Sylvia_borin,Sylvia borin,0.014312966937011699,27,cold,long-distance,Foliage gleaners,prec_breeding,0.005199431071445686,Precipitation,-0.01239478288849911,TRUE,-1,Negative,7.441928501687342e-5,7.441928501687342e-5,-7.441928501687342e-5,-
Cluster 1,Sylvia_borin,Sylvia borin,0.014312966937011699,27,cold,long-distance,Foliage gleaners,perc_urban,0.004263398054654765,Urban (% coverage),0.9972582556089206,TRUE,1,Positive,6.1021875395593644e-5,6.1021875395593644e-5,6.1021875395593644e-5,+
Cluster 1,Sylvia_borin,Sylvia borin,0.014312966937011699,27,cold,long-distance,Foliage gleaners,perc_cropland,0.015838398906769083,Cropland (% coverage),0.8734926178237397,TRUE,1,Positive,2.2669447988778814e-4,2.2669447988778814e-4,2.2669447988778814e-4,+
Cluster 1,Sylvia_borin,Sylvia borin,0.014312966937011699,27,cold,long-distance,Foliage gleaners,perc_pasture,0.002638071332552637,Pasture (% coverage),-0.9558492422248729,TRUE,-1,Negative,3.775862776030429e-5,3.775862776030429e-5,-3.775862776030429e-5,-
Cluster 1,Sylvia_borin,Sylvia borin,0.014312966937011699,27,cold,long-distance,Foliage gleaners,perc_forest,0.004837536804723988,Forest (% coverage),0.933691799488402,TRUE,1,Positive,6.923950434259166e-5,6.923950434259166e-5,6.923950434259166e-5,+
Cluster 1,Tringa_totanus,Tringa totanus,0.014260480670881613,28,cold,short-distance,Scolopacids,tmean_breeding,0.06426743661115486,Temperature,2.634270196519683,TRUE,1,Positive,9.164845375604832e-4,9.164845375604832e-4,9.164845375604832e-4,+
Cluster 1,Tringa_totanus,Tringa totanus,0.014260480670881613,28,cold,short-distance,Scolopacids,prec_breeding,0.048555210373984886,Precipitation,-0.0357158851739873,TRUE,-1,Negative,6.924206390088018e-4,6.924206390088018e-4,-6.924206390088018e-4,-
Cluster 1,Tringa_totanus,Tringa totanus,0.014260480670881613,28,cold,short-distance,Scolopacids,hh,0.02848671566989618,Land-use heterogeneity,1.454605643298853,TRUE,1,Positive,4.062342581874548e-4,4.062342581874548e-4,4.062342581874548e-4,+
Cluster 1,Tringa_totanus,Tringa totanus,0.014260480670881613,28,cold,short-distance,Scolopacids,perc_urban,0.015780024220369174,Urban (% coverage),-1.761514212078621,TRUE,-1,Negative,2.250307303806183e-4,2.250307303806183e-4,-2.250307303806183e-4,-
Cluster 1,Tringa_totanus,Tringa totanus,0.014260480670881613,28,cold,short-distance,Scolopacids,perc_cropland,0.019231225767261023,Cropland (% coverage),-0.8116721838979988,TRUE,-1,Negative,2.742465233313862e-4,2.742465233313862e-4,-2.742465233313862e-4,-
Cluster 1,Tringa_totanus,Tringa totanus,0.014260480670881613,28,cold,short-distance,Scolopacids,perc_pasture,0.003619575138325323,Pasture (% coverage),1.063607181821004,TRUE,1,Positive,5.161688129689191e-5,5.161688129689191e-5,5.161688129689191e-5,+
