response,trait,trait_group,period_or_comparison,model_set,predictor_set,n_rows,bandwidth_value,aicc,rss,local_r2_mean,local_r2_median,local_r2_min,local_r2_max,local_cn_mean,local_cn_max,local_cn_over_30,status
group_probability,Migratory strategy,long-distance,1970s,period,full_period,1776,100000,-8692.549077575122,0.7115874968039548,0.4688502068932272,0.4269878349514992,0.2879519388829595,0.7775930421697685,7.13812255478484,30.045599628205167,5.630630630630631e-4,ok
group_probability,Migratory strategy,long-distance,1990s,period,full_period,1850,100000,-10474.362633645409,0.3453544261785616,0.41350669780574184,0.4156527244586361,0.20178906190433232,0.8131779086941935,5.7616856146537145,30.076958257090944,0.002702702702702703,ok
group_probability,Migratory strategy,long-distance,2010s,period,full_period,1904,100000,-11958.797860185052,0.19190417317820013,0.6195576763087074,0.6571937633982883,0.3303175195175854,0.7668294120012937,6.500891822585518,31.16218270994191,0.014180672268907563,ok
group_probability,Migratory strategy,sedentary,1970s,period,full_period,1776,100000,-6893.015193478473,1.9600974021471704,0.4876271682516825,0.4799213790208072,0.36106297443945645,0.6789313980663628,7.13812255478484,30.045599628205167,5.630630630630631e-4,ok
group_probability,Migratory strategy,sedentary,1990s,period,full_period,1850,100000,-8278.707045431294,1.1316274201548762,0.5816104568989332,0.5751544085533181,0.4086141580077133,0.7420429304692645,5.7616856146537145,30.076958257090944,0.002702702702702703,ok
group_probability,Migratory strategy,sedentary,2010s,period,full_period,1904,100000,-8777.64982957749,1.0202134752952365,0.6022731897536153,0.571086751620175,0.44341994213616137,0.7912078966303737,6.500891822585518,31.16218270994191,0.014180672268907563,ok
group_probability,Migratory strategy,sedentary and short-distance,1970s,period,full_period,1776,100000,-10357.065634035658,0.27873753221599473,0.3150211560480961,0.2821941335295186,0.16113970885463477,0.6746654069228467,7.13812255478484,30.045599628205167,5.630630630630631e-4,ok
group_probability,Migratory strategy,sedentary and short-distance,1990s,period,full_period,1850,100000,-11275.615928892334,0.22395862447557152,0.3896550544065685,0.3630067615593153,0.22964082285497817,0.6083707921523458,5.7616856146537145,30.076958257090944,0.002702702702702703,ok
group_probability,Migratory strategy,sedentary and short-distance,2010s,period,full_period,1904,100000,-11618.730235156592,0.22943117542863717,0.6368486498811741,0.6506021873055825,0.39752153239491583,0.8538811394862436,6.500891822585518,31.16218270994191,0.014180672268907563,ok
group_probability,Migratory strategy,short-and long-distance,1970s,period,full_period,1776,100000,-13983.660858273404,0.03617140099556755,0.5262557482818998,0.51988771779971,0.27514923826969273,0.8759279529968437,7.13812255478484,30.045599628205167,5.630630630630631e-4,ok
group_probability,Migratory strategy,short-and long-distance,1990s,period,full_period,1850,100000,-14556.889069967614,0.03800813308176382,0.541820126988316,0.5372073941020712,0.3324816530284371,0.7466204362666015,5.7616856146537145,30.076958257090944,0.002702702702702703,ok
group_probability,Migratory strategy,short-and long-distance,2010s,period,full_period,1904,100000,-14786.651624087684,0.04345729954922647,0.44096806557014845,0.4475362898520816,0.2592973261316873,0.6401213344150515,6.500891822585518,31.16218270994191,0.014180672268907563,ok
group_probability,Migratory strategy,short-distance,1970s,period,full_period,1776,100000,-9616.958004196711,0.42284169409103844,0.6992522451903824,0.7002789350659817,0.5387583450425455,0.9274120363751779,7.13812255478484,30.045599628205167,5.630630630630631e-4,ok
group_probability,Migratory strategy,short-distance,1990s,period,full_period,1850,100000,-9990.467008897169,0.4486021498911297,0.6294569078478615,0.6452863360529012,0.29967631582496684,0.858342687389499,5.7616856146537145,30.076958257090944,0.002702702702702703,ok
group_probability,Migratory strategy,short-distance,2010s,period,full_period,1904,100000,-12182.338285985406,0.1706458683122295,0.7870908957254878,0.7988388513332234,0.5346168296802886,0.9285085534018437,6.500891822585518,31.16218270994191,0.014180672268907563,ok
