survey,beta_turnover,site,X,Y,tmean_breeding,prec_breeding,hh,perc_urban,perc_cropland,perc_pasture,perc_forest,perc_grass_shrub,local_i,local_p,local_cluster,global_moran_i,global_moran_p,atlas,period
BF95_1,0.21604209243271083,BF95,497500.0442688116,6177499.79959253,8.37533879030744,150.472243812168,0.662951918499143,0.0879471068966174,0.490039660590827,0.0239304801355841,0.267477156990152,0.13060559538682,-0.005563003450131937,9.051838671451008e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF97_1,0.2177036856915411,BF97,497500.0556179109,6187499.799593099,8.39545210706074,149.47495604784,0.446692556009097,0,0.715429774116378,0,0.159829594323256,0.124740631560366,-0.004713308231201432,1.5752762300089508e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF98_1,0.3256780131842137,BF98,497500.0426321929,6192499.743392498,8.3834503954004,148.783500486068,0,0,1,0,0,0,0.07402390400092305,4.88935449302748e-5,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF99_1,0.25380961924180895,BF99,497500.03818358126,6197499.723877846,8.41975989413747,146.447991243837,0.158829675919156,0.0487093353699401,0.9153187726368,0,0.0310680077710214,0.0049038842222389,0.02117472846561722,1.1894068801432163e-4,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BG27_1,0.22091455093082682,BG27,462500.03912906913,6137499.887313023,8.57891360641167,129.94844871632301,0.618072609442392,0,0,0.202764327421751,0.108197031511817,0.137067783531551,-0.0033251212099676673,1.1975495152787739e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BG28_1,0.22277828725431298,BG28,462500.0656512389,6142499.951349777,8.58384108158232,128.026592610357,0.638111050725558,0,0,0.496231718419583,0.083814311829764,0.0800798173682731,-9.736691964509188e-4,1.3424808593135735e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BG29_1,0.2644799825358855,BG29,462500.0848712415,6147499.9416772155,8.58691543859214,128.58544110223,0.547493798735573,0.284634921798203,0,0.0431437451968786,0,0.0680742701546036,0.051743267000569956,3.6632954418972044e-6,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BG30_1,0.3553787813189724,BG30,467499.9967437505,6102499.680064469,8.68181272561106,127.145895776301,0.617091240390806,0,0,0.0548399926316193,0,0.165307590228836,0.1978665069069894,5.444679098664007e-6,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BG31_1,0.29874193235570357,BG31,467499.9036355267,6107499.750328558,8.66658353194058,127.757253516907,0.664234005835862,0,0,0.33183928939341,0.0130489254493717,0.239867165375237,0.1057289075438892,1.272969414597539e-5,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BG32_1,0.3344873850468655,BG32,467499.9121467563,6112499.746075479,8.66371305401917,127.969793788265,0.648167857075446,0,0,0.298847186719491,0,0.238627887815389,0.1477729635563109,1.709876175888818e-5,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BG33_1,0.6520046553728617,BG33,467499.8958406751,6117499.779495673,8.65632708049784,127.999544875039,0.381462845974752,0,0,0.0636161806995282,0,0.0179196893456902,0.4712398471961826,7.498826153083233e-5,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BG39_1,0.19244074658773364,BG39,467500.05551854515,6147499.874007825,8.54215734041099,134.428895306606,0.552273934902562,0.64428650922659,0.114835518687962,0.0866134718705981,0,0,-0.03987842496622983,1.3326181565203048e-6,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BC30_1,0.1832558091279709,BC30,467500.03225555073,6302499.688678854,8.34355824971507,136.25171559602,0.250445664164378,0.121879289794346,0.85688315468945,0,0,0.0212375555162041,-0.06300193613096598,9.32783093616925e-6,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BG41_1,0.23009151775575784,BG41,472499.9268347365,6107499.810952676,8.66533212838893,130.086900652199,0.593189791093656,0,0,0.23872475155282,0.0600150769209653,0.0672865710057815,0.008018285615381576,8.560898709720054e-5,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BG42_1,0.25827028913650046,BG42,472499.93091908237,6112499.750577684,8.66621054342695,129.196774203858,0.560182332232623,0,0,0.233127197034256,0,0.182321460862175,0.03834481537308559,2.5579403271282664e-4,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BG43_1,0.3852183774452261,BG43,472499.9588106177,6117499.838705269,8.67334229249836,129.04924173737,0.515576988221081,0,0,0.118875228324587,0,0.160456407860335,0.15400759255796748,7.615864698535664e-4,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BG45_1,0.4881289626760866,BG45,472500.0200716098,6127499.904365897,8.66051817152373,130.816021365795,0.557158091550035,0,0,0.194837338629181,0,0.0243546673286476,0.270558481248517,8.089226678473368e-5,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BG49_1,0.2175324882094658,BG49,472500.049228468,6147499.927300755,8.57788476268386,134.453849154296,0.697184045211373,0.19403742223912,0.483832244237634,0.133079078902714,0.0736380106778245,0.0829958162895573,-0.006840110965287537,7.4720667022790505e-6,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BG50_1,0.21826833916118632,BG50,477499.9973141816,6102499.728152928,8.69371824662969,135.232764911761,0.495257237699908,0,0.548696828952674,0,0,0,-0.005679835172411958,6.206392033743415e-4,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
AD93_1,0.30916514404800427,AD93,447499.9924736935,6267499.595406948,8.38690245283115,137.581365380505,0.684781123399938,0.024354667090847,0.46262620628773,0.0928095473411112,0,0.024354667090847,0.119392215340994,3.905304730363413e-6,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BC31_1,0.19541893512784028,BC31,467500.0700814336,6307499.683991895,8.34858359141039,135.479707249559,0.540072795191187,0.0391467763495599,0.648477699454678,0.156855622600465,0.0911844471039307,0.0643354544913657,-0.04628172735264143,5.705825715969192e-6,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BG54_1,0.3000124913494503,BG54,477500.0126907495,6122499.818980278,8.6861287890745,133.902976772602,0.545912884731127,0,0.118967615688724,0.103731040586342,0,0.109596006042686,0.053177361295299964,0.009193930460411242,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
