atlas,period,PC1,PC2,n_species,delta_PC1_from_1970s,delta_PC2_from_1970s,distance_from_1970s
1,1970s,-3.3766337213917976e-17,-4.543428619883204e-17,157,0,0,0
2,1990s,0.0018321187998857178,-0.028663759919805822,157,0.0018321187998857516,-0.028663759919805777,0.028722252558550466
3,2010s,0.004916263298180873,-0.022304778535256756,157,0.004916263298180907,-0.02230477853525671,0.02284015740584747
