response,response_label,period,n_cells,local_cn_mean,local_cn_median,local_cn_q95,local_cn_max,n_cn_gt_30,percent_cn_gt_30
beta_turnover,All-site beta turnover,1970s,1776,7.13812255478484,6.700920753898194,11.114287677164228,30.045599628205167,1,0.05630630630630631
beta_turnover,All-site beta turnover,1990s,1850,5.7616856146537145,5.064777404002841,8.264707161233074,30.076958257090944,5,0.2702702702702703
beta_turnover,All-site beta turnover,2010s,1904,6.500891822585518,5.541559612281928,9.867287059162132,31.16218270994191,27,1.4180672268907564
predicted_richness,Predicted richness,1970s,1776,7.13812255478484,6.700920753898194,11.114287677164228,30.045599628205167,1,0.05630630630630631
predicted_richness,Predicted richness,1990s,1850,5.7616856146537145,5.064777404002841,8.264707161233074,30.076958257090944,5,0.2702702702702703
predicted_richness,Predicted richness,2010s,1904,6.500891822585518,5.541559612281928,9.867287059162132,31.16218270994191,27,1.4180672268907564
