atlas,period,bandwidth,bandwidth_value,max_vif,p95_vif,median_vif,max_local_cn,p95_local_cn,prop_any_vif_gt_5,prop_any_vif_gt_10,prop_cn_gt_30
1,1970s,fixed_50km,50000,446.5072743628444,8.446829501553202,2.159615414815933,139.45906488783672,29.547523411303878,0.6131756756756757,0.16441441441441443,0.04617117117117117
1,1970s,fixed_100km,100000,8.081314161516291,5.0188146645517,1.7679553934245695,30.045599628205167,11.114287677164228,0.3338963963963964,0,5.630630630630631e-4
1,1970s,fixed_200km,200000,4.844201947404394,4.240943768537648,1.6462870401525616,27.436851204094843,6.326401760803619,0,0,0
1,1970s,fixed_300km,300000,4.227360272742911,4.040215504808535,1.611750335289063,6.546921377139719,4.424071818524968,0,0,0
1,1970s,fixed_400km,400000,4.018023995934318,3.921580327488897,1.5959172473573966,5.604758871772774,4.215571007486071,0,0,0
1,1970s,fixed_500km,500000,3.9260687582169185,3.838731178795829,1.5871174925207854,4.1480093386608035,4.133139856446153,0,0,0
2,1990s,fixed_50km,50000,365.43665849098477,6.751487614232395,2.0670014311502296,153.2270145902507,30.106893822633268,0.43945945945945947,0.11189189189189189,0.05189189189189189
2,1990s,fixed_100km,100000,6.734617201663583,4.134183473331253,1.708500567688604,30.076958257090944,8.264707161233074,0.13243243243243244,0,0.002702702702702703
2,1990s,fixed_200km,200000,5.067748296153165,3.502291595855136,1.4980387933482293,25.365382960982593,4.263769673100414,0.0016216216216216215,0,0
2,1990s,fixed_300km,300000,3.4375235721679136,3.286827159307963,1.4471629992678126,6.680810183063104,3.7788495965196436,0,0,0
2,1990s,fixed_400km,400000,3.3018219157650326,3.1783729337887476,1.42337181571509,4.109423271843019,3.612034043289955,0,0,0
2,1990s,fixed_500km,500000,3.212949116427838,3.13328811869384,1.4127130448171816,3.553327774416785,3.5365928402453735,0,0,0
3,2010s,fixed_50km,50000,320.64135992045607,7.413599665648395,2.0327517802012154,145.90079653574168,32.391307058765584,0.4889705882352941,0.10661764705882353,0.0661764705882353
3,2010s,fixed_100km,100000,6.384338358883363,4.281013767828159,1.7244747481276255,31.16218270994191,9.867287059162132,0.12710084033613445,0,0.014180672268907563
3,2010s,fixed_200km,200000,5.268070836135822,3.5063134748138376,1.5309512274202866,28.311797499368367,6.3620950693138685,0.003676470588235294,0,0
3,2010s,fixed_300km,300000,3.773298380037302,3.3576068556938914,1.4931361969608954,9.94447473587974,3.7606064822734093,0,0,0
3,2010s,fixed_400km,400000,3.356094948999272,3.2679060341613533,1.470645602892425,6.883891373890001,3.5827622650357034,0,0,0
3,2010s,fixed_500km,500000,3.2902591806014905,3.228459370045294,1.4563102876648508,3.745832494192155,3.526685061763239,0,0,0
