atlas,period,distance_km,beta_moran_i,beta_expected_i,beta_p_value
1,1970s,100,0.023875233000219844,-5.633802816901409e-4,5.842195113107942e-66
2,1990s,100,0.03395868999019808,-5.408328826392645e-4,2.780722371716246e-140
3,2010s,100,0.02271988190436141,-5.254860746190226e-4,2.414908684050483e-69
