response,atlas,period,distance_km,moran_i,expected_i,p_value
Predicted richness,1,1970s,100,0.06343050856322906,-5.633802816901409e-4,0
Predicted richness,2,1990s,100,0.04473625550928367,-5.408328826392645e-4,8.084712317106615e-238
Predicted richness,3,2010s,100,0.02878599417520276,-5.254860746190226e-4,3.412737903641636e-107
Local beta turnover,1,1970s,100,0.023875233000219844,-5.633802816901409e-4,5.842195113107942e-66
Local beta turnover,2,1990s,100,0.03395868999019808,-5.408328826392645e-4,2.780722371716246e-140
Local beta turnover,3,2010s,100,0.02271988190436141,-5.254860746190226e-4,2.414908684050483e-69
