variable,PC1,PC2,variable_label,loading_strength
prec_breeding,0.17775366394640368,0.698019176912913,Precipitation,0.7202965614138052
tmean_breeding,-0.27811200618798904,0.644978516341877,Temperature,0.7023842072032065
perc_cropland,0.5878381533468345,0.08783422071768164,Cropland (% coverage),0.594363983480913
perc_forest,0.5491750963679957,0.16004181446371246,Forest (% coverage),0.5720198150830395
perc_urban,0.4063738014031967,-0.23402530145198877,Urban (% coverage),0.46894296901284166
hh,-0.25234481375882273,-0.003722092711076097,Land-use heterogeneity,0.2523722627491476
perc_grass_shrub,0.11372478679303406,0.05750026315784852,Grass/Shrubland (% coverage),0.1274347181671576
perc_pasture,0.046470069267499976,0.07318287679686383,Pasture (% coverage),0.0866902577801635
