survey,richness,site,X,Y,tmean_breeding,prec_breeding,hh,perc_urban,perc_cropland,perc_pasture,perc_forest,perc_grass_shrub,local_i,local_p,local_cluster,global_moran_i,global_moran_p,atlas,period
DB24_1,51.382965807696465,DB24,562499.6441820732,6372499.746949654,8.32827241826743,119.621226198067,0.324990386208849,0.184260842141569,0.80058601819827,0.00603149878149053,0.0091216408786708,0,0.053747783372558276,3.929064955508689e-7,Low-low,0.06343050856322906,0,1,1970s
DB25_1,49.59620021432729,DB25,562499.6611575983,6377499.739594084,8.28720809155285,118.742769346228,0.27595472663145,0.118763081017121,0.84164922531038,0,0.0395876936724988,0,0.09773134442328826,3.916109736495201e-7,Low-low,0.06343050856322906,0,1,1970s
DB26_1,47.38891450278554,DB26,562499.6900292314,6382499.770230629,8.43371555015878,112.823529367313,0.742081599861568,0.0547408333519209,0.291347912348479,0.111250805238404,0.350897159431752,0,0.14911400488245882,9.656030329701514e-7,Low-low,0.06343050856322906,0,1,1970s
DB31_1,33.18389681031626,DB31,567499.6497347835,6357499.773935058,8.21465138148638,124.441296594044,0.392149450952612,0.0200741984473685,0.764043397622899,0,0.121773338273127,0.0941090656566056,0.4474899082643589,8.138092079053805e-8,Low-low,0.06343050856322906,0,1,1970s
DB32_1,43.21675566129915,DB32,567499.649767541,6362499.788996397,8.2995226565043,121.006791996966,0.227090882742906,0.111226729487682,0.871925387134855,0,0.0168478833774628,0,0.228906893865,3.640413332800853e-7,Low-low,0.06343050856322906,0,1,1970s
BD21_1,52.861741200880175,BD21,462500.04652625887,6257499.613366459,8.36335238952656,141.259652939168,0.338739335334111,0,0.123910046025522,0.0705988839020436,0.800466121712524,0.00502494835991016,0.019933144435780398,2.3007628381143763e-18,Low-low,0.06343050856322906,0,1,1970s
DB33_1,50.718519945043454,DB33,567499.6483663965,6367499.730884405,8.3545476229885,119.532711297237,0.301866765050602,0.0845814759538851,0.828497613464905,0,0.0235444942331443,0.0633764163480659,0.06867250738890282,2.9367579887119866e-7,Low-low,0.06343050856322906,0,1,1970s
DB34_1,62.12456772257633,DB34,567499.6427126657,6372499.710880268,8.22950339211411,124.367188791054,0.503431575990147,0.0487093353091472,0.671057245643149,0,0.188140730377178,0.0920926886705255,-0.1906813085448077,8.730649990735725e-7,High-low,0.06343050856322906,0,1,1970s
DB35_1,47.993131454831584,DB35,567499.6318198992,6377499.728951592,8.36706875667248,113.151839602963,0.0118807589097009,0,0.99391133308599,0,0,0.00608866691400947,0.13717864205932292,4.295826538081832e-7,Low-low,0.06343050856322906,0,1,1970s
DB36_1,38.280536068861316,DB36,567499.676348217,6382499.674741831,8.45221645641861,113.945373136004,0.748237773630956,0.0487093353093166,0.362936629077277,0.263410306991677,0.11485727011933,0.0243546676546583,0.3779793454322801,5.416165473734467e-7,Low-low,0.06343050856322906,0,1,1970s
DB40_1,62.48396292954345,DB40,572499.6344654928,6352499.8530826,8.16915032351451,123.155301567544,0.658383370165717,0.0323655280344346,0.451095713240902,0.0466860250577761,0.345654365375363,0.124198368291525,-0.1700835215948865,9.506891663724436e-7,High-low,0.06343050856322906,0,1,1970s
DB41_1,36.04704420547338,DB41,572499.6216895938,6357499.864695008,8.27733388517769,117.776705540057,0.240544935093931,0.099843699915006,0.865247401727971,0.00687336454375045,0,0.0280355338132729,0.3843512167742285,1.7613169377364922e-7,Low-low,0.06343050856322906,0,1,1970s
DB42_1,48.552983875879015,DB42,572499.5906535387,6362499.80320541,8.18405816692163,122.888813286962,0.460316391136923,0,0.679563392149373,0,0.275408136567144,0.0450284712834821,0.11703784203700228,2.3535144139677785e-7,Low-low,0.06343050856322906,0,1,1970s
DB43_1,49.48587246032354,DB43,572499.5984189146,6367499.780956781,8.35099788805443,115.515538964211,0.207822499805906,0,0.8856241542001,0,0.031629747688971,0.0827460981109288,0.09617088668798641,5.721574030580878e-7,Low-low,0.06343050856322906,0,1,1970s
DB44_1,57.60038903008669,DB44,572499.5838254265,6372499.796851205,8.35229748222564,115.509601311661,0.323462147534762,0.124198368283288,0.811829008050408,0,0.0318614528668199,0.0321111707994842,-0.08936758340832496,9.467620693827731e-7,High-low,0.06343050856322906,0,1,1970s
DB45_1,45.510478129134604,DB45,572499.6077339851,6377499.740606079,8.40159978169639,115.083634382768,0.253956214714498,0.121773341850552,0.854850997947474,0.00242502644009758,0,0.020950633761877,0.19739128829490107,6.040248780414404e-7,Low-low,0.06343050856322906,0,1,1970s
BD22_1,41.39131854818906,BD22,462500.04672205047,6262499.682150681,8.31476915010112,137.611592998638,0.523163207561323,0,0.475539849675417,0,0.500105482855181,0.0243546674694014,0.2985942644834494,3.061409904978581e-19,Low-low,0.06343050856322906,0,1,1970s
DB46_1,22.990290602328113,DB46,572499.6071544627,6382499.722435604,8.4199889097286,117.521309403123,0.741103002367625,0.0243546683687208,0.367271084657154,0.282914921052509,0.18064385952664,0.0837431190170756,0.7457325775732921,8.087858232842527e-7,Low-low,0.06343050856322906,0,1,1970s
DB52_1,37.66672293292675,DB52,577499.5523310879,6362499.807698655,8.20087258153994,121.283888683061,0.162026394128512,0.0487093336274749,0.913323320252847,0,0,0.0379673461196783,0.3655803850174698,3.503584059216265e-7,Low-low,0.06343050856322906,0,1,1970s
DB53_1,42.336857045374906,DB53,577499.5700187528,6367499.831857608,8.1492180963394,124.58292745604,0.534469277934668,0,0.611766000841342,0,0.283308544101669,0.104925455056989,0.27262817504556414,2.1893836467004835e-7,Low-low,0.06343050856322906,0,1,1970s
DB54_1,53.063753390485736,DB54,577499.5493575014,6372499.782863706,8.28386084797935,120.874942686535,0.749925135237468,0.168057641402693,0.202397080826276,0.132646849269273,0.389547947159566,0.107350481342191,0.016168115724852224,2.407261605675214e-7,Low-low,0.06343050856322906,0,1,1970s
DB55_1,57.377371900971006,DB55,577499.5492296974,6377499.66181914,8.39829495790694,117.000101042989,0.680398839283318,0,0.214086509060198,0.267379273421922,0.442736792615579,0.0757974249023002,-0.09300252455336933,2.0995631127125465e-7,High-low,0.06343050856322906,0,1,1970s
DB56_1,52.19925836920393,DB56,577499.5641771164,6382499.691316109,8.42548885507607,118.159121417044,0.714364554495508,0,0.280976234112854,0.384766371474342,0.195082204198134,0.139175190214671,0.038056050652223304,6.939073578452451e-7,Low-low,0.06343050856322906,0,1,1970s
DB57_1,45.7529564803785,DB57,577499.537492288,6387499.64755162,8.41906385066548,119.472867025434,0.677035557435691,0,0,0.215400352731379,0.430660348337752,0,0.2022146435284159,9.993638523910527e-7,Low-low,0.06343050856322906,0,1,1970s
DB60_1,47.153169686454746,DB60,582499.5631405126,6352499.870773819,8.33689381870117,123.801395645677,0.0355519493992693,0.0181037193540863,0.981896280645914,0,0,0,0.13039463056276238,1.774432073899323e-6,Low-low,0.06343050856322906,0,1,1970s
DB62_1,45.063425247139634,DB62,582499.4927491389,6362499.801014301,8.18881349363584,123.220878411343,0.0670784908996616,0,0.965253430455025,0,0,0.0347465695449746,0.20481861371000648,1.9799551585498088e-7,Low-low,0.06343050856322906,0,1,1970s
DB63_1,44.61579727425354,DB63,582499.5234498292,6367499.770816479,8.26044736361438,116.201067225868,0.380493252862508,0.0215472099474648,0.776163185591841,0.0235444952925857,0.0958503600981134,0.0828947490699955,0.22706050645569054,9.791773107442158e-8,Low-low,0.06343050856322906,0,1,1970s
DB64_1,52.172227378828396,DB64,582499.4955886239,6372499.778775646,8.38104591623557,113.324941635997,0.763035794577781,0.047384771182355,0.221622539118894,0.185888702237706,0.307755337635082,0.237348649825963,0.03843858730948595,3.045646856714505e-7,Low-low,0.06343050856322906,0,1,1970s
DB65_1,45.34042922598356,DB65,582499.4702860015,6377499.714756137,8.45224521989521,115.654902991302,0.583005458531842,0.0668659685768223,0,0.284870188814148,0.546619651869102,0.101644190739929,0.21137874479641922,3.577895039768955e-7,Low-low,0.06343050856322906,0,1,1970s
DB66_1,43.33060016125647,DB66,582499.5038627629,6382499.691246823,8.44840654601047,118.883596236635,0.607797101749335,0.0265264435098768,0.0843437747874063,0.312180065639589,0.532465894317843,0.0444838217452851,0.2627148134267586,7.158992847293354e-7,Low-low,0.06343050856322906,0,1,1970s
DB67_1,51.0389300817301,DB67,582499.4776775325,6387499.594470724,8.4111943794314,121.708563493001,0.43462393330737,0.018050868860276,0,0.699344640064491,0.269341951740206,0.00608866718794495,0.07474725540655003,1.5463229255695318e-7,Low-low,0.06343050856322906,0,1,1970s
DB68_1,27.450946779027472,DB68,582499.4481154357,6392499.536917151,8.42923387121705,120.465438355947,0.540767775289231,0,0,0.371870317751896,0.0653971485850729,0,0.7788993811065178,7.025715519362538e-8,Low-low,0.06343050856322906,0,1,1970s
DB70_1,40.848767499048314,DB70,587499.5384229121,6352499.942973814,8.40938558438243,119.834966435541,0.430589691873921,0.167706560297307,0.728339475111022,0,0.103953964591671,0,0.2724850917369835,6.17418389845858e-7,Low-low,0.06343050856322906,0,1,1970s
DB71_1,32.43931361154029,DB71,587499.4899705768,6357499.898755164,8.31247677422288,123.957116572234,0.443607832198571,0.0994375313937015,0.728843552515502,0,0.102408295416033,0.0693106206747641,0.5117949228302664,6.33333506950711e-8,Low-low,0.06343050856322906,0,1,1970s
DB72_1,55.908576498618366,DB72,587499.4900431393,6362499.784009084,8.19468240071135,124.712725892831,0.685701348944308,0.0565751414684938,0.453090836071985,0.0515800254456644,0.272796401003341,0.165957596010516,-0.05540466652355305,3.926728180136661e-8,High-low,0.06343050856322906,0,1,1970s
DB73_1,47.146843135990586,DB73,587499.4724052523,6367499.8200299665,8.24765321311072,118.399875314063,0.647443567421141,0.162027823938864,0.517727198277956,0.0214839749787797,0.230532628399955,0.0682283744044461,0.1708666882740686,5.540546102755267e-8,Low-low,0.06343050856322906,0,1,1970s
DB74_1,48.34054245943441,DB74,587499.4405852477,6372499.784163884,8.46448605508734,113.634014312196,0.713157433673185,0.0275612408881929,0.223242868354874,0.440959291498353,0.0776248208191837,0.170592038237528,0.14033640052972757,1.2331900985383444e-7,Low-low,0.06343050856322906,0,1,1970s
DB75_1,45.459526058581986,DB75,587499.4508390957,6377499.788968703,8.50255983317786,115.032405513343,0.556871884532894,0.0792620376589478,0,0.189995282576221,0.107101192738966,0,0.21244459613392472,3.761668683333233e-7,Low-low,0.06343050856322906,0,1,1970s
DB77_1,42.07148466369424,DB77,587499.4197526195,6387499.582648063,8.46632426041489,119.022194423164,0.429625563328046,0.00167319727593064,0,0.175149121431269,0.0946649218174657,0,0.33712127461501457,9.939828705492103e-8,Low-low,0.06343050856322906,0,1,1970s
DB78_1,50.29357801254047,DB78,587499.3735523641,6392499.482754864,8.43568923703368,120.029981705399,0.669949304253618,0,0,0.456754766532457,0.10547700718813,0.176571334459262,0.11471499129575081,3.02198888777653e-9,Low-low,0.06343050856322906,0,1,1970s
DB79_1,35.950141363291046,DB79,587499.3020525747,6397499.533405255,8.44963450950165,120.964892889882,0.563728293273563,0,0,0.258814518644845,0.153097001892611,0,0.6022453863471686,9.234612008499056e-9,Low-low,0.06343050856322906,0,1,1970s
DB80_1,30.992502559481725,DB80,592499.4685152426,6352499.8696485795,8.46280598242156,117.274316989991,0.699011371314266,0.067864142479647,0.0164888596980553,0.0866417925704851,0.173718147214339,0.113601435081986,0.5049403955324584,2.6874886998643736e-7,Low-low,0.06343050856322906,0,1,1970s
BD26_1,64.70604748676764,BD26,462500.0396707308,6282499.770858137,8.41134597433726,136.237286712056,0.719488971064998,0.0322337320053182,0.198995612546924,0.0974186698777999,0.00322355450138304,0.393956505929734,-0.25339280239178097,3.607449360969729e-15,High-low,0.06343050856322906,0,1,1970s
