response,response_label,period,n_cells,n_no_supported,n_one_supported,n_multi_supported,percent_no_supported,percent_one_supported,percent_multi_supported,supported_count_mean,supported_count_median,top_abs_t_median,margin_median_supported,margin_q25_supported,margin_q75_supported
beta_turnover,All-site beta turnover,1970s,1776,27,146,1603,1.5202702702702702,8.22072072072072,90.259009009009,3.449324324324324,3,5.563997926313757,1.457587908834562,0.7886976138651027,2.225163966101884
beta_turnover,All-site beta turnover,1990s,1850,101,155,1594,5.45945945945946,8.378378378378379,86.16216216216216,3.94,4,4.966876478027093,1.7580791597122776,0.8740749778785446,3.0213875131098717
beta_turnover,All-site beta turnover,2010s,1904,36,60,1808,1.8907563025210083,3.1512605042016806,94.95798319327731,4.6780462184873945,5,6.442968703153825,2.409536752317485,1.388211706495714,4.196198068357003
predicted_richness,Predicted richness,1970s,1776,30,120,1626,1.6891891891891893,6.756756756756757,91.55405405405405,3.4329954954954953,3,4.937910453506034,1.5544605631010162,0.6394892906385966,2.6610433719618474
predicted_richness,Predicted richness,1990s,1850,34,56,1760,1.837837837837838,3.027027027027027,95.13513513513513,3.972972972972973,4,5.078024516051968,0.9447168869700837,0.5014066828786304,1.618792499630542
predicted_richness,Predicted richness,2010s,1904,0,27,1877,0,1.4180672268907564,98.58193277310924,5.497373949579832,5,5.9521794410625954,0.9438751096300555,0.44138349323389703,1.8462158086232014
