atlas,period,distance_km,beta_moran_i,beta_expected_i,beta_p_value
1,1970s,200,0.012682175932510887,-5.633802816901409e-4,8.074031972407227e-167
2,1990s,200,0.00831084757453737,-5.408328826392645e-4,8.581515666621071e-83
3,2010s,200,0.0010205473500557462,-5.254860746190226e-4,2.580365316211948e-4
