atlas,period,distance_km,moran_i,expected_i,p_value
1,1970s,400,-4.480421728107315e-4,-5.633802816901409e-4,0.030745693302475407
2,1990s,400,-2.527680408620595e-4,-5.408328826392645e-4,2.434475354140342e-7
3,2010s,400,-4.4027012205774367e-4,-5.254860746190226e-4,0.06281200135882795
