response_label,period,driver_label,n_cells,n_supported_negative,n_supported_positive,n_not_supported,percent_supported_negative,percent_supported_positive,percent_not_supported,coefficient_q05,coefficient_median,coefficient_q95,local_t_q05,local_t_median,local_t_q95,base_y,negative_count_label,positive_count_label
All-site beta turnover,1990s,Pasture (% coverage),1850,0,316,1534,0,17.08108108108108,82.91891891891892,-0.005186285981705669,0.001115928496259605,0.012825309836034506,-0.9120196629102182,0.41090353664241674,5.163948996878892,3,,+316
All-site beta turnover,1990s,Forest (% coverage),1850,909,0,941,49.13513513513514,0,50.86486486486486,-0.02817140290858327,-0.0064278225278736004,0.002087271826233247,-7.8188495002075324,-1.885255122813839,0.722982625050644,2,-909,
All-site beta turnover,1990s,Grass/Shrubland (% coverage),1850,336,0,1514,18.16216216216216,0,81.83783783783784,-0.010499591297642611,-6.547382091785993e-4,0.003546925934977814,-4.671499411213251,-0.17736956850409225,1.036694782625781,1,-336,
All-site beta turnover,2010s,Temperature,1904,350,346,1208,18.38235294117647,18.172268907563026,63.445378151260506,-0.028945118102090776,3.954133943146377e-4,0.005217166345272224,-8.765333779779516,0.12356080250071863,2.636590367558013,8,-350,+346
All-site beta turnover,2010s,Precipitation,1904,162,689,1053,8.508403361344538,36.186974789915965,55.304621848739494,-0.009100778672455666,0.003457501059610725,0.017276170327514145,-2.3989229240759964,1.209534472461617,6.807990452618326,7,-162,+689
All-site beta turnover,2010s,Land-use heterogeneity,1904,1783,0,121,93.64495798319328,0,6.355042016806722,-0.0167834816339067,-0.009718802894366399,-0.005304642902068294,-6.3969756937500915,-4.560434132620031,-1.4523734844879053,6,"-1,783",
All-site beta turnover,2010s,Urban (% coverage),1904,1087,2,815,57.09033613445378,0.10504201680672269,42.804621848739494,-0.022024537521090723,-0.0054217404456795,0.001246292982865918,-9.473009191823143,-2.461651346809279,0.7209108232512851,5,"-1,087",+2
All-site beta turnover,2010s,Cropland (% coverage),1904,1868,0,36,98.10924369747899,0,1.8907563025210083,-0.04648566609733971,-0.019770883060531992,-0.01178457473354545,-15.844569498250353,-6.4146997969250314,-3.3017628685487423,4,"-1,868",
All-site beta turnover,2010s,Pasture (% coverage),1904,0,1040,864,0,54.621848739495796,45.378151260504204,-0.001268840232854051,0.00496562281281844,0.017544562457632057,-0.6227037483813408,2.0835450975465157,7.864566288280285,3,,"+1,040"
All-site beta turnover,2010s,Forest (% coverage),1904,729,21,1154,38.28781512605042,1.1029411764705883,60.609243697478995,-0.020703403286288308,-0.0021935561534106,0.003293271028323096,-10.926323860869203,-0.8569057732792251,1.6079334090228177,2,-729,+21
All-site beta turnover,2010s,Grass/Shrubland (% coverage),1904,825,5,1074,43.32983193277311,0.26260504201680673,56.40756302521008,-0.009192529921446604,-0.00362068987439921,8.793547446729584e-4,-5.55281980791472,-1.680697133731995,0.5033097619412147,1,-825,+5
