period,bioregion,PC1,PC2,n_sites
1970s,Region 1,-0.2278419652301024,-0.004207423194851867,401
1970s,Region 2,0.07423128279125013,-0.08931522918740796,879
1970s,Region 3,0.05265187597532682,0.16168399830013513,496
1990s,Region 1,-0.19453156032287075,-0.050275928834076444,257
1990s,Region 2,0.08550655586384337,-0.0910466707317907,1238
1990s,Region 3,0.09272800588517316,0.12518959796263546,355
2010s,Region 1,-0.18151544390299196,-0.09776864760206691,155
2010s,Region 2,0.09129881221546601,-0.09597231712308066,1613
2010s,Region 3,0.1311037998370601,0.08663490614588473,136
