response,atlas,period,bandwidth,bandwidth_value,model_id,model_type,predictor,model_label,survey,site,X,Y,observed,fitted,residual,coefficient,local_se,local_t,abs_local_t,local_r2,supported,direction
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,DB23_1,DB23,562499.6400820935,6367499.792328508,34.79154281440887,47.532844370127194,-12.741301555718323,1.7219953514803894,0.8767647990510632,1.9640334025090116,1.9640334025090116,0.24413985862716803,TRUE,Positive
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,DB24_1,DB24,562499.6441820732,6372499.746949654,51.382965807696465,46.71563260217562,4.667333205520848,1.6388470146529839,0.9107849642160982,1.799378644841288,1.799378644841288,0.2555074067360107,FALSE,Not supported
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,DB25_1,DB25,562499.6611575983,6377499.739594084,49.59620021432729,46.08825524363205,3.5079449706952417,1.545733565114051,0.9485849038202363,1.6295152483335098,1.6295152483335098,0.2674274110649096,FALSE,Not supported
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,DB26_1,DB26,562499.6900292314,6382499.770230629,47.38891450278554,48.74643238645492,-1.3575178836693809,1.441567367764696,0.9900303218208698,1.456084057216911,1.456084057216911,0.27998761132672767,FALSE,Not supported
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,DB31_1,DB31,567499.6497347835,6357499.773935058,33.18389681031626,47.95073569624867,-14.766838885932408,1.7764146608935096,0.8312841120903727,2.1369524992201314,2.1369524992201314,0.22745430767455566,TRUE,Positive
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,DB32_1,DB32,567499.649767541,6362499.788996397,43.21675566129915,46.42836259430636,-3.2116069330072037,1.7085292688298948,0.859204053170771,1.9885023383267446,1.9885023383267446,0.23810487668449976,TRUE,Positive
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BD21_1,BD21,462500.04652625887,6257499.613366459,52.861741200880175,46.300096612743744,6.561644588136431,2.97826004191689,0.6515675665478448,4.570915120432404,4.570915120432404,0.2918851817613821,TRUE,Positive
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,DB33_1,DB33,567499.6483663965,6367499.730884405,50.718519945043454,46.71969806958053,3.998821875462923,1.631965663220301,0.890190040791862,1.8332778265735235,1.8332778265735235,0.24907776977297794,FALSE,Not supported
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,DB34_1,DB34,567499.6427126657,6372499.710880268,62.12456772257633,47.808271422296734,14.316296300279596,1.5489088490767733,0.9246311293431602,1.6751640734582316,1.6751640734582316,0.26050433401738976,FALSE,Not supported
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,DB35_1,DB35,567499.6318198992,6377499.728951592,47.993131454831584,44.31763946700876,3.6754919878228236,1.45693857455377,0.9626238435126842,1.513507674230565,1.513507674230565,0.2724670541150294,FALSE,Not supported
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,DB36_1,DB36,567499.676348217,6382499.674741831,38.280536068861316,48.527478231634426,-10.24694216277311,1.3560923092877326,1.0039121662070554,1.3508077249539385,1.3508077249539385,0.28506277768073796,FALSE,Not supported
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,DB40_1,DB40,572499.6344654928,6352499.8530826,62.48396292954345,50.122500978421826,12.361461951121626,1.749017077490203,0.8196503483991134,2.1338575417021013,2.1338575417021013,0.22167569707915652,TRUE,Positive
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,DB41_1,DB41,572499.6216895938,6357499.864695008,36.04704420547338,46.67683413433596,-10.629789928862586,1.6923226950843047,0.8454357624730522,2.0017164759318384,2.0017164759318384,0.23235137349395396,TRUE,Positive
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,DB42_1,DB42,572499.5906535387,6362499.80320541,48.552983875879015,47.993369305018035,0.5596145708609797,1.6233820707008482,0.8738168741600544,1.8578058157337647,1.8578058157337647,0.24308962047428267,FALSE,Not supported
