atlas,period,distance_km,moran_i,expected_i,p_value
1,1970s,200,0.024035337155716638,-5.633802816901409e-4,0
2,1990s,200,0.02091968735756338,-5.408328826392645e-4,0
3,2010s,200,0.018183981774359342,-5.254860746190226e-4,0
