response,site_filter,atlas,period,bandwidth,bandwidth_value,model_id,model_type,predictor,model_label,survey,site,X,Y,observed,fitted,residual,coefficient,local_se,local_t,abs_local_t,local_r2,supported,direction
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AD90_1,AD90,447500.0709493527,6252499.57832838,46.93829583095509,49.312321517644534,-2.3740256866894427,2.830959209798901,0.7485985349561198,3.7816788005934874,3.7816788005934874,0.3023067509910771,TRUE,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AD92_1,AD92,447500.02377636905,6262499.551973275,32.01136812689959,46.44690397029297,-14.435535843393382,2.926079694147184,0.7697296510957204,3.8014381932433943,3.8014381932433943,0.2839642216753469,TRUE,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AD93_1,AD93,447499.9924736935,6267499.595406948,40.9921282640114,50.89022448145555,-9.898096217444149,2.978773552593802,0.7826968805490903,3.805781812371712,3.805781812371712,0.2732256372559872,TRUE,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AD94_1,AD94,447499.9570043505,6272499.676545255,42.48671816511489,51.00235114012173,-8.515632975006845,3.0350165761988475,0.796956368598141,3.8082593925907013,3.8082593925907013,0.26179025029706166,TRUE,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AD95_1,AD95,447499.9167107371,6277499.684056323,34.4390190437221,49.13027154612233,-14.691252502400232,3.0956367398856734,0.8128659272101504,3.808299297905444,3.808299297905444,0.2497840963202591,TRUE,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AE93_1,AE93,447500.1701742312,6217499.746982312,24.104145313035463,48.91049494468896,-24.8063496316535,2.6714050583883413,0.7222838428902595,3.6985529784226703,3.6985529784226703,0.3263555024253386,TRUE,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AE94_1,AE94,447500.1510277113,6222499.78450804,45.51355100216228,50.42261741518264,-4.909066413020362,2.6750020096876765,0.721091954270733,3.7096544953035915,3.7096544953035915,0.32729648023637703,TRUE,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AE95_1,AE95,447500.18198725476,6227499.747924402,47.89257933531226,50.125182390514084,-2.232603055201821,2.6820574889537934,0.7216149009622437,3.7167434948715448,3.7167434948715448,0.3266390618282718,TRUE,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AE96_1,AE96,447500.139576756,6232499.638727918,25.217111712572418,50.488647116513256,-25.271535403940838,2.696993700351878,0.723994978391756,3.7251552577655116,3.7251552577655116,0.3244981012739755,TRUE,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AE97_1,AE97,447500.1513174165,6237499.67796077,25.369267845765187,50.649707313625356,-25.28043946786017,2.720146468205728,0.7280901752243805,3.7360021612260352,3.7360021612260352,0.3209392321892807,TRUE,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AE98_1,AE98,447500.15313399426,6242499.6437634,66.24285829246112,50.3908546575248,15.852003634936324,2.7516028894789306,0.7336577311761405,3.7505266727957522,3.7505266727957522,0.31602390199033625,TRUE,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AF81_1,AF81,442500.1384771916,6157499.787446427,54.959608759129715,52.525497398201885,2.4341113609278295,2.8376090882446903,0.7910064420721392,3.587340048471947,3.587340048471947,0.20485004001251955,TRUE,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AF82_1,AF82,442500.15165183047,6162499.8084204225,44.94405006314836,49.74515192658666,-4.801101863438298,2.860248612801783,0.788619766228495,3.626904542959495,3.626904542959495,0.21765300161917164,TRUE,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AF91_1,AF91,447500.16279772675,6157499.807246089,54.38994437975713,52.00806847410129,2.381875905655839,2.716697666494129,0.7521413847021314,3.6119507871116756,3.6119507871116756,0.20388024630708043,TRUE,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AF92_1,AF92,447500.2057250942,6162499.834014087,74.91520361967868,50.91393177255531,24.00127184712337,2.7379917868326373,0.7499944800301793,3.6506825846537727,3.6506825846537727,0.21622602621172848,TRUE,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AF93_1,AF93,447500.1653840631,6167499.788514787,79.46199694963092,50.5552927753467,28.906704174284215,2.760604705768298,0.7484711786383068,3.6883246603972974,3.6883246603972974,0.2290006680147455,TRUE,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AF94_1,AF94,447500.1697669054,6172499.780493908,49.53045843538721,52.43607232623986,-2.905613890852649,2.7798433893970484,0.7469845547498273,3.7214201709003825,3.7214201709003825,0.24216468839794106,TRUE,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AF97_1,AF97,447500.13908220717,6187499.650967309,36.92945715454009,48.8123188579433,-11.882861703403215,2.7472233300425555,0.7401655292733362,3.711633710826368,3.711633710826368,0.28096768520868215,TRUE,Positive
