atlas,period,distance_km,moran_i,expected_i,p_value
1,1970s,100,0.06343050856322906,-5.633802816901409e-4,0
2,1990s,100,0.04473625550928367,-5.408328826392645e-4,8.084712317106615e-238
3,2010s,100,0.02878599417520276,-5.254860746190226e-4,3.412737903641636e-107
